obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 5, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shot_susan, n_max_points: 200,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,015/chair1/features/rgb_0015_label_chair1<shot_susan_2015-05-28_10-54-48.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k5_mx200_t0,2/ds0,015_mp9000',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__39263: 'http://tycho:39263/'}
rosversion: '1.11.10

  '
run_id: cfd8cb4e-06aa-11e5-9393-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shot_susan_2015-05-29_10-23-30.pcd 0.0332019 0.00192175 0.000301516 1 2 1 -1 378972 51 55 -1 -1 51 55 -1 -1 378921,47,4 -1 0,47,4 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shot_susan_2015-05-29_10-23-34.pcd 0.0365691 0.000650132 0.000217222 1 4 1 -1 405768 45 55 -1 -1 45 55 -1 -1 405723,37,7,0,1 -1 0,37,7,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shot_susan_2015-05-29_10-23-38.pcd 0.0376949 0.000594456 0.000305562 1 2 1 -1 389400 50 55 -1 -1 50 55 -1 -1 389350,45,5 -1 0,45,5 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shot_susan_2015-05-29_10-23-42.pcd 0.0312198 0.000945448 0.000299041 1 2 1 -1 390456 51 55 -1 -1 51 55 -1 -1 390405,47,4 -1 0,47,4 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shot_susan_2015-05-29_10-23-46.pcd 0.0380484 0.000607309 0.00029144 1 2 1 -1 397188 52 55 -1 -1 52 55 -1 -1 397136,49,3 -1 0,49,3 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shot_susan_2015-05-29_10-23-50.pcd 0.0346182 0.000563126 0.000305235 1 3 1 -1 354368 47 55 -1 -1 47 55 -1 -1 354321,41,4,2 -1 0,41,4,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shot_susan_2015-05-29_10-23-54.pcd 0.0314771 0.000612341 0.000288146 1 4 1 -1 404976 48 55 -1 -1 48 55 -1 -1 404928,43,4,0,1 -1 0,43,4,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shot_susan_2015-05-29_10-23-58.pcd 0.0339613 0.000628909 0.000294771 1 3 1 -1 384087 45 55 -1 -1 45 55 -1 -1 384042,37,6,2 -1 0,37,6,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shot_susan_2015-05-29_10-24-02.pcd 0.016676 0.00064893 0.00027242 1 3 1 -1 399960 44 55 -1 -1 44 55 -1 -1 399916,35,7,2 -1 0,35,7,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shot_susan_2015-05-29_10-24-05.pcd 0.0318167 0.0010272 0.000287207 1 5 1 -1 389400 45 55 -1 -1 45 55 -1 -1 389355,38,6,0,0,1 -1 0,38,6,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<shot_susan_2015-05-29_10-24-09.pcd 0.019119 0.000297264 0.000152469 1 3 1 -1 367488 48 55 -1 -1 48 55 -1 -1 367440,42,5,1 -1 0,42,5,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<shot_susan_2015-05-29_10-24-13.pcd 0.0361766 0.000615865 0.000234668 1 2 1 -1 403920 51 55 -1 -1 51 55 -1 -1 403869,47,4 -1 0,47,4 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_10/room_2/features/nonPlanes<shot_susan_2015-05-29_10-24-19.pcd 0.0393795 0.00115581 0.000303611 1 3 1 -1 401082 47 55 -1 -1 47 55 -1 -1 401035,41,4,2 -1 0,41,4,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_12/room_2/features/nonPlanes<shot_susan_2015-05-29_10-24-22.pcd 0.0498235 0.000865163 0.000262123 1 4 1 -1 381376 48 55 -1 -1 48 55 -1 -1 381328,43,4,0,1 -1 0,43,4,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_14/room_1/features/nonPlanes<shot_susan_2015-05-29_10-24-27.pcd 0.0491718 0.000548904 0.000327973 1 2 1 -1 408408 53 55 -1 -1 53 55 -1 -1 408355,51,2 -1 0,51,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_2/room_4/features/nonPlanes<shot_susan_2015-05-29_10-24-31.pcd 0.0476286 0.000666523 0.000344336 1 3 1 -1 383295 47 55 -1 -1 47 55 -1 -1 383248,40,6,1 -1 0,40,6,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_9/room_2/features/nonPlanes<shot_susan_2015-05-29_10-24-36.pcd 0.0457822 0.000567215 0.000277332 1 3 1 -1 421245 46 55 -1 -1 46 55 -1 -1 421199,38,7,1 -1 0,38,7,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140904/patrol_run_15/room_2/features/nonPlanes<shot_susan_2015-05-29_10-24-39.pcd 0.0456346 0.000572995 0.0002707 1 4 1 -1 398112 47 55 -1 -1 47 55 -1 -1 398065,41,5,0,1 -1 0,41,5,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_17/room_2/features/nonPlanes<shot_susan_2015-05-29_10-24-43.pcd 0.0442533 0.000551412 0.000317372 1 2 1 -1 384384 51 55 -1 -1 51 55 -1 -1 384333,47,4 -1 0,47,4 -1
