obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 5, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<pfh_sift, n_max_points: 200,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,015/hanger_jacket/features/rgb_0002_label_hanger_jacket<pfh_sift_2015-05-28_10-58-12.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k5_mx200_t0,2/ds0,015_mp9000',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__53531: 'http://tycho:53531/'}
rosversion: '1.11.10

  '
run_id: 0e48d5d2-06b9-11e5-8d9c-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<pfh_sift_2015-05-29_10-51-08.pcd 0.000769637 0.00184704 0.000281882 1 2 1 -1 446622 46 50 -1 -1 46 50 -1 -1 446576,42,4 -1 0,42,4 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<pfh_sift_2015-05-29_10-51-09.pcd 0.000627802 0.000446556 0.000184525 1 2 1 -1 420552 47 50 -1 -1 47 50 -1 -1 420505,44,3 -1 0,44,3 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<pfh_sift_2015-05-29_10-51-09.pcd 0.000664639 0.000409876 0.000253364 1 2 1 -1 397683 46 50 -1 -1 46 50 -1 -1 397637,42,4 -1 0,42,4 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<pfh_sift_2015-05-29_10-51-10.pcd 0.000887634 0.000644521 0.000295238 1 3 1 -1 434176 43 50 -1 -1 43 50 -1 -1 434133,37,5,1 -1 0,37,5,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<pfh_sift_2015-05-29_10-51-10.pcd 0.000654028 0.000415488 0.00023831 1 4 1 -1 396627 41 50 -1 -1 41 50 -1 -1 396586,34,6,0,1 -1 0,34,6,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<pfh_sift_2015-05-29_10-51-11.pcd 0.000577805 0.000437946 0.000169574 1 3 1 -1 413952 42 50 -1 -1 42 50 -1 -1 413910,35,6,1 -1 0,35,6,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<pfh_sift_2015-05-29_10-51-12.pcd 0.000621755 0.000590313 0.000179597 1 2 1 -1 460845 45 50 -1 -1 45 50 -1 -1 460800,40,5 -1 0,40,5 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<pfh_sift_2015-05-29_10-51-12.pcd 0.00116359 0.000562434 0.000183589 1 2 1 -1 404481 45 50 -1 -1 45 50 -1 -1 404436,40,5 -1 0,40,5 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<pfh_sift_2015-05-29_10-51-12.pcd 0.000523673 0.000577882 0.000241309 1 3 1 -1 451044 43 50 -1 -1 43 50 -1 -1 451001,37,5,1 -1 0,37,5,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<pfh_sift_2015-05-29_10-51-13.pcd 0.00063385 0.000589559 0.000251329 1 3 1 -1 446622 43 50 -1 -1 43 50 -1 -1 446579,37,5,1 -1 0,37,5,1 -1
