obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 5, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<pfhrgb_susan, n_max_points: 200,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,015/hanger_jacket/features/rgb_0002_label_hanger_jacket<pfhrgb_susan_2015-05-28_10-56-19.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k5_mx200_t0,2/ds0,015_mp9000',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__33092: 'http://tycho:33092/'}
rosversion: '1.11.10

  '
run_id: dccf8b4a-06b8-11e5-8a34-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<pfhrgb_susan_2015-05-29_10-37-07.pcd 0.017895 0.000644256 0.000445619 1 6 1 -1 378972 99 160 -1 -1 99 160 -1 -1 378873,61,25,6,5,1,1 -1 0,61,25,6,5,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<pfhrgb_susan_2015-05-29_10-37-12.pcd 0.0213692 0.000584631 0.000386001 1 7 1 -1 405768 103 160 -1 -1 103 160 -1 -1 405665,67,24,6,5,0,0,1 -1 0,67,24,6,5,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<pfhrgb_susan_2015-05-29_10-37-16.pcd 0.0163905 0.000467829 0.0003292 1 5 1 -1 389400 92 160 -1 -1 92 160 -1 -1 389308,46,32,9,2,3 -1 0,46,32,9,2,3 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<pfhrgb_susan_2015-05-29_10-37-21.pcd 0.0189019 0.000467135 0.000352712 1 6 1 -1 390456 102 160 -1 -1 102 160 -1 -1 390354,67,23,5,4,2,1 -1 0,67,23,5,4,2,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<pfhrgb_susan_2015-05-29_10-37-25.pcd 0.0195705 0.000448359 0.000545269 1 6 1 -1 397188 101 160 -1 -1 101 160 -1 -1 397087,61,29,6,3,1,1 -1 0,61,29,6,3,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<pfhrgb_susan_2015-05-29_10-37-31.pcd 0.0168349 0.000625935 0.000438273 1 6 1 -1 354368 106 160 -1 -1 106 160 -1 -1 354262,75,17,8,4,1,1 -1 0,75,17,8,4,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<pfhrgb_susan_2015-05-29_10-37-36.pcd 0.0180741 0.000611994 0.000434862 1 19 12 -1 404976 100 160 -1 -1 100 160 -1 -1 404876,67,19,7,4,1,1,1 -1 0,67,19,7,4,1,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<pfhrgb_susan_2015-05-29_10-37-40.pcd 0.0143254 0.000424518 0.000549652 1 22 12 -1 384087 90 160 -1 -1 90 160 -1 -1 383997,52,21,9,3,3,2 -1 0,52,21,9,3,3,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<pfhrgb_susan_2015-05-29_10-37-44.pcd 0.00842008 0.000434103 0.000317433 1 7 1 -1 399960 79 160 -1 -1 79 160 -1 -1 399881,36,20,15,3,4,0,1 -1 0,36,20,15,3,4,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<pfhrgb_susan_2015-05-29_10-37-46.pcd 0.0171614 0.000770656 0.000483489 1 12 1 -1 389400 91 160 -1 -1 91 160 -1 -1 389309,53,22,12,1,1,1,0,0,0,0,0,1 -1 0,53,22,12,1,1,1,0,0,0,0,0,1 -1
