obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 5, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shot_susan, n_max_points: 200,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,015/hanger_jacket/features/rgb_0002_label_hanger_jacket<shot_susan_2015-05-28_10-54-37.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k5_mx200_t0,2/ds0,015_mp9000',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__48787: 'http://tycho:48787/'}
rosversion: '1.11.10

  '
run_id: 737e5860-06b8-11e5-93e1-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shot_susan_2015-05-29_10-23-30.pcd 0.0989202 0.00171504 0.000986586 1 4 1 -1 378972 141 160 -1 -1 141 160 -1 -1 378831,126,12,2,1 -1 0,126,12,2,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shot_susan_2015-05-29_10-23-34.pcd 0.11182 0.00106578 0.000585102 1 3 1 -1 405768 144 160 -1 -1 144 160 -1 -1 405624,129,14,1 -1 0,129,14,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shot_susan_2015-05-29_10-23-38.pcd 0.100856 0.000592987 0.000591236 1 4 1 -1 389400 142 160 -1 -1 142 160 -1 -1 389258,129,10,1,2 -1 0,129,10,1,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shot_susan_2015-05-29_10-23-42.pcd 0.0978147 0.000445339 0.000531374 1 3 1 -1 390456 142 160 -1 -1 142 160 -1 -1 390314,125,16,1 -1 0,125,16,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shot_susan_2015-05-29_10-23-46.pcd 0.105269 0.000441981 0.000561104 1 4 1 -1 397188 137 160 -1 -1 137 160 -1 -1 397051,118,16,2,1 -1 0,118,16,2,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shot_susan_2015-05-29_10-23-50.pcd 0.0992874 0.00047691 0.000560843 1 4 1 -1 354368 143 160 -1 -1 143 160 -1 -1 354225,129,12,1,1 -1 0,129,12,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shot_susan_2015-05-29_10-23-54.pcd 0.0937127 0.000658749 0.000574739 1 3 1 -1 404976 144 160 -1 -1 144 160 -1 -1 404832,129,14,1 -1 0,129,14,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shot_susan_2015-05-29_10-23-58.pcd 0.0851329 0.000624294 0.000515144 1 3 1 -1 384087 132 160 -1 -1 132 160 -1 -1 383955,108,20,4 -1 0,108,20,4 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shot_susan_2015-05-29_10-24-02.pcd 0.0423623 0.000479436 0.000591062 2 15,13 13,13 -1 399960 129 160 -1 -1 129 160 -1 -1 399831,106,16,6,1 -1 0,106,16,6,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shot_susan_2015-05-29_10-24-05.pcd 0.0898081 0.000727689 0.000580375 1 4 1 -1 389400 142 160 -1 -1 142 160 -1 -1 389258,127,13,1,1 -1 0,127,13,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<shot_susan_2015-05-29_10-24-09.pcd 0.10373 0.000556846 0.000721792 1 14 12 -1 367488 140 160 -1 -1 140 160 -1 -1 367348,122,16,2 -1 0,122,16,2 -1
