obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 5, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<pfh_sift, n_max_points: 200,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,015/laptop1/features/rgb_0012_label_laptop1<pfh_sift_2015-05-28_10-58-15.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k5_mx200_t0,2/ds0,015_mp9000',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__45261: 'http://tycho:45261/'}
rosversion: '1.11.10

  '
run_id: f146a928-06bd-11e5-b4a6-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<pfh_sift_2015-05-29_10-51-08.pcd 0.000822384 0.00161953 0.000261145 1 2 1 -1 446622 44 45 -1 -1 44 45 -1 -1 446578,43,1 -1 0,43,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<pfh_sift_2015-05-29_10-51-09.pcd 0.000754035 0.000618177 0.000216584 1 3 1 -1 420552 40 45 -1 -1 40 45 -1 -1 420512,36,3,1 -1 0,36,3,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<pfh_sift_2015-05-29_10-51-09.pcd 0.000725223 0.000606107 0.000191157 1 2 1 -1 397683 40 45 -1 -1 40 45 -1 -1 397643,35,5 -1 0,35,5 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<pfh_sift_2015-05-29_10-51-10.pcd 0.00100765 0.000546478 0.000224586 1 2 1 -1 434176 42 45 -1 -1 42 45 -1 -1 434134,39,3 -1 0,39,3 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<pfh_sift_2015-05-29_10-51-10.pcd 0.000880351 0.000965117 0.000283242 1 2 1 -1 396627 44 45 -1 -1 44 45 -1 -1 396583,43,1 -1 0,43,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<pfh_sift_2015-05-29_10-51-11.pcd 0.000682824 0.000607265 0.000265439 1 2 1 -1 413952 44 45 -1 -1 44 45 -1 -1 413908,43,1 -1 0,43,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<pfh_sift_2015-05-29_10-51-12.pcd 0.000574254 0.000496705 0.000287355 1 2 1 -1 460845 44 45 -1 -1 44 45 -1 -1 460801,43,1 -1 0,43,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<pfh_sift_2015-05-29_10-51-12.pcd 0.000911208 0.00060025 0.000248386 1 2 1 -1 404481 42 45 -1 -1 42 45 -1 -1 404439,39,3 -1 0,39,3 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<pfh_sift_2015-05-29_10-51-12.pcd 0.000542065 0.000505846 0.00025476 1 2 1 -1 451044 40 45 -1 -1 40 45 -1 -1 451004,35,5 -1 0,35,5 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<pfh_sift_2015-05-29_10-51-13.pcd 0.000582803 0.000580956 0.000259908 1 1 1 -1 446622 45 45 -1 -1 45 45 -1 -1 446577,45 -1 0,45 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<pfh_sift_2015-05-29_10-51-13.pcd 0.000715715 0.00090192 0.000249952 1 2 1 -1 417186 40 45 -1 -1 40 45 -1 -1 417146,35,5 -1 0,35,5 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<pfh_sift_2015-05-29_10-51-14.pcd 0.000899684 0.000629002 0.00023529 1 2 1 -1 451552 44 45 -1 -1 44 45 -1 -1 451508,43,1 -1 0,43,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_10/room_2/features/nonPlanes<pfh_sift_2015-05-29_10-51-15.pcd 0.000505309 0.000426677 0.000456454 1 2 1 -1 453024 41 45 -1 -1 41 45 -1 -1 452983,37,4 -1 0,37,4 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_12/room_2/features/nonPlanes<pfh_sift_2015-05-29_10-51-15.pcd 0.000636696 0.000432029 0.00027683 1 2 1 -1 429957 42 45 -1 -1 42 45 -1 -1 429915,39,3 -1 0,39,3 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_14/room_1/features/nonPlanes<pfh_sift_2015-05-29_10-51-16.pcd 0.000543668 0.000420098 0.00016611 1 2 1 -1 407040 43 45 -1 -1 43 45 -1 -1 406997,41,2 -1 0,41,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_2/room_4/features/nonPlanes<pfh_sift_2015-05-29_10-51-16.pcd 0.000633866 0.000456123 0.000276406 1 2 1 -1 447678 44 45 -1 -1 44 45 -1 -1 447634,43,1 -1 0,43,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_9/room_2/features/nonPlanes<pfh_sift_2015-05-29_10-51-17.pcd 0.000544243 0.000502573 0.000288748 1 2 1 -1 454656 43 45 -1 -1 43 45 -1 -1 454613,41,2 -1 0,41,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140904/patrol_run_15/room_2/features/nonPlanes<pfh_sift_2015-05-29_10-51-18.pcd 0.000664622 0.000425712 0.000186406 1 1 1 -1 420189 45 45 -1 -1 45 45 -1 -1 420144,45 -1 0,45 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_17/room_2/features/nonPlanes<pfh_sift_2015-05-29_10-51-18.pcd 0.00062534 0.000471414 0.000168963 1 1 1 -1 446160 45 45 -1 -1 45 45 -1 -1 446115,45 -1 0,45 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_19/room_1/features/nonPlanes<pfh_sift_2015-05-29_10-51-19.pcd 0.000614983 0.000424952 0.000264592 1 2 1 -1 404481 42 45 -1 -1 42 45 -1 -1 404439,39,3 -1 0,39,3 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_21/room_2/features/nonPlanes<pfh_sift_2015-05-29_10-51-19.pcd 0.000591844 0.000434642 0.000256628 1 1 1 -1 419265 45 45 -1 -1 45 45 -1 -1 419220,45 -1 0,45 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_23/room_2/features/nonPlanes<pfh_sift_2015-05-29_10-51-20.pcd 0.000625006 0.000477411 0.000290788 1 1 1 -1 455466 45 45 -1 -1 45 45 -1 -1 455421,45 -1 0,45 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_25/room_1/features/nonPlanes<pfh_sift_2015-05-29_10-51-21.pcd 0.000527885 0.000408887 0.000168933 1 2 1 -1 387200 42 45 -1 -1 42 45 -1 -1 387158,39,3 -1 0,39,3 -1
