obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 5, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shot_sift, n_max_points: 200,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,015/laptop1/features/rgb_0012_label_laptop1<shot_sift_2015-05-28_10-56-50.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k5_mx200_t0,2/ds0,015_mp9000',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__35584: 'http://tycho:35584/'}
rosversion: '1.11.10

  '
run_id: d140f804-06bd-11e5-bec3-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shot_sift_2015-05-29_10-43-49.pcd 0.00619578 0.00134412 0.000287655 1 2 1 -1 446622 43 45 -1 -1 43 45 -1 -1 446579,41,2 -1 0,41,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shot_sift_2015-05-29_10-43-53.pcd 0.00801333 0.000442927 0.000245907 1 3 1 -1 420552 41 45 -1 -1 41 45 -1 -1 420511,38,2,1 -1 0,38,2,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shot_sift_2015-05-29_10-43-58.pcd 0.00735673 0.000540487 0.00024246 1 3 1 -1 397683 39 45 -1 -1 39 45 -1 -1 397644,34,4,1 -1 0,34,4,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shot_sift_2015-05-29_10-44-02.pcd 0.00868732 0.000447728 0.000145991 1 2 1 -1 434176 39 45 -1 -1 39 45 -1 -1 434137,33,6 -1 0,33,6 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shot_sift_2015-05-29_10-44-07.pcd 0.00734752 0.00048709 0.000156098 1 2 1 -1 396627 41 45 -1 -1 41 45 -1 -1 396586,37,4 -1 0,37,4 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shot_sift_2015-05-29_10-44-11.pcd 0.00872752 0.000569751 0.0002489 1 2 1 -1 413952 41 45 -1 -1 41 45 -1 -1 413911,37,4 -1 0,37,4 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shot_sift_2015-05-29_10-44-16.pcd 0.00732163 0.00047351 0.000183303 1 2 1 -1 460845 41 45 -1 -1 41 45 -1 -1 460804,37,4 -1 0,37,4 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shot_sift_2015-05-29_10-44-19.pcd 0.00741217 0.000507464 0.000151971 1 3 1 -1 404481 40 45 -1 -1 40 45 -1 -1 404441,36,3,1 -1 0,36,3,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shot_sift_2015-05-29_10-44-23.pcd 0.00497006 0.000610429 0.000158248 1 2 1 -1 451044 41 45 -1 -1 41 45 -1 -1 451003,37,4 -1 0,37,4 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shot_sift_2015-05-29_10-44-27.pcd 0.00627461 0.000758501 0.000238567 1 2 1 -1 446622 43 45 -1 -1 43 45 -1 -1 446579,41,2 -1 0,41,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<shot_sift_2015-05-29_10-44-31.pcd 0.00700289 0.000600521 0.00022628 1 2 1 -1 417186 39 45 -1 -1 39 45 -1 -1 417147,33,6 -1 0,33,6 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<shot_sift_2015-05-29_10-44-35.pcd 0.00947598 0.000602201 0.000292426 1 2 1 -1 451552 42 45 -1 -1 42 45 -1 -1 451510,39,3 -1 0,39,3 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_10/room_2/features/nonPlanes<shot_sift_2015-05-29_10-44-40.pcd 0.00609683 0.000656791 0.000246098 1 2 1 -1 453024 38 45 -1 -1 38 45 -1 -1 452986,31,7 -1 0,31,7 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_12/room_2/features/nonPlanes<shot_sift_2015-05-29_10-44-43.pcd 0.00749507 0.000568003 0.000177141 1 2 1 -1 429957 41 45 -1 -1 41 45 -1 -1 429916,37,4 -1 0,37,4 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_14/room_1/features/nonPlanes<shot_sift_2015-05-29_10-44-48.pcd 0.00743082 0.000708792 0.000159635 1 2 1 -1 407040 39 45 -1 -1 39 45 -1 -1 407001,33,6 -1 0,33,6 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_2/room_4/features/nonPlanes<shot_sift_2015-05-29_10-44-52.pcd 0.00949624 0.000695913 0.000165953 1 2 1 -1 447678 41 45 -1 -1 41 45 -1 -1 447637,37,4 -1 0,37,4 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_9/room_2/features/nonPlanes<shot_sift_2015-05-29_10-44-57.pcd 0.0058189 0.000638955 0.00025611 1 2 1 -1 454656 44 45 -1 -1 44 45 -1 -1 454612,43,1 -1 0,43,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140904/patrol_run_15/room_2/features/nonPlanes<shot_sift_2015-05-29_10-45-00.pcd 0.00698501 0.000602001 0.00023489 1 2 1 -1 420189 41 45 -1 -1 41 45 -1 -1 420148,37,4 -1 0,37,4 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_17/room_2/features/nonPlanes<shot_sift_2015-05-29_10-45-04.pcd 0.00769762 0.000636065 0.000295703 1 2 1 -1 446160 41 45 -1 -1 41 45 -1 -1 446119,37,4 -1 0,37,4 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_19/room_1/features/nonPlanes<shot_sift_2015-05-29_10-45-09.pcd 0.00710483 0.000615658 0.000258189 1 2 1 -1 404481 42 45 -1 -1 42 45 -1 -1 404439,39,3 -1 0,39,3 -1
