obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 5, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<fpfh_susan, n_max_points: 200,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,015/laptop1/features/rgb_0012_label_laptop1<fpfh_susan_2015-05-28_10-55-35.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k5_mx200_t0,2/ds0,015_mp9000',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__54845: 'http://tycho:54845/'}
rosversion: '1.11.10

  '
run_id: b320f9b4-06bd-11e5-a2f1-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<fpfh_susan_2015-05-29_10-30-32.pcd 0.00125207 0.00176099 0.000327799 1 2 1 -1 378972 49 55 -1 -1 49 55 -1 -1 378923,43,6 -1 0,43,6 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<fpfh_susan_2015-05-29_10-30-34.pcd 0.0013211 0.000593214 0.000321866 1 4 1 -1 405768 44 55 -1 -1 44 55 -1 -1 405724,35,8,0,1 -1 0,35,8,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<fpfh_susan_2015-05-29_10-30-36.pcd 0.00138911 0.000559534 0.000258967 1 4 1 -1 389400 42 55 -1 -1 42 55 -1 -1 389358,35,3,2,2 -1 0,35,3,2,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<fpfh_susan_2015-05-29_10-30-38.pcd 0.00130066 0.000830097 0.000248349 1 2 1 -1 390456 48 55 -1 -1 48 55 -1 -1 390408,41,7 -1 0,41,7 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<fpfh_susan_2015-05-29_10-30-39.pcd 0.00124268 0.00141567 0.000173122 1 4 1 -1 397188 45 55 -1 -1 45 55 -1 -1 397143,39,3,2,1 -1 0,39,3,2,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<fpfh_susan_2015-05-29_10-30-42.pcd 0.00149186 0.000908508 0.000178989 1 4 1 -1 354368 46 55 -1 -1 46 55 -1 -1 354322,39,6,0,1 -1 0,39,6,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<fpfh_susan_2015-05-29_10-30-43.pcd 0.000952845 0.00121084 0.000296696 1 4 1 -1 404976 44 55 -1 -1 44 55 -1 -1 404932,35,8,0,1 -1 0,35,8,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<fpfh_susan_2015-05-29_10-30-45.pcd 0.00133457 0.000569267 0.000239931 1 2 1 -1 384087 45 55 -1 -1 45 55 -1 -1 384042,35,10 -1 0,35,10 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<fpfh_susan_2015-05-29_10-30-46.pcd 0.000520011 0.000446671 0.000205766 1 3 1 -1 399960 44 55 -1 -1 44 55 -1 -1 399916,34,9,1 -1 0,34,9,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<fpfh_susan_2015-05-29_10-30-47.pcd 0.000859307 0.000426904 0.000174358 1 5 1 -1 389400 43 55 -1 -1 43 55 -1 -1 389357,34,8,0,0,1 -1 0,34,8,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<fpfh_susan_2015-05-29_10-30-49.pcd 0.000920372 0.000409758 0.000280395 1 3 1 -1 367488 44 55 -1 -1 44 55 -1 -1 367444,34,9,1 -1 0,34,9,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<fpfh_susan_2015-05-29_10-30-51.pcd 0.000877501 0.000441189 0.000281815 1 2 1 -1 403920 47 55 -1 -1 47 55 -1 -1 403873,39,8 -1 0,39,8 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_10/room_2/features/nonPlanes<fpfh_susan_2015-05-29_10-30-53.pcd 0.00100247 0.000697942 0.000173777 1 3 1 -1 401082 42 55 -1 -1 42 55 -1 -1 401040,31,9,2 -1 0,31,9,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_12/room_2/features/nonPlanes<fpfh_susan_2015-05-29_10-30-55.pcd 0.00146322 0.000501406 0.000172674 1 5 1 -1 381376 44 55 -1 -1 44 55 -1 -1 381332,36,7,0,0,1 -1 0,36,7,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_14/room_1/features/nonPlanes<fpfh_susan_2015-05-29_10-30-57.pcd 0.00105746 0.00109912 0.000283582 1 5 1 -1 408408 46 55 -1 -1 46 55 -1 -1 408362,40,5,0,0,1 -1 0,40,5,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_2/room_4/features/nonPlanes<fpfh_susan_2015-05-29_10-30-59.pcd 0.000968383 0.000597827 0.000176607 1 2 1 -1 383295 45 55 -1 -1 45 55 -1 -1 383250,35,10 -1 0,35,10 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_9/room_2/features/nonPlanes<fpfh_susan_2015-05-29_10-31-01.pcd 0.00114255 0.000549265 0.000181341 1 3 1 -1 421245 45 55 -1 -1 45 55 -1 -1 421200,36,8,1 -1 0,36,8,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140904/patrol_run_15/room_2/features/nonPlanes<fpfh_susan_2015-05-29_10-31-03.pcd 0.000977681 0.000454406 0.000220476 1 3 1 -1 398112 47 55 -1 -1 47 55 -1 -1 398065,40,6,1 -1 0,40,6,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_17/room_2/features/nonPlanes<fpfh_susan_2015-05-29_10-31-04.pcd 0.000764051 0.000414449 0.00021468 1 3 1 -1 384384 43 55 -1 -1 43 55 -1 -1 384341,32,10,1 -1 0,32,10,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_19/room_1/features/nonPlanes<fpfh_susan_2015-05-29_10-31-06.pcd 0.000983925 0.000441037 0.000177191 1 2 1 -1 363776 47 55 -1 -1 47 55 -1 -1 363729,39,8 -1 0,39,8 -1
