obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 5, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<fpfh_uniform, n_max_points: 200,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,015/laptop1/features/rgb_0012_label_laptop1<fpfh_uniform_2015-05-28_10-49-17.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k5_mx200_t0,2/ds0,015_mp9000',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__42571: 'http://tycho:42571/'}
rosversion: '1.11.10

  '
run_id: 67991d9c-06bc-11e5-9e38-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<fpfh_uniform_2015-05-29_08-46-07.pcd 0.0233306 0.00173419 0.000915627 3 41,23,19 18,16,13 -1 449955 446 595 -1 -1 200 349 -1 -1 449509,341,79,16,6,2,1,0,1 -1 0,95,79,16,6,2,1,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<fpfh_uniform_2015-05-29_08-46-11.pcd 0.0249653 0.000795532 0.00106714 2 52,22 36,12 -1 424446 458 595 -1 -1 200 337 -1 -1 423988,355,75,22,6 -1 0,97,75,22,6 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<fpfh_uniform_2015-05-29_08-46-16.pcd 0.0227265 0.000822874 0.0010776 3 31,25,23 14,15,12 -1 441870 441 595 -1 -1 200 354 -1 -1 441429,327,93,9,7,3,2 -1 0,86,93,9,7,3,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<fpfh_uniform_2015-05-29_08-46-21.pcd 0.0218376 0.000598052 0.000803049 3 49,40,29 28,16,16 -1 461736 449 595 -1 -1 200 346 -1 -1 461287,337,84,23,4,1 -1 0,88,84,23,4,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<fpfh_uniform_2015-05-29_08-46-26.pcd 0.0226338 0.000593334 0.0007945 3 24,20,18 16,17,14 -1 404481 458 595 -1 -1 200 337 -1 -1 404023,360,70,18,9,1 -1 0,102,70,18,9,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<fpfh_uniform_2015-05-29_08-46-31.pcd 0.0205143 0.000675941 0.000752435 3 35,32,19 23,17,12 -1 424710 421 595 -1 -1 200 374 -1 -1 424289,313,67,25,11,2,2,1 -1 0,92,67,25,11,2,2,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<fpfh_uniform_2015-05-29_08-46-36.pcd 0.0200065 0.000584163 0.00076534 2 28,23 14,18 -1 456456 412 595 -1 -1 200 383 -1 -1 456044,299,72,20,16,2,3 -1 0,87,72,20,16,2,3 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<fpfh_uniform_2015-05-29_08-46-41.pcd 0.0205546 0.000583131 0.000755622 3 31,24,21 16,15,13 -1 449592 454 595 -1 -1 200 341 -1 -1 449138,360,64,18,8,3,1 -1 0,106,64,18,8,3,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<fpfh_uniform_2015-05-29_08-46-45.pcd 0.0204503 0.000578433 0.00113424 4 33,30,30,19 18,21,17,12 -1 451044 409 595 -1 -1 200 386 -1 -1 450635,291,76,25,12,3,1,0,1 -1 0,82,76,25,12,3,1,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<fpfh_uniform_2015-05-29_08-46-50.pcd 0.0263295 0.000744099 0.0008151 3 44,24,23 25,17,18 -1 451044 449 595 -1 -1 200 346 -1 -1 450595,351,64,24,7,2,1 -1 0,102,64,24,7,2,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<fpfh_uniform_2015-05-29_08-46-54.pcd 0.0299034 0.000710002 0.00129341 5 29,24,23,20,20 12,13,16,13,13 -1 427977 418 595 -1 -1 200 377 -1 -1 427559,306,71,24,13,2,1,1 -1 0,88,71,24,13,2,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<fpfh_uniform_2015-05-29_08-46-58.pcd 0.0350369 0.000804102 0.00133926 3 37,31,18 14,18,13 -1 470184 433 595 -1 -1 200 362 -1 -1 469751,318,80,24,10,1 -1 0,85,80,24,10,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_10/room_2/features/nonPlanes<fpfh_uniform_2015-05-29_08-47-04.pcd 0.019006 0.000686686 0.000745258 2 56,18 28,12 -1 453024 420 595 -1 -1 200 375 -1 -1 452604,306,75,24,10,4,0,1 -1 0,86,75,24,10,4,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_12/room_2/features/nonPlanes<fpfh_uniform_2015-05-29_08-47-09.pcd 0.0190796 0.000566052 0.000778277 3 43,26,22 12,18,17 -1 434214 414 595 -1 -1 200 381 -1 -1 433800,295,81,24,10,1,1,1,1 -1 0,81,81,24,10,1,1,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_14/room_1/features/nonPlanes<fpfh_uniform_2015-05-29_08-47-14.pcd 0.0300895 0.000729028 0.00134548 3 53,23,18 32,17,12 -1 434313 427 595 -1 -1 200 368 -1 -1 433886,319,68,29,7,1,1,2 -1 0,92,68,29,7,1,1,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_2/room_4/features/nonPlanes<fpfh_uniform_2015-05-29_08-47-19.pcd 0.0214117 0.000594972 0.000728317 1 44 29 -1 462264 451 595 -1 -1 200 344 -1 -1 461813,341,83,22,3,2 -1 0,90,83,22,3,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_9/room_2/features/nonPlanes<fpfh_uniform_2015-05-29_08-47-24.pcd 0.0206976 0.000642018 0.000811802 4 29,18,18,15 22,14,12,12 -1 491568 446 595 -1 -1 200 349 -1 -1 491122,343,73,21,4,3,2 -1 0,97,73,21,4,3,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140904/patrol_run_15/room_2/features/nonPlanes<fpfh_uniform_2015-05-29_08-47-29.pcd 0.0311199 0.000776395 0.00128863 2 35,20 14,12 -1 517902 450 595 -1 -1 200 345 -1 -1 517452,348,76,15,7,3,0,1 -1 0,98,76,15,7,3,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_17/room_2/features/nonPlanes<fpfh_uniform_2015-05-29_08-47-33.pcd 0.0312752 0.000734347 0.0013421 2 68,21 36,17 -1 446160 412 595 -1 -1 200 383 -1 -1 445748,297,74,27,7,3,2,2 -1 0,85,74,27,7,3,2,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_19/room_1/features/nonPlanes<fpfh_uniform_2015-05-29_08-47-38.pcd 0.0296077 0.000746303 0.000806962 2 27,27 17,14 -1 453024 408 595 -1 -1 200 387 -1 -1 452616,296,71,23,8,7,2,0,0,1 -1 0,88,71,23,8,7,2,0,0,1 -1
