obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 5, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shot_iss, n_max_points: 200,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,015/pillow/features/rgb_0003_label_pillow<shot_iss_2015-05-28_10-52-14.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k5_mx200_t0,2/ds0,015_mp9000',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__52400: 'http://tycho:52400/'}
rosversion: '1.11.10

  '
run_id: 09633658-06c2-11e5-8e56-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shot_iss_2015-05-29_09-52-40.pcd 0.0502633 0.0013202 0.000678854 1 31 26 -1 378972 126 145 -1 -1 126 145 -1 -1 378846,107,19 -1 0,107,19 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shot_iss_2015-05-29_09-52-48.pcd 0.0499473 0.000616199 0.000566206 1 20 18 -1 393760 129 145 -1 -1 129 145 -1 -1 393631,114,14,1 -1 0,114,14,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shot_iss_2015-05-29_09-52-59.pcd 0.049942 0.000631875 0.000491858 1 19 17 -1 389961 126 145 -1 -1 126 145 -1 -1 389835,110,13,3 -1 0,110,13,3 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shot_iss_2015-05-29_09-53-08.pcd 0.0481341 0.000628697 0.000478624 1 4 1 -1 389760 114 145 -1 -1 114 145 -1 -1 389646,92,14,7,1 -1 0,92,14,7,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shot_iss_2015-05-29_09-53-17.pcd 0.0539696 0.000591725 0.000531391 1 24 21 -1 368000 129 145 -1 -1 129 145 -1 -1 367871,113,16 -1 0,113,16 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shot_iss_2015-05-29_09-53-26.pcd 0.0456093 0.000601944 0.000516685 1 19 19 -1 360640 127 145 -1 -1 127 145 -1 -1 360513,112,12,3 -1 0,112,12,3 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shot_iss_2015-05-29_09-53-35.pcd 0.043957 0.000614883 0.000853187 1 3 1 -1 397683 124 145 -1 -1 124 145 -1 -1 397559,106,15,3 -1 0,106,15,3 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shot_iss_2015-05-29_09-53-42.pcd 0.0437859 0.000579345 0.000435049 1 4 1 -1 425184 111 145 -1 -1 111 145 -1 -1 425073,84,22,3,2 -1 0,84,22,3,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shot_iss_2015-05-29_09-53-49.pcd 0.0442443 0.000424118 0.000494721 1 4 1 -1 393294 110 145 -1 -1 110 145 -1 -1 393184,85,17,6,2 -1 0,85,17,6,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shot_iss_2015-05-29_09-53-57.pcd 0.0420277 0.000486191 0.00045592 1 3 1 -1 418176 121 145 -1 -1 121 145 -1 -1 418055,102,14,5 -1 0,102,14,5 -1
