obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 5, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<fpfh_sift, n_max_points: 200,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,015/pillow/features/rgb_0003_label_pillow<fpfh_sift_2015-05-28_10-57-46.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k5_mx200_t0,2/ds0,015_mp9000',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__42294: 'http://tycho:42294/'}
rosversion: '1.11.10

  '
run_id: f5be4100-06c2-11e5-8de3-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<fpfh_sift_2015-05-29_10-50-09.pcd 0.000338477 0.00142231 0.000256624 1 3 1 -1 446622 37 50 -1 -1 37 50 -1 -1 446585,26,9,2 -1 0,26,9,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<fpfh_sift_2015-05-29_10-50-09.pcd 0.00038116 0.000427211 0.000151914 1 3 1 -1 420552 37 50 -1 -1 37 50 -1 -1 420515,27,7,3 -1 0,27,7,3 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<fpfh_sift_2015-05-29_10-50-10.pcd 0.000324445 0.000422504 0.000156816 1 4 1 -1 397683 38 50 -1 -1 38 50 -1 -1 397645,31,4,1,2 -1 0,31,4,1,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<fpfh_sift_2015-05-29_10-50-11.pcd 0.000316785 0.00048584 0.000153454 1 4 1 -1 434176 36 50 -1 -1 36 50 -1 -1 434140,26,7,2,1 -1 0,26,7,2,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<fpfh_sift_2015-05-29_10-50-12.pcd 0.000359645 0.000583643 0.000174886 1 3 1 -1 396627 37 50 -1 -1 37 50 -1 -1 396590,26,9,2 -1 0,26,9,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<fpfh_sift_2015-05-29_10-50-13.pcd 0.000350774 0.000604834 0.000165091 1 4 1 -1 413952 34 50 -1 -1 34 50 -1 -1 413918,25,4,3,2 -1 0,25,4,3,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<fpfh_sift_2015-05-29_10-50-13.pcd 0.000316958 0.000624394 0.000191771 1 5 1 -1 460845 38 50 -1 -1 38 50 -1 -1 460807,33,1,2,1,1 -1 0,33,1,2,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<fpfh_sift_2015-05-29_10-50-14.pcd 0.000380725 0.000606768 0.000184385 1 4 1 -1 404481 37 50 -1 -1 37 50 -1 -1 404444,28,6,2,1 -1 0,28,6,2,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<fpfh_sift_2015-05-29_10-50-15.pcd 0.000311903 0.000619177 0.000169524 1 3 1 -1 451044 37 50 -1 -1 37 50 -1 -1 451007,27,7,3 -1 0,27,7,3 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<fpfh_sift_2015-05-29_10-50-15.pcd 0.000336294 0.000591814 0.000241801 1 4 1 -1 446622 36 50 -1 -1 36 50 -1 -1 446586,25,9,1,1 -1 0,25,9,1,1 -1
