obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 5, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<pfhrgb_sift, n_max_points: 200,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,015/pillow/features/rgb_0003_label_pillow<pfhrgb_sift_2015-05-28_10-58-37.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k5_mx200_t0,2/ds0,015_mp9000',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__48277: 'http://tycho:48277/'}
rosversion: '1.11.10

  '
run_id: 01b45544-06c3-11e5-98e7-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<pfhrgb_sift_2015-05-29_10-51-54.pcd 0.00151684 0.00139242 0.00022954 1 4 1 -1 446622 32 50 -1 -1 32 50 -1 -1 446590,17,13,1,1 -1 0,17,13,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<pfhrgb_sift_2015-05-29_10-51-55.pcd 0.00145106 0.000429771 0.000158398 1 3 1 -1 420552 34 50 -1 -1 34 50 -1 -1 420518,21,10,3 -1 0,21,10,3 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<pfhrgb_sift_2015-05-29_10-51-56.pcd 0.00138764 0.000412722 0.000159061 1 4 1 -1 397683 34 50 -1 -1 34 50 -1 -1 397649,20,13,0,1 -1 0,20,13,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<pfhrgb_sift_2015-05-29_10-51-57.pcd 0.00137837 0.000451577 0.000130235 1 4 1 -1 434176 32 50 -1 -1 32 50 -1 -1 434144,20,8,2,2 -1 0,20,8,2,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<pfhrgb_sift_2015-05-29_10-51-58.pcd 0.00160541 0.000437143 0.000146629 1 3 1 -1 396627 36 50 -1 -1 36 50 -1 -1 396591,25,8,3 -1 0,25,8,3 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<pfhrgb_sift_2015-05-29_10-51-58.pcd 0.00138681 0.000445319 0.000137732 1 6 1 -1 413952 34 50 -1 -1 34 50 -1 -1 413918,25,7,0,0,1,1 -1 0,25,7,0,0,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<pfhrgb_sift_2015-05-29_10-51-59.pcd 0.00126488 0.000474616 0.000178742 1 4 1 -1 460845 35 50 -1 -1 35 50 -1 -1 460810,22,12,0,1 -1 0,22,12,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<pfhrgb_sift_2015-05-29_10-52-00.pcd 0.00137282 0.000442723 0.000156418 1 4 1 -1 404481 37 50 -1 -1 37 50 -1 -1 404444,26,10,0,1 -1 0,26,10,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<pfhrgb_sift_2015-05-29_10-52-00.pcd 0.00101566 0.000448269 0.000129309 1 6 1 -1 451044 31 50 -1 -1 31 50 -1 -1 451013,22,4,3,0,1,1 -1 0,22,4,3,0,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<pfhrgb_sift_2015-05-29_10-52-01.pcd 0.00136532 0.000488263 0.000130666 1 5 1 -1 446622 30 50 -1 -1 30 50 -1 -1 446592,19,5,4,1,1 -1 0,19,5,4,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<pfhrgb_sift_2015-05-29_10-52-01.pcd 0.00171317 0.000557389 0.000198032 1 4 1 -1 417186 32 50 -1 -1 32 50 -1 -1 417154,20,9,0,3 -1 0,20,9,0,3 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<pfhrgb_sift_2015-05-29_10-52-02.pcd 0.00161386 0.000483886 0.00014098 1 3 1 -1 451552 34 50 -1 -1 34 50 -1 -1 451518,22,8,4 -1 0,22,8,4 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_10/room_2/features/nonPlanes<pfhrgb_sift_2015-05-29_10-52-03.pcd 0.00149441 0.000460073 0.000130495 1 5 1 -1 453024 31 50 -1 -1 31 50 -1 -1 452993,17,11,2,0,1 -1 0,17,11,2,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_12/room_2/features/nonPlanes<pfhrgb_sift_2015-05-29_10-52-03.pcd 0.00173364 0.000442957 0.000149533 1 3 1 -1 429957 38 50 -1 -1 38 50 -1 -1 429919,27,10,1 -1 0,27,10,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_14/room_1/features/nonPlanes<pfhrgb_sift_2015-05-29_10-52-04.pcd 0.00144338 0.000420249 0.00013691 1 4 1 -1 407040 33 50 -1 -1 33 50 -1 -1 407007,20,10,2,1 -1 0,20,10,2,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_2/room_4/features/nonPlanes<pfhrgb_sift_2015-05-29_10-52-05.pcd 0.00163709 0.000492636 0.000139158 1 3 1 -1 447678 34 50 -1 -1 34 50 -1 -1 447644,21,10,3 -1 0,21,10,3 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_9/room_2/features/nonPlanes<pfhrgb_sift_2015-05-29_10-52-06.pcd 0.0014042 0.000467229 0.000131197 1 3 1 -1 454656 32 50 -1 -1 32 50 -1 -1 454624,19,8,5 -1 0,19,8,5 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140904/patrol_run_15/room_2/features/nonPlanes<pfhrgb_sift_2015-05-29_10-52-06.pcd 0.00164509 0.000456033 0.000135413 1 3 1 -1 420189 33 50 -1 -1 33 50 -1 -1 420156,19,11,3 -1 0,19,11,3 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_17/room_2/features/nonPlanes<pfhrgb_sift_2015-05-29_10-52-07.pcd 0.00144181 0.000676963 0.000130682 1 4 1 -1 446160 31 50 -1 -1 31 50 -1 -1 446129,17,10,3,1 -1 0,17,10,3,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_19/room_1/features/nonPlanes<pfhrgb_sift_2015-05-29_10-52-08.pcd 0.00144226 0.00047368 0.000132347 1 4 1 -1 404481 33 50 -1 -1 33 50 -1 -1 404448,21,8,3,1 -1 0,21,8,3,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_21/room_2/features/nonPlanes<pfhrgb_sift_2015-05-29_10-52-09.pcd 0.00140583 0.000527168 0.000189843 1 4 1 -1 419265 31 50 -1 -1 31 50 -1 -1 419234,17,10,3,1 -1 0,17,10,3,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_23/room_2/features/nonPlanes<pfhrgb_sift_2015-05-29_10-52-10.pcd 0.00138003 0.000552889 0.000136847 1 4 1 -1 455466 33 50 -1 -1 33 50 -1 -1 455433,21,8,3,1 -1 0,21,8,3,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_25/room_1/features/nonPlanes<pfhrgb_sift_2015-05-29_10-52-11.pcd 0.00147724 0.000530231 7.9026e-05 1 3 1 -1 387200 30 50 -1 -1 30 50 -1 -1 387170,14,12,4 -1 0,14,12,4 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_27/room_2/features/nonPlanes<pfhrgb_sift_2015-05-29_10-52-12.pcd 0.00117444 0.000410679 6.228e-05 1 3 1 -1 459030 35 50 -1 -1 35 50 -1 -1 458995,22,11,2 -1 0,22,11,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_29/room_2/features/nonPlanes<pfhrgb_sift_2015-05-29_10-52-12.pcd 0.000737105 0.00025752 7.5746e-05 1 4 1 -1 422400 34 50 -1 -1 34 50 -1 -1 422366,22,9,2,1 -1 0,22,9,2,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_30/room_1/features/nonPlanes<pfhrgb_sift_2015-05-29_10-52-13.pcd 0.000668116 0.000253021 6.7e-05 1 6 1 -1 443289 29 50 -1 -1 29 50 -1 -1 443260,18,7,1,1,1,1 -1 0,18,7,1,1,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_30/room_7/features/nonPlanes<pfhrgb_sift_2015-05-29_10-52-13.pcd 0.000840266 0.00030326 0.000130349 1 4 1 -1 445500 31 50 -1 -1 31 50 -1 -1 445469,18,8,4,1 -1 0,18,8,4,1 -1
