obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 5, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<pfh_susan, n_max_points: 200,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,015/pillow/features/rgb_0003_label_pillow<pfh_susan_2015-05-28_10-55-56.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k5_mx200_t0,2/ds0,015_mp9000',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__33066: 'http://tycho:33066/'}
rosversion: '1.11.10

  '
run_id: a67b0254-06c2-11e5-8dfd-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<pfh_susan_2015-05-29_10-33-04.pcd 7.204e-05 0.00139275 0.000168084 1 2 1 -1 378972 4 5 -1 -1 4 5 -1 -1 378968,3,1 -1 0,3,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<pfh_susan_2015-05-29_10-33-07.pcd 4.7782e-05 0.000459097 5.3404e-05 1 1 1 -1 405768 5 5 -1 -1 5 5 -1 -1 405763,5 -1 0,5 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<pfh_susan_2015-05-29_10-33-09.pcd 4.4498e-05 0.000447381 6.5452e-05 1 1 1 -1 389400 5 5 -1 -1 5 5 -1 -1 389395,5 -1 0,5 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<pfh_susan_2015-05-29_10-33-12.pcd 3.8283e-05 0.000439776 5.1156e-05 1 2 1 -1 390456 4 5 -1 -1 4 5 -1 -1 390452,3,1 -1 0,3,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<pfh_susan_2015-05-29_10-33-15.pcd 6.6775e-05 0.000607276 7.1929e-05 1 1 1 -1 397188 5 5 -1 -1 5 5 -1 -1 397183,5 -1 0,5 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<pfh_susan_2015-05-29_10-33-19.pcd 3.7822e-05 0.000565157 5.5726e-05 1 1 1 -1 354368 5 5 -1 -1 5 5 -1 -1 354363,5 -1 0,5 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<pfh_susan_2015-05-29_10-33-21.pcd 5.589e-05 0.000521247 5.7287e-05 1 1 1 -1 404976 5 5 -1 -1 5 5 -1 -1 404971,5 -1 0,5 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<pfh_susan_2015-05-29_10-33-24.pcd 3.3401e-05 0.000458171 5.261e-05 1 2 1 -1 384087 4 5 -1 -1 4 5 -1 -1 384083,3,1 -1 0,3,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<pfh_susan_2015-05-29_10-33-27.pcd 2.4321e-05 0.000485185 5.4654e-05 1 1 1 -1 399960 5 5 -1 -1 5 5 -1 -1 399955,5 -1 0,5 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<pfh_susan_2015-05-29_10-33-28.pcd 4.3314e-05 0.000467543 6.0313e-05 1 1 1 -1 389400 5 5 -1 -1 5 5 -1 -1 389395,5 -1 0,5 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<pfh_susan_2015-05-29_10-33-30.pcd 3.3777e-05 0.000449601 5.2886e-05 1 2 1 -1 367488 4 5 -1 -1 4 5 -1 -1 367484,3,1 -1 0,3,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<pfh_susan_2015-05-29_10-33-33.pcd 4.7498e-05 0.000482901 5.5235e-05 1 1 1 -1 403920 5 5 -1 -1 5 5 -1 -1 403915,5 -1 0,5 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_10/room_2/features/nonPlanes<pfh_susan_2015-05-29_10-33-37.pcd 4.3255e-05 0.000470512 5.0378e-05 1 1 1 -1 401082 5 5 -1 -1 5 5 -1 -1 401077,5 -1 0,5 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_12/room_2/features/nonPlanes<pfh_susan_2015-05-29_10-33-40.pcd 4.136e-05 0.000449234 5.9819e-05 1 1 1 -1 381376 5 5 -1 -1 5 5 -1 -1 381371,5 -1 0,5 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_14/room_1/features/nonPlanes<pfh_susan_2015-05-29_10-33-44.pcd 4.9395e-05 0.00057078 5.5736e-05 1 2 1 -1 408408 4 5 -1 -1 4 5 -1 -1 408404,3,1 -1 0,3,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_2/room_4/features/nonPlanes<pfh_susan_2015-05-29_10-33-48.pcd 5.7066e-05 0.000614095 5.617e-05 1 1 1 -1 383295 5 5 -1 -1 5 5 -1 -1 383290,5 -1 0,5 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_9/room_2/features/nonPlanes<pfh_susan_2015-05-29_10-33-51.pcd 4.9267e-05 0.000463881 7.8831e-05 1 1 1 -1 421245 5 5 -1 -1 5 5 -1 -1 421240,5 -1 0,5 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140904/patrol_run_15/room_2/features/nonPlanes<pfh_susan_2015-05-29_10-33-53.pcd 5.5696e-05 0.000443171 7.6964e-05 1 1 1 -1 398112 5 5 -1 -1 5 5 -1 -1 398107,5 -1 0,5 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_17/room_2/features/nonPlanes<pfh_susan_2015-05-29_10-33-56.pcd 3.4e-05 0.00042511 5.9702e-05 1 1 1 -1 384384 5 5 -1 -1 5 5 -1 -1 384379,5 -1 0,5 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_19/room_1/features/nonPlanes<pfh_susan_2015-05-29_10-33-59.pcd 3.5545e-05 0.000411316 4.9906e-05 1 1 1 -1 363776 5 5 -1 -1 5 5 -1 -1 363771,5 -1 0,5 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_21/room_2/features/nonPlanes<pfh_susan_2015-05-29_10-34-02.pcd 3.6983e-05 0.00043094 4.9659e-05 1 2 1 -1 372438 4 5 -1 -1 4 5 -1 -1 372434,3,1 -1 0,3,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_23/room_2/features/nonPlanes<pfh_susan_2015-05-29_10-34-04.pcd 3.1474e-05 0.00042186 5.2495e-05 1 1 1 -1 368676 5 5 -1 -1 5 5 -1 -1 368671,5 -1 0,5 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_25/room_1/features/nonPlanes<pfh_susan_2015-05-29_10-34-07.pcd 4.1216e-05 0.000429059 5.164e-05 1 2 1 -1 369171 4 5 -1 -1 4 5 -1 -1 369167,3,1 -1 0,3,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_27/room_2/features/nonPlanes<pfh_susan_2015-05-29_10-34-09.pcd 5.9131e-05 0.000533723 8.0042e-05 1 1 1 -1 380358 5 5 -1 -1 5 5 -1 -1 380353,5 -1 0,5 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_29/room_2/features/nonPlanes<pfh_susan_2015-05-29_10-34-12.pcd 3.3942e-05 0.000312075 3.0288e-05 1 1 1 -1 376200 5 5 -1 -1 5 5 -1 -1 376195,5 -1 0,5 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_30/room_1/features/nonPlanes<pfh_susan_2015-05-29_10-34-14.pcd 1.5252e-05 0.000246352 2.8177e-05 1 1 1 -1 382800 5 5 -1 -1 5 5 -1 -1 382795,5 -1 0,5 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_30/room_7/features/nonPlanes<pfh_susan_2015-05-29_10-34-17.pcd 2.0541e-05 0.000232933 3.4754e-05 1 1 1 -1 375705 5 5 -1 -1 5 5 -1 -1 375700,5 -1 0,5 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140908/patrol_run_32/room_2/features/nonPlanes<pfh_susan_2015-05-29_10-34-20.pcd 4.0294e-05 0.000462193 5.2145e-05 1 1 1 -1 397683 5 5 -1 -1 5 5 -1 -1 397678,5 -1 0,5 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140908/patrol_run_34/room_2/features/nonPlanes<pfh_susan_2015-05-29_10-34-23.pcd 4.712e-05 0.000447423 5.0134e-05 1 1 1 -1 390456 5 5 -1 -1 5 5 -1 -1 390451,5 -1 0,5 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140908/patrol_run_36/room_3/features/nonPlanes<pfh_susan_2015-05-29_10-34-26.pcd 4.5794e-05 0.000444289 5.2864e-05 1 1 1 -1 371316 5 5 -1 -1 5 5 -1 -1 371311,5 -1 0,5 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140908/patrol_run_38/room_2/features/nonPlanes<pfh_susan_2015-05-29_10-34-29.pcd 3.3509e-05 0.00046073 4.6058e-05 1 2 1 -1 378378 4 5 -1 -1 4 5 -1 -1 378374,3,1 -1 0,3,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140908/patrol_run_39/room_3/features/nonPlanes<pfh_susan_2015-05-29_10-34-32.pcd 2.0556e-05 0.00023973 2.3551e-05 1 1 1 -1 385506 5 5 -1 -1 5 5 -1 -1 385501,5 -1 0,5 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140908/patrol_run_41/room_3/features/nonPlanes<pfh_susan_2015-05-29_10-34-34.pcd 1.6295e-05 0.000253006 2.6704e-05 1 1 1 -1 367488 5 5 -1 -1 5 5 -1 -1 367483,5 -1 0,5 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140908/patrol_run_43/room_3/features/nonPlanes<pfh_susan_2015-05-29_10-34-37.pcd 1.8626e-05 0.000235375 2.6512e-05 1 2 1 -1 384846 4 5 -1 -1 4 5 -1 -1 384842,3,1 -1 0,3,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140908/patrol_run_45/room_2/features/nonPlanes<pfh_susan_2015-05-29_10-34-41.pcd 2.0232e-05 0.000245719 2.6942e-05 1 2 1 -1 375144 4 5 -1 -1 4 5 -1 -1 375140,3,1 -1 0,3,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140908/patrol_run_47/room_3/features/nonPlanes<pfh_susan_2015-05-29_10-34-44.pcd 4.547e-05 0.000430769 4.2868e-05 1 3 1 -1 380160 3 5 -1 -1 3 5 -1 -1 380157,2,0,1 -1 0,2,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140909/patrol_run_49/room_3/features/nonPlanes<pfh_susan_2015-05-29_10-34-47.pcd 4.4347e-05 0.00041463 5.0531e-05 1 1 1 -1 356960 5 5 -1 -1 5 5 -1 -1 356955,5 -1 0,5 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140909/patrol_run_51/room_3/features/nonPlanes<pfh_susan_2015-05-29_10-34-50.pcd 3.8815e-05 0.000423238 5.5459e-05 1 1 1 -1 378972 5 5 -1 -1 5 5 -1 -1 378967,5 -1 0,5 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140909/patrol_run_53/room_3/features/nonPlanes<pfh_susan_2015-05-29_10-34-53.pcd 4.2133e-05 0.000417806 5.1811e-05 1 1 1 -1 374400 5 5 -1 -1 5 5 -1 -1 374395,5 -1 0,5 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140909/patrol_run_55/room_3/features/nonPlanes<pfh_susan_2015-05-29_10-34-56.pcd 4.1538e-05 0.000430786 5.1371e-05 1 2 1 -1 382800 4 5 -1 -1 4 5 -1 -1 382796,3,1 -1 0,3,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140909/patrol_run_59/room_3/features/nonPlanes<pfh_susan_2015-05-29_10-34-58.pcd 3.5915e-05 0.000408358 0.000100388 1 1 1 -1 366912 5 5 -1 -1 5 5 -1 -1 366907,5 -1 0,5 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140909/patrol_run_61/room_3/features/nonPlanes<pfh_susan_2015-05-29_10-35-01.pcd 4.1775e-05 0.000550968 5.885e-05 1 1 1 -1 378972 5 5 -1 -1 5 5 -1 -1 378967,5 -1 0,5 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140909/patrol_run_63/room_3/features/nonPlanes<pfh_susan_2015-05-29_10-35-05.pcd 3.8414e-05 0.00045789 5.5452e-05 1 1 1 -1 391314 5 5 -1 -1 5 5 -1 -1 391309,5 -1 0,5 -1
