obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 5, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<fpfh_uniform, n_max_points: 200,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,015/pillow/features/rgb_0003_label_pillow<fpfh_uniform_2015-05-28_10-49-14.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k5_mx200_t0,2/ds0,015_mp9000',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__39908: 'http://tycho:39908/'}
rosversion: '1.11.10

  '
run_id: a5dd63ba-06c1-11e5-947e-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<fpfh_uniform_2015-05-29_08-46-07.pcd 0.0171572 0.00151244 0.000963643 2 95,62 40,22 -1 449955 419 665 -1 -1 200 446 -1 -1 449536,281,78,34,15,7,1,1,0,2 -1 0,62,78,34,15,7,1,1,0,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<fpfh_uniform_2015-05-29_08-46-11.pcd 0.0190283 0.000658639 0.000851332 3 79,34,24 33,14,12 -1 424446 425 665 -1 -1 200 440 -1 -1 424021,273,99,30,14,6,3 -1 0,48,99,30,14,6,3 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<fpfh_uniform_2015-05-29_08-46-16.pcd 0.016937 0.000630131 0.000814312 3 127,50,43 54,19,18 -1 441870 435 665 -1 -1 200 430 -1 -1 441435,289,91,37,8,9,1 -1 0,54,91,37,8,9,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<fpfh_uniform_2015-05-29_08-46-21.pcd 0.0160451 0.000596171 0.000882557 2 145,85 55,37 -1 461736 416 665 -1 -1 200 449 -1 -1 461320,266,95,29,15,8,1,1,0,1 -1 0,50,95,29,15,8,1,1,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<fpfh_uniform_2015-05-29_08-46-26.pcd 0.0193901 0.00150371 0.000790588 2 60,22 24,12 -1 404481 439 665 -1 -1 200 426 -1 -1 404042,307,72,43,9,4,2,0,1,1 -1 0,68,72,43,9,4,2,0,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<fpfh_uniform_2015-05-29_08-46-31.pcd 0.0167552 0.00055176 0.000804473 2 63,58 23,29 -1 424710 394 665 -1 -1 200 471 -1 -1 424316,249,80,33,15,9,5,2,1 -1 0,55,80,33,15,9,5,2,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<fpfh_uniform_2015-05-29_08-46-36.pcd 0.0173317 0.000596431 0.000816871 3 82,53,33 32,21,14 -1 456456 395 665 -1 -1 200 470 -1 -1 456061,261,69,30,17,10,6,0,0,0,0,2 -1 0,66,69,30,17,10,6,0,0,0,0,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<fpfh_uniform_2015-05-29_08-46-41.pcd 0.0183037 0.000596792 0.00078001 2 86,33 32,13 -1 449592 428 665 -1 -1 200 437 -1 -1 449164,292,85,26,12,8,1,2,1,1 -1 0,64,85,26,12,8,1,2,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<fpfh_uniform_2015-05-29_08-46-45.pcd 0.0180472 0.000595182 0.000764081 3 72,34,33 28,12,16 -1 451044 393 665 -1 -1 200 472 -1 -1 450651,259,74,27,11,8,9,3,1,0,1 -1 0,66,74,27,11,8,9,3,1,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<fpfh_uniform_2015-05-29_08-46-50.pcd 0.0182302 0.000589061 0.000757222 3 67,60,21 20,30,15 -1 451044 421 665 -1 -1 200 444 -1 -1 450623,281,86,28,12,7,4,3 -1 0,60,86,28,12,7,4,3 -1
