obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 5, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shotcolor_uniform,
  n_max_points: 200, output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,015/pillow/features/rgb_0003_label_pillow<shotcolor_uniform_2015-05-28_10-49-03.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k5_mx200_t0,2/ds0,015_mp9000',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__39136: 'http://tycho:39136/'}
rosversion: '1.11.10

  '
run_id: f16d653a-06be-11e5-8004-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shotcolor_uniform_2015-05-29_08-44-08.pcd 9.40704 0.00292213 0.000976282 4 40,30,26,17 27,15,16,12 -1 449955 490 665 -1 -1 200 375 -1 -1 449465,374,80,24,5,4,2,1 -1 0,84,80,24,5,4,2,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shotcolor_uniform_2015-05-29_08-44-09.pcd 9.3594 0.000792983 0.00124036 3 47,38,33 26,28,14 -1 424446 514 665 -1 -1 200 351 -1 -1 423932,404,81,22,5,0,1,1 -1 0,90,81,22,5,0,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shotcolor_uniform_2015-05-29_08-44-11.pcd 8.9832 0.000810854 0.00147952 4 98,53,23,17 48,26,17,12 -1 441870 505 665 -1 -1 200 360 -1 -1 441365,400,72,21,6,3,2,1 -1 0,95,72,21,6,3,2,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shotcolor_uniform_2015-05-29_08-44-12.pcd 8.7785 0.00121473 0.00158904 5 98,46,39,22,16 37,28,20,18,13 -1 461736 489 665 -1 -1 200 376 -1 -1 461247,384,71,18,11,2,0,0,0,1,0,2 -1 0,95,71,18,11,2,0,0,0,1,0,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shotcolor_uniform_2015-05-29_08-44-13.pcd 9.49506 0.000759293 0.000952495 5 55,50,38,32,20 23,24,29,19,15 -1 404481 513 665 -1 -1 200 352 -1 -1 403968,409,71,21,10,1,1 -1 0,96,71,21,10,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shotcolor_uniform_2015-05-29_08-44-15.pcd 8.8496 0.00116642 0.00141709 5 80,55,43,38,17 38,20,21,12,12 -1 424710 479 665 -1 -1 200 386 -1 -1 424231,372,66,27,3,9,0,1,0,0,0,0,0,0,0,0,1 -1 0,93,66,27,3,9,0,1,0,0,0,0,0,0,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shotcolor_uniform_2015-05-29_08-44-16.pcd 7.97249 0.000734554 0.00154896 3 147,43,39 46,25,25 -1 456456 437 665 -1 -1 200 428 -1 -1 456019,327,58,24,12,7,2,4,1,1,1 -1 0,90,58,24,12,7,2,4,1,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shotcolor_uniform_2015-05-29_08-44-17.pcd 8.08755 0.000793969 0.000895836 3 58,49,41 33,23,24 -1 449592 493 665 -1 -1 200 372 -1 -1 449099,374,80,26,12,1 -1 0,81,80,26,12,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shotcolor_uniform_2015-05-29_08-44-19.pcd 8.42903 0.000807024 0.000898242 5 44,42,36,28,22 20,28,13,12,15 -1 451044 503 665 -1 -1 200 362 -1 -1 450541,393,77,22,6,3,1,1 -1 0,90,77,22,6,3,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shotcolor_uniform_2015-05-29_08-44-20.pcd 8.23258 0.000784023 0.000910176 5 66,52,41,23,22 35,22,16,17,13 -1 451044 509 665 -1 -1 200 356 -1 -1 450535,409,62,27,7,3,0,0,1 -1 0,100,62,27,7,3,0,0,1 -1
