obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 5, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shotcolor_susan,
  n_max_points: 200, output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,015/top_couch_jacket2/features/rgb_0003_label_top_couch_jacket2<shotcolor_susan_2015-05-28_10-55-13.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k5_mx200_t0,2/ds0,015_mp9000',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__47858: 'http://tycho:47858/'}
rosversion: '1.11.10

  '
run_id: b7475f66-06a3-11e5-a3d4-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shotcolor_susan_2015-05-29_10-29-44.pcd 0.176479 0.00146139 0.000333552 1 4 1 -1 378972 57 75 -1 -1 57 75 -1 -1 378915,45,7,4,1 -1 0,45,7,4,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shotcolor_susan_2015-05-29_10-29-45.pcd 0.178738 0.00136084 0.000259223 1 7 1 -1 405768 50 75 -1 -1 50 75 -1 -1 405718,34,12,2,1,0,0,1 -1 0,34,12,2,1,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shotcolor_susan_2015-05-29_10-29-46.pcd 0.169313 0.0012989 0.000258309 1 6 1 -1 389400 57 75 -1 -1 57 75 -1 -1 389343,46,8,1,1,0,1 -1 0,46,8,1,1,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shotcolor_susan_2015-05-29_10-29-47.pcd 0.181938 0.00130922 0.000322508 1 11 1 -1 390456 48 75 -1 -1 48 75 -1 -1 390408,39,4,1,2,0,1,0,0,0,0,1 -1 0,39,4,1,2,0,1,0,0,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shotcolor_susan_2015-05-29_10-29-47.pcd 0.206792 0.00117916 0.000292859 1 25 13 -1 397188 50 75 -1 -1 50 75 -1 -1 397138,34,11,3,1,0,1 -1 0,34,11,3,1,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shotcolor_susan_2015-05-29_10-29-48.pcd 0.117181 0.00102424 0.000302555 1 20 18 -1 354368 62 75 -1 -1 62 75 -1 -1 354306,51,10,0,1 -1 0,51,10,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shotcolor_susan_2015-05-29_10-29-49.pcd 0.180253 0.00135742 0.00025576 1 26 13 -1 404976 56 75 -1 -1 56 75 -1 -1 404920,45,8,1,0,1,1 -1 0,45,8,1,0,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shotcolor_susan_2015-05-29_10-29-49.pcd 0.129611 0.00107532 0.000262966 1 5 1 -1 384087 59 75 -1 -1 59 75 -1 -1 384028,49,8,0,0,2 -1 0,49,8,0,0,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shotcolor_susan_2015-05-29_10-29-50.pcd 0.0929374 0.00153638 0.000407069 1 5 1 -1 399960 60 75 -1 -1 60 75 -1 -1 399900,50,7,2,0,1 -1 0,50,7,2,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shotcolor_susan_2015-05-29_10-29-50.pcd 0.195304 0.001134 0.00037226 1 3 1 -1 389400 56 75 -1 -1 56 75 -1 -1 389344,40,13,3 -1 0,40,13,3 -1
