obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 5, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shot_uniform, n_max_points: 200,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,015/top_couch_jacket2/features/rgb_0003_label_top_couch_jacket2<shot_uniform_2015-05-28_10-48-54.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k5_mx200_t0,2/ds0,015_mp9000',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__47782: 'http://tycho:47782/'}
rosversion: '1.11.10

  '
run_id: 93eb2c30-06a0-11e5-b1e1-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shot_uniform_2015-05-29_08-42-29.pcd 1.32331 0.00139068 0.0011497 5 31,18,17,15,14 28,16,16,15,12 -1 449955 502 535 -1 -1 200 233 -1 -1 449453,472,27,3 -1 0,170,27,3 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shot_uniform_2015-05-29_08-42-30.pcd 1.41242 0.000659592 0.000551327 4 22,21,19,16 19,20,17,13 -1 424446 496 535 -1 -1 200 239 -1 -1 423950,462,29,5 -1 0,166,29,5 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shot_uniform_2015-05-29_08-42-31.pcd 1.41352 0.000594225 0.000365645 2 17,16 17,16 -1 441870 496 535 -1 -1 200 239 -1 -1 441374,461,31,4 -1 0,165,31,4 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shot_uniform_2015-05-29_08-42-32.pcd 1.57944 0.00192171 0.00138593 3 30,21,14 28,21,13 -1 461736 493 535 -1 -1 200 242 -1 -1 461243,453,38,2 -1 0,160,38,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shot_uniform_2015-05-29_08-42-33.pcd 1.51749 0.00131906 0.000842148 2 22,15 21,14 -1 404481 494 535 -1 -1 200 241 -1 -1 403987,454,39,1 -1 0,160,39,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shot_uniform_2015-05-29_08-42-33.pcd 1.41902 0.00135154 0.000841557 4 22,17,15,14 20,14,14,13 -1 424710 501 535 -1 -1 200 234 -1 -1 424209,468,32,1 -1 0,167,32,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shot_uniform_2015-05-29_08-42-34.pcd 1.31977 0.00134086 0.000825927 4 31,29,25,12 29,24,20,12 -1 456456 496 535 -1 -1 200 239 -1 -1 455960,464,26,5,1 -1 0,168,26,5,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shot_uniform_2015-05-29_08-42-35.pcd 1.44805 0.00129471 0.000782894 3 26,19,14 23,17,12 -1 449592 503 535 -1 -1 200 232 -1 -1 449089,474,26,3 -1 0,171,26,3 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shot_uniform_2015-05-29_08-42-36.pcd 1.18557 0.000875542 0.000819955 2 28,25 27,24 -1 451044 502 535 -1 -1 200 233 -1 -1 450542,469,33 -1 0,167,33 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shot_uniform_2015-05-29_08-42-37.pcd 1.14662 0.00149162 0.000783668 3 36,16,15 32,14,14 -1 451044 491 535 -1 -1 200 244 -1 -1 450553,448,42,1 -1 0,157,42,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<shot_uniform_2015-05-29_08-42-38.pcd 1.04251 0.00149418 0.000819376 1 60 54 -1 427977 494 535 -1 -1 200 241 -1 -1 427483,458,31,5 -1 0,164,31,5 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<shot_uniform_2015-05-29_08-42-39.pcd 1.28063 0.00158424 0.000862143 2 30,13 29,12 -1 470184 500 535 -1 -1 200 235 -1 -1 469684,468,29,3 -1 0,168,29,3 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_10/room_2/features/nonPlanes<shot_uniform_2015-05-29_08-42-40.pcd 1.12301 0.000588695 0.000381401 5 29,17,17,16,15 27,17,15,14,14 -1 453024 496 535 -1 -1 200 239 -1 -1 452528,459,35,2 -1 0,163,35,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_12/room_2/features/nonPlanes<shot_uniform_2015-05-29_08-42-41.pcd 1.41156 0.00137284 0.000797891 3 27,17,15 22,13,15 -1 434214 501 535 -1 -1 200 234 -1 -1 433713,470,28,3 -1 0,169,28,3 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_14/room_1/features/nonPlanes<shot_uniform_2015-05-29_08-42-43.pcd 1.41056 0.00130725 0.000812507 1 48 45 -1 434313 493 535 -1 -1 200 242 -1 -1 433820,454,36,3 -1 0,161,36,3 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_2/room_4/features/nonPlanes<shot_uniform_2015-05-29_08-42-44.pcd 1.81137 0.00190435 0.000577755 2 50,14 45,13 -1 462264 499 535 -1 -1 200 236 -1 -1 461765,466,30,3 -1 0,167,30,3 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_9/room_2/features/nonPlanes<shot_uniform_2015-05-29_08-42-45.pcd 1.4303 0.0022161 0.00079715 1 31 25 -1 491568 481 535 -1 -1 200 254 -1 -1 491087,434,40,7 -1 0,153,40,7 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140904/patrol_run_15/room_2/features/nonPlanes<shot_uniform_2015-05-29_08-42-46.pcd 1.44532 0.0021509 0.00140805 3 20,18,14 16,17,12 -1 517902 503 535 -1 -1 200 232 -1 -1 517399,472,30,1 -1 0,169,30,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_17/room_2/features/nonPlanes<shot_uniform_2015-05-29_08-42-47.pcd 1.30333 0.00085047 0.000482694 2 16,13 13,12 -1 446160 492 535 -1 -1 200 243 -1 -1 445668,451,40,0,1 -1 0,159,40,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_19/room_1/features/nonPlanes<shot_uniform_2015-05-29_08-42-48.pcd 1.34175 0.00067826 0.000384285 3 22,21,19 19,17,17 -1 453024 500 535 -1 -1 200 235 -1 -1 452524,467,31,2 -1 0,167,31,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_21/room_2/features/nonPlanes<shot_uniform_2015-05-29_08-42-49.pcd 1.06201 0.000682719 0.000441102 1 14 14 -1 419265 498 535 -1 -1 200 237 -1 -1 418767,464,31,3 -1 0,166,31,3 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_23/room_2/features/nonPlanes<shot_uniform_2015-05-29_08-42-50.pcd 1.18438 0.000844954 0.000455341 2 66,21 59,19 -1 463320 491 535 -1 -1 200 244 -1 -1 462829,449,40,2 -1 0,158,40,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_25/room_1/features/nonPlanes<shot_uniform_2015-05-29_08-42-51.pcd 1.17075 0.000699913 0.000460707 6 29,16,16,14,13,12 22,15,14,12,13,12 -1 407286 483 535 -1 -1 200 252 -1 -1 406803,437,41,4,1 -1 0,154,41,4,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_27/room_2/features/nonPlanes<shot_uniform_2015-05-29_08-42-52.pcd 1.21749 0.00136133 0.000854764 4 30,17,15,14 27,14,13,14 -1 470448 496 535 -1 -1 200 239 -1 -1 469952,461,31,4 -1 0,165,31,4 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_29/room_2/features/nonPlanes<shot_uniform_2015-05-29_08-42-53.pcd 1.12751 0.00138205 0.000830915 2 31,18 30,13 -1 433290 497 535 -1 -1 200 238 -1 -1 432793,465,28,2,2 -1 0,168,28,2,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_30/room_1/features/nonPlanes<shot_uniform_2015-05-29_08-42-54.pcd 0.895656 0.000662061 0.000411043 3 23,22,12 18,17,12 -1 446622 490 535 -1 -1 200 245 -1 -1 446132,448,39,3 -1 0,158,39,3 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140905/patrol_run_30/room_7/features/nonPlanes<shot_uniform_2015-05-29_08-42-55.pcd 1.27382 0.00153754 0.000948804 3 35,31,25 32,31,20 -1 458865 503 535 -1 -1 200 232 -1 -1 458362,474,27,1,1 -1 0,171,27,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140908/patrol_run_32/room_2/features/nonPlanes<shot_uniform_2015-05-29_08-42-57.pcd 1.60094 0.00133949 0.00103545 2 55,17 47,17 -1 453024 494 535 -1 -1 200 241 -1 -1 452530,454,39,1 -1 0,160,39,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140908/patrol_run_34/room_2/features/nonPlanes<shot_uniform_2015-05-29_08-42-58.pcd 1.59731 0.00136021 0.000813874 2 32,15 26,14 -1 423720 492 535 -1 -1 200 243 -1 -1 423228,450,41,1 -1 0,158,41,1 -1
