obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 5, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shotcolor_uniform,
  n_max_points: 200, output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/top_couch_jacket2/features/rgb_0003_label_top_couch_jacket2<shotcolor_uniform_2015-05-26_14-46-01.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k5_mx200_t0,2/ds0,015_mp9000',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__45075: 'http://tycho:45075/'}
rosversion: '1.11.10

  '
run_id: 8fa46c52-0850-11e5-a0ca-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shotcolor_uniform_2015-05-29_08-44-08.pcd 8.14794 0.00272372 0.00165687 3 29,25,19 23,19,13 -1 449955 460 560 -1 -1 200 300 -1 -1 449495,382,59,16,3 -1 0,122,59,16,3 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shotcolor_uniform_2015-05-29_08-44-09.pcd 8.64291 0.00110525 0.00131764 3 26,17,16 17,15,15 -1 424446 492 560 -1 -1 200 268 -1 -1 423954,437,44,10,0,1 -1 0,145,44,10,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shotcolor_uniform_2015-05-29_08-44-11.pcd 8.71386 0.000744891 0.00177837 4 52,43,24,13 40,30,19,12 -1 441870 492 560 -1 -1 200 268 -1 -1 441378,434,49,8,1 -1 0,142,49,8,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shotcolor_uniform_2015-05-29_08-44-12.pcd 8.49568 0.00207958 0.00142256 4 36,21,18,17 31,16,14,15 -1 461736 483 560 -1 -1 200 277 -1 -1 461253,418,53,12 -1 0,135,53,12 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shotcolor_uniform_2015-05-29_08-44-13.pcd 8.95841 0.00108207 0.00145104 4 36,19,19,14 27,15,14,14 -1 404481 486 560 -1 -1 200 274 -1 -1 403995,425,48,13 -1 0,139,48,13 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shotcolor_uniform_2015-05-29_08-44-15.pcd 7.77682 0.000919233 0.00135627 4 44,36,19,19 32,30,17,13 -1 424710 483 560 -1 -1 200 277 -1 -1 424227,419,56,6,0,1,1 -1 0,136,56,6,0,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shotcolor_uniform_2015-05-29_08-44-16.pcd 8.48333 0.00107381 0.00147246 3 60,53,19 42,33,15 -1 456456 465 560 -1 -1 200 295 -1 -1 455991,386,64,14,1 -1 0,121,64,14,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shotcolor_uniform_2015-05-29_08-44-17.pcd 7.84431 0.00190915 0.00136817 3 27,23,14 21,15,13 -1 449592 480 560 -1 -1 200 280 -1 -1 449112,416,48,16 -1 0,136,48,16 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shotcolor_uniform_2015-05-29_08-44-19.pcd 8.88526 0.00198879 0.00140226 4 51,26,17,12 40,19,13,12 -1 451044 497 560 -1 -1 200 263 -1 -1 450547,443,46,7,1 -1 0,146,46,7,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shotcolor_uniform_2015-05-29_08-44-20.pcd 9.41526 0.00112102 0.00136775 3 49,34,21 33,28,12 -1 451044 472 560 -1 -1 200 288 -1 -1 450572,399,61,9,3 -1 0,127,61,9,3 -1
