obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 5, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shotcolor_iss, n_max_points: 200,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,015/trash_bin/features/rgb_0000_label_trash_bin<shotcolor_iss_2015-05-28_10-52-54.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k5_mx200_t0,2/ds0,015_mp9000',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__40604: 'http://tycho:40604/'}
rosversion: '1.11.10

  '
run_id: 641ccdd4-06ae-11e5-baf4-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shotcolor_iss_2015-05-29_10-04-03.pcd 0.174252 0.00126324 0.000499999 1 4 1 -1 378972 60 75 -1 -1 60 75 -1 -1 378912,49,8,2,1 -1 0,49,8,2,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shotcolor_iss_2015-05-29_10-04-04.pcd 0.184663 0.000633104 0.000268649 1 5 1 -1 393760 58 75 -1 -1 58 75 -1 -1 393702,49,4,3,1,1 -1 0,49,4,3,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shotcolor_iss_2015-05-29_10-04-05.pcd 0.182351 0.000454613 0.000254035 1 3 1 -1 389961 67 75 -1 -1 67 75 -1 -1 389894,60,6,1 -1 0,60,6,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shotcolor_iss_2015-05-29_10-04-06.pcd 0.163755 0.000583813 0.000239011 1 6 1 -1 389760 60 75 -1 -1 60 75 -1 -1 389700,55,0,2,2,0,1 -1 0,55,0,2,2,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shotcolor_iss_2015-05-29_10-04-06.pcd 0.178384 0.000504356 0.000234367 1 3 1 -1 368000 62 75 -1 -1 62 75 -1 -1 367938,52,7,3 -1 0,52,7,3 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shotcolor_iss_2015-05-29_10-04-07.pcd 0.160322 0.000444103 0.000370202 1 24 15 -1 360640 62 75 -1 -1 62 75 -1 -1 360578,53,6,2,1 -1 0,53,6,2,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shotcolor_iss_2015-05-29_10-04-08.pcd 0.141277 0.000466858 0.000221986 1 5 1 -1 397683 56 75 -1 -1 56 75 -1 -1 397627,46,4,4,1,1 -1 0,46,4,4,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shotcolor_iss_2015-05-29_10-04-08.pcd 0.149596 0.000447303 0.000236813 1 6 1 -1 425184 55 75 -1 -1 55 75 -1 -1 425129,46,4,1,3,0,1 -1 0,46,4,1,3,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shotcolor_iss_2015-05-29_10-04-09.pcd 0.147807 0.000563894 0.00019237 1 7 1 -1 393294 47 75 -1 -1 47 75 -1 -1 393247,37,5,1,0,1,1,2 -1 0,37,5,1,0,1,1,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shotcolor_iss_2015-05-29_10-04-10.pcd 0.144612 0.000449642 0.000228831 1 5 1 -1 418176 61 75 -1 -1 61 75 -1 -1 418115,53,5,1,1,1 -1 0,53,5,1,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<shotcolor_iss_2015-05-29_10-04-11.pcd 0.189262 0.000609565 0.000377342 1 5 1 -1 417186 60 75 -1 -1 60 75 -1 -1 417126,50,7,2,0,1 -1 0,50,7,2,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<shotcolor_iss_2015-05-29_10-04-11.pcd 0.205509 0.000498927 0.00041343 1 5 1 -1 457776 64 75 -1 -1 64 75 -1 -1 457712,57,5,1,0,1 -1 0,57,5,1,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_10/room_2/features/nonPlanes<shotcolor_iss_2015-05-29_10-04-12.pcd 0.162151 0.000567262 0.000394661 1 5 1 -1 385152 62 75 -1 -1 62 75 -1 -1 385090,54,5,2,0,1 -1 0,54,5,2,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_12/room_2/features/nonPlanes<shotcolor_iss_2015-05-29_10-04-13.pcd 0.169978 0.000424148 0.000237027 1 3 1 -1 373824 65 75 -1 -1 65 75 -1 -1 373759,58,4,3 -1 0,58,4,3 -1
