obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 5, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<pfhrgb_susan, n_max_points: 200,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/backpack2/features/rgb_0003_label_backpack2<pfhrgb_susan_2015-05-26_15-09-30.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k5_mx200_t0,2/dt0,02_mp8000_pp0,001',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__33647: 'http://tycho:33647/'}
rosversion: '1.11.10

  '
run_id: b258c108-07bf-11e5-b7d3-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<pfhrgb_susan_2015-05-22_06-02-38.pcd 0.000376797 0.00132074 0.000181552 1 2 1 1 367488 9 10 3 4 9 10 3 4 367479,8,1 0,2,1 0,8,1 0,2,1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<pfhrgb_susan_2015-05-22_06-02-50.pcd 0.000186439 0.000480262 6.9912e-05 1 2 1 1 405768 8 10 6 7 8 10 6 7 405760,6,2 0,5,1 0,6,2 0,5,1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<pfhrgb_susan_2015-05-22_06-03-01.pcd 0.000478778 0.000393675 8.9119e-05 1 2 1 0 350526 9 10 0 0 9 10 0 0 350517,8,1 0,0,0 0,8,1 0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<pfhrgb_susan_2015-05-22_06-03-12.pcd 0.000634481 0.000583445 0.00011469 1 1 1 1 380358 10 10 1 1 10 10 1 1 380348,10 0,1 0,10 0,1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<pfhrgb_susan_2015-05-22_06-03-28.pcd 0.000197287 0.000610713 0.000102739 1 2 1 1 385152 8 10 5 7 8 10 5 7 385144,6,2 0,3,2 0,6,2 0,3,2
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<pfhrgb_susan_2015-05-22_06-03-46.pcd 0.000603527 0.000606772 0.000113333 1 1 1 0 375144 10 10 3 3 10 10 3 3 375134,10 0,3 0,10 0,3
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<pfhrgb_susan_2015-05-22_06-04-21.pcd 0.000487361 0.000608789 8.8798e-05 1 2 1 1 411840 7 10 3 5 7 10 3 5 411833,4,3 0,1,2 0,4,3 0,1,2
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<pfhrgb_susan_2015-05-22_06-04-36.pcd 0.000541052 0.000587224 0.000112391 1 1 1 1 357984 10 10 4 4 10 10 4 4 357974,10 0,4 0,10 0,4
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<pfhrgb_susan_2015-05-22_06-04-49.pcd 0.00073535 0.000584999 0.000115458 1 1 1 -1 396627 10 10 -1 -1 10 10 -1 -1 396617,10 -1 0,10 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<pfhrgb_susan_2015-05-22_06-04-55.pcd 0.000696989 0.000549351 9.4191e-05 1 2 1 1 393294 8 10 3 4 8 10 3 4 393286,6,2 0,2,1 0,6,2 0,2,1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<pfhrgb_susan_2015-05-22_06-05-06.pcd 0.000412177 0.000427111 7.3327e-05 1 2 1 0 375144 9 10 2 2 9 10 2 2 375135,8,1 0,2,0 0,8,1 0,2,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<pfhrgb_susan_2015-05-22_06-05-18.pcd 0.000154954 0.000434762 6.8375e-05 1 2 1 0 392700 8 10 3 4 8 10 3 4 392692,6,2 0,2,1 0,6,2 0,2,1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140903/patrol_run_10/room_2/features/nonPlanes<pfhrgb_susan_2015-05-22_06-05-31.pcd 0.000530208 0.000442496 9.6235e-05 1 3 1 0 401082 7 10 0 0 7 10 0 0 401075,5,1,1 0,0,0,0 0,5,1,1 0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140903/patrol_run_12/room_2/features/nonPlanes<pfhrgb_susan_2015-05-22_06-05-44.pcd 0.000125381 0.000541046 0.000110433 1 1 1 1 374400 10 10 3 3 10 10 3 3 374390,10 0,3 0,10 0,3
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140903/patrol_run_14/room_1/features/nonPlanes<pfhrgb_susan_2015-05-22_06-05-57.pcd 0.000275905 0.000629281 7.7245e-05 1 2 1 1 408408 8 10 3 4 8 10 3 4 408400,6,2 0,2,1 0,6,2 0,2,1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140903/patrol_run_2/room_4/features/nonPlanes<pfhrgb_susan_2015-05-22_06-06-18.pcd 0.000261803 0.000593785 9.9332e-05 1 2 1 0 390456 8 10 3 3 8 10 3 3 390448,6,2 0,3,0 0,6,2 0,3,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140903/patrol_run_9/room_2/features/nonPlanes<pfhrgb_susan_2015-05-22_06-06-31.pcd 0.000159795 0.000632125 0.000110363 1 3 1 1 424710 8 10 5 7 8 10 5 7 424702,7,0,1 0,4,0,1 0,7,0,1 0,4,0,1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140904/patrol_run_15/room_2/features/nonPlanes<pfhrgb_susan_2015-05-22_06-06-43.pcd 0.000141431 0.000463162 8.047e-05 1 2 1 1 398112 9 10 7 8 9 10 7 8 398103,8,1 0,6,1 0,8,1 0,6,1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140905/patrol_run_17/room_2/features/nonPlanes<pfhrgb_susan_2015-05-22_06-06-55.pcd 0.00023511 0.000419651 6.3424e-05 1 3 1 1 384087 7 10 2 4 7 10 2 4 384080,5,1,1 0,1,0,1 0,5,1,1 0,1,0,1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140905/patrol_run_19/room_1/features/nonPlanes<pfhrgb_susan_2015-05-22_06-07-08.pcd 0.000163501 0.000511325 7.4672e-05 1 3 1 1 340659 7 10 4 7 7 10 4 7 340652,5,1,1 0,2,1,1 0,5,1,1 0,2,1,1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140905/patrol_run_21/room_2/features/nonPlanes<pfhrgb_susan_2015-05-22_06-07-21.pcd 0.00019132 0.00062227 8.3269e-05 1 2 1 1 395010 9 10 5 6 9 10 5 6 395001,8,1 0,4,1 0,8,1 0,4,1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140905/patrol_run_23/room_2/features/nonPlanes<pfhrgb_susan_2015-05-22_06-07-32.pcd 0.000213223 0.000574221 6.7423e-05 1 2 1 1 382239 8 10 2 3 8 10 2 3 382231,6,2 0,1,1 0,6,2 0,1,1
