obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 5, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<fpfh_uniform, n_max_points: 200,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/backpack2/features/rgb_0003_label_backpack2<fpfh_uniform_2015-05-26_14-46-12.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k5_mx200_t0,2/dt0,02_mp8000_pp0,001',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__34318: 'http://tycho:34318/'}
rosversion: '1.11.10

  '
run_id: 0f1f8e00-07d7-11e5-88b6-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<fpfh_uniform_2015-05-21_21-20-52.pcd 0.0346014 0.00093588 0.000947269 2 31,21 20,14 0,0 449955 520 630 16 20 200 310 3 7 449435,447,52,13,4,1,2,1 0,13,2,1,0,0,0,0 0,127,52,13,4,1,2,1 0,0,2,1,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<fpfh_uniform_2015-05-21_21-21-06.pcd 0.0331011 0.000615742 0.000809594 3 32,26,22 20,16,17 0,0,0 424446 519 630 14 21 200 311 4 11 423927,444,55,13,2,3,0,2 0,10,2,1,1,0,0,0 0,125,55,13,2,3,0,2 0,0,2,1,1,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<fpfh_uniform_2015-05-21_21-21-19.pcd 0.0339917 0.000647093 0.00077274 1 33 19 0 445269 523 630 11 13 200 307 2 4 444746,445,57,15,5,0,1 0,9,2,0,0,0,0 0,122,57,15,5,0,1 0,0,2,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<fpfh_uniform_2015-05-21_21-21-31.pcd 0.0375294 0.000819787 0.000797935 2 23,21 15,18 0,0 461736 534 630 9 11 200 296 2 4 461202,463,56,10,2,2,0,1 0,7,2,0,0,0,0,0 0,129,56,10,2,2,0,1 0,0,2,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<fpfh_uniform_2015-05-21_21-21-44.pcd 0.0164309 0.000404746 0.000739537 3 32,21,13 13,17,12 0,0,0 404481 504 630 12 13 200 326 1 2 403977,406,77,16,3,2 0,11,1,0,0,0 0,102,77,16,3,2 0,0,1,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<fpfh_uniform_2015-05-21_21-21-56.pcd 0.0483901 0.000806194 0.00132958 1 27 23 0 424710 508 630 10 13 200 322 3 6 424202,429,59,11,3,3,1,0,1,1 0,7,3,0,0,0,0,0,0,0 0,121,59,11,3,3,1,0,1,1 0,0,3,0,0,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<fpfh_uniform_2015-05-21_21-22-09.pcd 0.0312864 0.000626485 0.000753119 2 32,24 21,13 0,0 456456 506 630 14 19 200 324 5 10 455950,416,69,12,5,4 0,9,5,0,0,0 0,110,69,12,5,4 0,0,5,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<fpfh_uniform_2015-05-21_21-22-20.pcd 0.0172451 0.000367809 0.000420257 2 52,14 22,14 0,0 449592 526 630 10 11 200 304 1 2 449066,450,57,13,4,1,1 0,9,1,0,0,0,0 0,124,57,13,4,1,1 0,0,1,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<fpfh_uniform_2015-05-21_21-22-33.pcd 0.0352574 0.000812474 0.000352563 2 29,26 23,12 -1 451044 504 630 -1 -1 200 326 -1 -1 450540,413,72,11,5,0,2,0,1 -1 0,109,72,11,5,0,2,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<fpfh_uniform_2015-05-21_21-22-46.pcd 0.0163536 0.000362118 0.000419938 1 34 17 0 451044 515 630 7 9 200 315 2 4 450529,433,63,10,5,3,1 0,5,2,0,0,0,0 0,118,63,10,5,3,1 0,0,2,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<fpfh_uniform_2015-05-21_21-22-57.pcd 0.0314984 0.000592268 0.000813479 1 25 13 0 427977 521 630 11 19 200 309 4 12 427456,446,54,13,4,3,1 0,7,2,1,0,1,0 0,125,54,13,4,3,1 0,0,2,1,0,1,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<fpfh_uniform_2015-05-21_21-23-08.pcd 0.0347094 0.00064435 0.000771244 1 30 22 0 470184 485 630 11 15 200 345 3 7 469699,393,64,16,8,1,1,0,1,0,1 0,8,2,1,0,0,0,0,0,0,0 0,108,64,16,8,1,1,0,1,0,1 0,0,2,1,0,0,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140903/patrol_run_10/room_2/features/nonPlanes<fpfh_uniform_2015-05-21_21-23-21.pcd 0.0285493 0.000633569 0.000816066 4 47,22,18,15 35,14,13,12 0,0,0,0 453024 508 630 11 25 200 322 6 20 452516,429,59,12,3,2,0,0,2,1 0,5,4,0,1,0,0,0,1,0 0,121,59,12,3,2,0,0,2,1 0,0,4,0,1,0,0,0,1,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140903/patrol_run_12/room_2/features/nonPlanes<fpfh_uniform_2015-05-21_21-23-31.pcd 0.0326085 0.000625056 0.000750773 1 18 18 0 434214 510 630 10 14 200 320 3 7 433704,420,70,12,7,0,1 0,7,2,1,0,0,0 0,110,70,12,7,0,1 0,0,2,1,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140903/patrol_run_14/room_1/features/nonPlanes<fpfh_uniform_2015-05-21_21-23-43.pcd 0.0332651 0.000622156 0.000804726 2 33,15 15,14 0,0 434313 515 630 12 29 200 315 7 24 433798,433,62,13,5,0,1,0,1 0,5,2,2,2,0,1,0,0 0,118,62,13,5,0,1,0,1 0,0,2,2,2,0,1,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140903/patrol_run_2/room_4/features/nonPlanes<fpfh_uniform_2015-05-21_21-23-55.pcd 0.0335157 0.000710343 0.000854225 1 44 29 0 462264 525 630 12 16 200 305 3 7 461739,440,69,12,4 0,9,2,1,0 0,115,69,12,4 0,0,2,1,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140903/patrol_run_9/room_2/features/nonPlanes<fpfh_uniform_2015-05-21_21-24-06.pcd 0.03235 0.000753703 0.000804272 2 24,21 20,20 0,0 491568 519 630 12 20 200 311 5 13 491049,433,70,10,4,1,1 0,7,3,1,1,0,0 0,114,70,10,4,1,1 0,0,3,1,1,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140904/patrol_run_15/room_2/features/nonPlanes<fpfh_uniform_2015-05-21_21-24-17.pcd 0.0316773 0.000835363 0.000808277 2 31,18 12,16 0,0 517902 516 630 9 14 200 314 3 8 517386,431,62,19,3,0,1 0,6,1,2,0,0,0 0,115,62,19,3,0,1 0,0,1,2,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140905/patrol_run_17/room_2/features/nonPlanes<fpfh_uniform_2015-05-21_21-24-29.pcd 0.0323506 0.000801676 0.000777435 2 22,17 16,12 0,0 446160 510 630 11 17 200 320 5 11 445650,425,64,14,3,2,1,1 0,6,4,1,0,0,0,0 0,115,64,14,3,2,1,1 0,0,4,1,0,0,0,0
