obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 5, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shot_iss, n_max_points: 200,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/chair1/features/rgb_0015_label_chair1<shot_iss_2015-05-26_14-58-12.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k5_mx200_t0,2/dt0,02_mp8000_pp0,001',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__45650: 'http://tycho:45650/'}
rosversion: '1.11.10

  '
run_id: a507b188-07ad-11e5-a44f-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shot_iss_2015-05-22_01-16-34.pcd 0.896626 0.00155396 0.000974321 4 82,71,40,33 32,26,27,12 0,0,1,0 386100 639 880 47 62 200 441 24 39 385461,473,118,30,11,5,2 0,35,9,3,0,0,0 0,34,118,30,11,5,2 0,12,9,3,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shot_iss_2015-05-22_01-17-02.pcd 0.841111 0.000574956 0.000846571 3 142,41,27 54,20,14 0,1,0 413127 657 880 53 75 200 423 23 45 412470,503,112,26,9,4,2,1 0,36,14,1,2,0,0,0 0,46,112,26,9,4,2,1 0,6,14,1,2,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shot_iss_2015-05-22_01-17-20.pcd 0.844296 0.000525561 0.00107848 5 68,51,39,37,29 27,20,17,19,14 0,0,1,0,0 400554 670 880 56 81 200 410 20 45 399884,522,103,33,8,3,1 0,38,11,7,0,0,0 0,52,103,33,8,3,1 0,2,11,7,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shot_iss_2015-05-22_01-17-30.pcd 0.941329 0.000756458 0.00124806 3 102,86,24 38,32,12 0,0,0 394284 645 880 21 32 200 435 6 17 393639,482,117,29,11,4,1,1 0,15,4,1,0,0,1,0 0,37,117,29,11,4,1,1 0,0,4,1,0,0,1,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shot_iss_2015-05-22_01-18-03.pcd 0.843242 0.00160994 0.000902601 3 77,71,54 27,27,22 0,0,1 393822 618 880 56 99 200 462 27 70 393204,456,102,37,11,9,1,2 0,32,12,8,1,3,0,0 0,38,102,37,11,9,1,2 0,3,12,8,1,3,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shot_iss_2015-05-22_01-18-30.pcd 0.883755 0.000798726 0.000898282 3 113,30,30 40,15,12 0,1,0 371910 641 880 40 54 200 439 14 28 371269,489,103,27,11,8,1,2 0,29,9,1,1,0,0,0 0,48,103,27,11,8,1,2 0,3,9,1,1,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shot_iss_2015-05-22_01-18-58.pcd 0.838746 0.000755368 0.000885773 3 110,101,28 41,34,13 0,0,0 408408 625 880 9 10 200 455 1 2 407783,461,112,29,14,6,1,1,0,1 0,8,1,0,0,0,0,0,0,0 0,36,112,29,14,6,1,1,0,1 0,0,1,0,0,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shot_iss_2015-05-22_01-19-25.pcd 0.884089 0.000810292 0.00105863 2 94,42 38,13 0,0 392704 645 880 9 12 200 435 3 6 392059,498,93,34,12,4,3,0,1 0,6,3,0,0,0,0,0,0 0,53,93,34,12,4,3,0,1 0,0,3,0,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shot_iss_2015-05-22_01-19-53.pcd 0.856862 0.000744422 0.000874768 2 95,72 30,29 -1 399960 630 880 -1 -1 200 450 -1 -1 399330,485,85,38,10,6,4,0,1,1 -1 0,55,85,38,10,6,4,0,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shot_iss_2015-05-22_01-20-09.pcd 0.780289 0.000784373 0.00132072 3 130,85,50 50,38,21 0,0,1 378972 652 880 47 70 200 428 21 44 378320,491,117,28,12,2,1,1 0,30,14,1,1,1,0,0 0,39,117,28,12,2,1,1 0,4,14,1,1,1,0,0
