obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 5, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shotcolor_iss, n_max_points: 200,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/chair1/features/rgb_0015_label_chair1<shotcolor_iss_2015-05-26_14-58-49.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k5_mx200_t0,2/dt0,02_mp8000_pp0,001',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__34953: 'http://tycho:34953/'}
rosversion: '1.11.10

  '
run_id: 62956f4c-07ae-11e5-b590-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shotcolor_iss_2015-05-22_01-49-45.pcd 6.42469 0.000837367 0.00166384 6 159,71,62,44,36,18 31,12,24,16,18,13 0,0,0,0,1,1 386100 416 880 58 83 200 664 32 57 385684,262,62,31,20,14,7,3,4,3,2,0,2,4,0,1,0,0,1 0,41,10,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0,46,62,31,20,14,7,3,4,3,2,0,2,4,0,1,0,0,1 0,15,10,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shotcolor_iss_2015-05-22_01-49-47.pcd 6.48052 0.00116454 0.00133458 3 146,92,50 27,32,16 0,1,0 413127 393 880 55 114 200 687 31 90 412734,226,69,38,21,12,7,6,2,3,1,2,1,0,0,0,2,1,0,2 0,29,13,5,2,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0 0,33,69,38,21,12,7,6,2,3,1,2,1,0,0,0,2,1,0,2 0,5,13,5,2,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shotcolor_iss_2015-05-22_01-49-48.pcd 5.99904 0.000738306 0.00148834 5 105,96,79,55,34 30,16,29,14,13 0,0,0,0,0 400554 454 880 30 56 200 626 12 38 400100,276,92,32,25,9,7,3,2,1,2,0,2,1,0,1,0,0,0,1 0,18,5,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0 0,22,92,32,25,9,7,3,2,1,2,0,2,1,0,1,0,0,0,1 0,0,5,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shotcolor_iss_2015-05-22_01-49-50.pcd 6.89862 0.000964051 0.000972112 5 182,123,81,56,42 45,42,14,16,13 0,0,1,0,0 394284 410 880 25 94 200 670 15 84 393874,233,86,39,17,12,7,5,2,0,0,1,2,3,1,0,0,0,0,0,0,0,0,1,0,0,1 0,11,2,5,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0 0,23,86,39,17,12,7,5,2,0,0,1,2,3,1,0,0,0,0,0,0,0,0,1,0,0,1 0,1,2,5,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shotcolor_iss_2015-05-22_01-49-52.pcd 5.87589 0.00113184 0.00149182 4 216,85,83,80 54,23,20,28 0,1,0,0 393822 394 880 47 117 200 686 28 98 393428,208,80,36,31,15,5,5,7,1,3,0,0,1,0,1,0,1 0,19,11,7,6,2,1,0,0,0,0,0,0,0,0,1,0,0 0,14,80,36,31,15,5,5,7,1,3,0,0,1,0,1,0,1 0,0,11,7,6,2,1,0,0,0,0,0,0,0,0,1,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shotcolor_iss_2015-05-22_01-49-52.pcd 6.16806 0.00151415 0.00148672 4 128,123,106,54 27,32,30,15 0,1,0,0 371910 388 880 49 143 200 692 35 129 371522,214,75,41,14,14,9,3,6,3,1,3,1,0,0,2,2 0,20,8,9,6,2,0,0,1,0,1,0,1,0,0,0,1 0,26,75,41,14,14,9,3,6,3,1,3,1,0,0,2,2 0,6,8,9,6,2,0,0,1,0,1,0,1,0,0,0,1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shotcolor_iss_2015-05-22_01-49-53.pcd 6.07787 0.000739576 0.000943658 4 137,120,113,70 29,29,15,24 0,0,0,0 408408 358 880 2 2 200 722 0 0 408050,193,75,31,15,14,4,3,4,5,2,2,2,4,1,0,0,1,0,0,1,0,0,1 0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0,35,75,31,15,14,4,3,4,5,2,2,2,4,1,0,0,1,0,0,1,0,0,1 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shotcolor_iss_2015-05-22_01-49-54.pcd 6.3925 0.00109485 0.0010713 4 174,88,64,51 38,18,14,19 0,0,0,0 392704 390 880 17 68 200 690 10 61 392314,234,60,34,19,10,10,4,3,4,2,4,1,2,1,0,0,2 0,7,1,1,2,1,2,0,1,0,1,0,0,1,0,0,0,0 0,44,60,34,19,10,10,4,3,4,2,4,1,2,1,0,0,2 0,0,1,1,2,1,2,0,1,0,1,0,0,1,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shotcolor_iss_2015-05-22_01-49-56.pcd 6.74772 0.000766126 0.00118664 3 103,59,37 29,14,18 -1 399960 500 880 -1 -1 200 580 -1 -1 399460,354,78,33,9,6,4,2,1,2,2,3,2,0,1,1,1,0,0,1 -1 0,54,78,33,9,6,4,2,1,2,2,3,2,0,1,1,1,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shotcolor_iss_2015-05-22_01-49-57.pcd 6.30722 0.000696502 0.00110562 5 234,115,91,29,26 41,37,32,16,12 0,1,0,0,0 378972 401 880 50 125 200 679 36 111 378571,230,71,47,19,7,10,4,2,2,2,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1 0,17,16,9,4,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0 0,29,71,47,19,7,10,4,2,2,2,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1 0,3,16,9,4,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<shotcolor_iss_2015-05-22_01-49-59.pcd 5.58121 0.00117231 0.000963225 4 200,91,52,37 50,17,20,12 0,1,0,0 420420 380 880 39 123 200 700 25 109 420040,216,61,39,19,10,9,11,5,2,3,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1 0,19,6,4,1,2,2,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0 0,36,61,39,19,10,9,11,5,2,3,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1 0,5,6,4,1,2,2,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<shotcolor_iss_2015-05-22_01-50-00.pcd 6.30547 0.000740891 0.00109716 6 119,97,71,53,47,36 26,20,17,15,14,15 0,1,0,1,0,0 418077 387 880 48 163 200 693 34 149 417690,213,75,34,14,21,8,7,3,3,4,2,2,0,0,0,0,0,0,0,1 0,16,10,4,3,7,2,1,1,2,0,1,1,0,0,0,0,0,0,0,0 0,26,75,34,14,21,8,7,3,3,4,2,2,0,0,0,0,0,0,0,1 0,2,10,4,3,7,2,1,1,2,0,1,1,0,0,0,0,0,0,0,0
