obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 5, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<fpfh_susan, n_max_points: 200,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/chair1/features/rgb_0015_label_chair1<fpfh_susan_2015-05-26_15-08-42.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k5_mx200_t0,2/dt0,02_mp8000_pp0,001',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__58012: 'http://tycho:58012/'}
rosversion: '1.11.10

  '
run_id: 7b9dadb6-07b2-11e5-a3b6-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<fpfh_susan_2015-05-22_05-55-25.pcd 0.00215021 0.00207173 0.000452786 1 5 1 0 367488 49 80 6 10 49 80 6 10 367439,28,15,3,2,1 0,4,1,0,1,0 0,28,15,3,2,1 0,4,1,0,1,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<fpfh_susan_2015-05-22_05-55-29.pcd 0.00139678 0.00143433 0.000284969 1 6 1 0 405768 52 80 4 12 52 80 4 12 405716,34,14,1,1,1,1 0,0,2,1,0,1,0 0,34,14,1,1,1,1 0,0,2,1,0,1,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<fpfh_susan_2015-05-22_05-55-33.pcd 0.0018214 0.00051919 0.000318569 1 6 1 0 350526 54 80 4 5 54 80 4 5 350472,37,12,3,1,0,1 0,3,1,0,0,0,0 0,37,12,3,1,0,1 0,3,1,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<fpfh_susan_2015-05-22_05-55-38.pcd 0.0023193 0.00162403 0.000344758 1 5 1 0 380358 53 80 5 5 53 80 5 5 380305,38,8,3,3,1 0,5,0,0,0,0 0,38,8,3,3,1 0,5,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<fpfh_susan_2015-05-22_05-55-44.pcd 0.00134745 0.00142064 0.00032045 1 13 1 0 385152 47 80 3 5 47 80 3 5 385105,29,13,4,0,0,0,0,0,0,0,0,0,1 0,1,2,0,0,0,0,0,0,0,0,0,0,0 0,29,13,4,0,0,0,0,0,0,0,0,0,1 0,1,2,0,0,0,0,0,0,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<fpfh_susan_2015-05-22_05-55-50.pcd 0.00211642 0.000647039 0.000286429 1 4 1 0 375144 49 80 1 4 49 80 1 4 375095,29,14,1,5 0,0,0,0,1 0,29,14,1,5 0,0,0,0,1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<fpfh_susan_2015-05-22_05-55-56.pcd 0.0017686 0.000600564 0.000288477 1 12 1 0 411840 49 80 0 0 49 80 0 0 411791,31,15,1,1,0,0,0,0,0,0,0,1 0,0,0,0,0,0,0,0,0,0,0,0,0 0,31,15,1,1,0,0,0,0,0,0,0,1 0,0,0,0,0,0,0,0,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<fpfh_susan_2015-05-22_05-56-01.pcd 0.00227201 0.000611452 0.000306659 1 5 1 0 357984 56 80 0 0 56 80 0 0 357928,40,11,3,1,1 0,0,0,0,0,0 0,40,11,3,1,1 0,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<fpfh_susan_2015-05-22_05-56-07.pcd 0.0013775 0.000605922 0.000296124 1 5 1 -1 396627 52 80 -1 -1 52 80 -1 -1 396575,35,9,6,1,1 -1 0,35,9,6,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<fpfh_susan_2015-05-22_05-56-11.pcd 0.00116923 0.000617218 0.000323697 1 6 1 0 393294 51 80 2 3 51 80 2 3 393243,29,19,1,1,0,1 0,1,1,0,0,0,0 0,29,19,1,1,0,1 0,1,1,0,0,0,0
