obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 5, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<fpfh_susan, n_max_points: 200,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/hanger_jacket/features/rgb_0002_label_hanger_jacket<fpfh_susan_2015-05-26_15-08-29.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k5_mx200_t0,2/dt0,02_mp8000_pp0,001',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__41683: 'http://tycho:41683/'}
rosversion: '1.11.10

  '
run_id: 547b7108-07c3-11e5-9abf-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<fpfh_susan_2015-05-22_05-55-25.pcd 0.00342473 0.00166115 0.000538787 1 4 1 -1 367488 117 160 -1 -1 117 160 -1 -1 367371,88,20,4,5 -1 0,88,20,4,5 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<fpfh_susan_2015-05-22_05-55-29.pcd 0.00260992 0.00234701 0.000841663 1 16 12 -1 405768 120 160 -1 -1 120 160 -1 -1 405648,87,27,5,1 -1 0,87,27,5,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<fpfh_susan_2015-05-22_05-55-33.pcd 0.00294276 0.000767018 0.000619276 1 5 1 0 350526 113 160 0 0 113 160 0 0 350413,77,28,6,1,1 0,0,0,0,0,0 0,77,28,6,1,1 0,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<fpfh_susan_2015-05-22_05-55-38.pcd 0.00326874 0.0013574 0.00069322 1 3 1 0 380358 122 160 0 0 122 160 0 0 380236,91,24,7 0,0,0,0 0,91,24,7 0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<fpfh_susan_2015-05-22_05-55-44.pcd 0.00253942 0.000624228 0.000485119 1 6 1 -1 385152 121 160 -1 -1 121 160 -1 -1 385031,93,23,2,1,1,1 -1 0,93,23,2,1,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<fpfh_susan_2015-05-22_05-55-50.pcd 0.00221013 0.000610985 0.000609491 1 4 1 0 375144 109 160 0 0 109 160 0 0 375035,77,19,7,6 0,0,0,0,0 0,77,19,7,6 0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<fpfh_susan_2015-05-22_05-55-56.pcd 0.00225063 0.000657607 0.000615395 1 24 14 0 411840 107 160 0 0 107 160 0 0 411733,75,18,10,2,1,1 0,0,0,0,0,0,0 0,75,18,10,2,1,1 0,0,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<fpfh_susan_2015-05-22_05-56-01.pcd 0.00232374 0.000586937 0.000463831 1 3 1 0 357984 116 160 0 0 116 160 0 0 357868,85,18,13 0,0,0,0 0,85,18,13 0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<fpfh_susan_2015-05-22_05-56-07.pcd 0.00124841 0.00042818 0.000468932 2 14,13 12,12 -1 396627 116 160 -1 -1 116 160 -1 -1 396511,87,20,7,1,0,0,0,1 -1 0,87,20,7,1,0,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<fpfh_susan_2015-05-22_05-56-11.pcd 0.00232857 0.000625713 0.000655271 1 4 1 0 393294 117 160 0 0 117 160 0 0 393177,85,24,5,3 0,0,0,0,0 0,85,24,5,3 0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<fpfh_susan_2015-05-22_05-56-14.pcd 0.00241777 0.000612694 0.000437665 1 6 1 0 375144 111 160 0 0 111 160 0 0 375033,82,17,8,1,2,1 0,0,0,0,0,0,0 0,82,17,8,1,2,1 0,0,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<fpfh_susan_2015-05-22_05-56-19.pcd 0.00232592 0.000586509 0.000397394 1 20 14 0 392700 106 160 1 1 106 160 1 1 392594,74,18,10,2,1,0,1 0,1,0,0,0,0,0,0 0,74,18,10,2,1,0,1 0,1,0,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140903/patrol_run_10/room_2/features/nonPlanes<fpfh_susan_2015-05-22_05-56-25.pcd 0.0022408 0.000590701 0.000427362 1 36 24 0 401082 108 160 0 0 108 160 0 0 400974,76,20,8,0,4 0,0,0,0,0,0 0,76,20,8,0,4 0,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140903/patrol_run_12/room_2/features/nonPlanes<fpfh_susan_2015-05-22_05-56-30.pcd 0.00222832 0.000577712 0.000577953 1 7 1 0 374400 109 160 0 0 109 160 0 0 374291,78,21,7,0,1,0,2 0,0,0,0,0,0,0,0 0,78,21,7,0,1,0,2 0,0,0,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140903/patrol_run_14/room_1/features/nonPlanes<fpfh_susan_2015-05-22_05-56-35.pcd 0.0022603 0.000635206 0.000501573 1 19 12 0 408408 118 160 0 0 118 160 0 0 408290,88,22,6,1,0,1 0,0,0,0,0,0,0 0,88,22,6,1,0,1 0,0,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140903/patrol_run_2/room_4/features/nonPlanes<fpfh_susan_2015-05-22_05-56-41.pcd 0.00231693 0.000452522 0.000511085 1 7 1 0 390456 114 160 0 0 114 160 0 0 390342,83,20,10,0,0,0,1 0,0,0,0,0,0,0,0 0,83,20,10,0,0,0,1 0,0,0,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140903/patrol_run_9/room_2/features/nonPlanes<fpfh_susan_2015-05-22_05-56-46.pcd 0.00222799 0.000538199 0.000469333 1 8 1 0 424710 114 160 0 0 114 160 0 0 424596,86,20,5,0,1,1,0,1 0,0,0,0,0,0,0,0,0 0,86,20,5,0,1,1,0,1 0,0,0,0,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140904/patrol_run_15/room_2/features/nonPlanes<fpfh_susan_2015-05-22_05-56-51.pcd 0.0034475 0.000608455 0.00069769 1 5 1 0 398112 120 160 0 0 120 160 0 0 397992,85,32,2,0,1 0,0,0,0,0,0 0,85,32,2,0,1 0,0,0,0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140905/patrol_run_17/room_2/features/nonPlanes<fpfh_susan_2015-05-22_05-56-56.pcd 0.0029253 0.0006181 0.000516861 1 4 1 -1 384087 115 160 -1 -1 115 160 -1 -1 383972,82,24,6,3 -1 0,82,24,6,3 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140905/patrol_run_19/room_1/features/nonPlanes<fpfh_susan_2015-05-22_05-57-01.pcd 0.00234461 0.000583212 0.000474892 1 6 1 -1 340659 113 160 -1 -1 113 160 -1 -1 340546,87,14,6,4,1,1 -1 0,87,14,6,4,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140905/patrol_run_21/room_2/features/nonPlanes<fpfh_susan_2015-05-22_05-57-05.pcd 0.00294587 0.000960717 0.000588737 1 6 1 -1 395010 112 160 -1 -1 112 160 -1 -1 394898,78,27,3,2,1,1 -1 0,78,27,3,2,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140905/patrol_run_23/room_2/features/nonPlanes<fpfh_susan_2015-05-22_05-57-11.pcd 0.00287348 0.000607807 0.000673726 1 6 1 -1 382239 113 160 -1 -1 113 160 -1 -1 382126,80,24,6,2,0,1 -1 0,80,24,6,2,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140905/patrol_run_25/room_1/features/nonPlanes<fpfh_susan_2015-05-22_05-57-16.pcd 0.0029485 0.00061212 0.000495025 1 30 14 -1 380358 117 160 -1 -1 117 160 -1 -1 380241,87,21,6,2,1 -1 0,87,21,6,2,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140905/patrol_run_27/room_2/features/nonPlanes<fpfh_susan_2015-05-22_05-57-21.pcd 0.00286197 0.000621554 0.000672544 1 6 1 -1 387486 110 160 -1 -1 110 160 -1 -1 387376,80,16,10,3,0,1 -1 0,80,16,10,3,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140905/patrol_run_29/room_2/features/nonPlanes<fpfh_susan_2015-05-22_05-57-26.pcd 0.00241532 0.000630431 0.000456043 1 23 15 -1 376200 110 160 -1 -1 110 160 -1 -1 376090,75,23,9,3 -1 0,75,23,9,3 -1
