obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 5, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shot_susan, n_max_points: 200,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/laptop1/features/rgb_0012_label_laptop1<shot_susan_2015-05-26_15-07-36.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k5_mx200_t0,2/dt0,02_mp8000_pp0,001',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__54315: 'http://tycho:54315/'}
rosversion: '1.11.10

  '
run_id: 1f18a2bc-07c6-11e5-bf3c-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shot_susan_2015-05-22_05-05-12.pcd 0.0337163 0.00196053 0.000402231 1 2 1 0 367488 34 35 0 0 34 35 0 0 367454,33,1 0,0,0 0,33,1 0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shot_susan_2015-05-22_05-05-26.pcd 0.0297475 0.00074455 0.000243548 1 2 1 0 405768 34 35 1 1 34 35 1 1 405734,33,1 0,1,0 0,33,1 0,1,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shot_susan_2015-05-22_05-05-46.pcd 0.0305092 0.000579834 0.000291423 1 2 1 -1 350526 33 35 -1 -1 33 35 -1 -1 350493,31,2 -1 0,31,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shot_susan_2015-05-22_05-06-06.pcd 0.0310693 0.000597193 0.000250397 1 2 1 -1 380358 33 35 -1 -1 33 35 -1 -1 380325,31,2 -1 0,31,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shot_susan_2015-05-22_05-06-30.pcd 0.0314233 0.000920922 0.000216126 1 1 1 0 385152 35 35 0 0 35 35 0 0 385117,35 0,0 0,35 0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shot_susan_2015-05-22_05-06-52.pcd 0.0324606 0.000595008 0.000228357 1 2 1 0 375144 34 35 0 0 34 35 0 0 375110,33,1 0,0,0 0,33,1 0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shot_susan_2015-05-22_05-07-07.pcd 0.0298462 0.000970442 0.000237552 1 2 1 0 411840 34 35 0 0 34 35 0 0 411806,33,1 0,0,0 0,33,1 0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shot_susan_2015-05-22_05-07-16.pcd 0.029615 0.000774771 0.000241444 1 2 1 -1 357984 32 35 -1 -1 32 35 -1 -1 357952,29,3 -1 0,29,3 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shot_susan_2015-05-22_05-07-25.pcd 0.0168829 0.000653885 0.000252639 1 1 1 -1 396627 35 35 -1 -1 35 35 -1 -1 396592,35 -1 0,35 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shot_susan_2015-05-22_05-07-43.pcd 0.0310222 0.000587147 0.000239503 1 2 1 0 393294 32 35 2 2 32 35 2 2 393262,29,3 0,2,0 0,29,3 0,2,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<shot_susan_2015-05-22_05-07-51.pcd 0.0315684 0.000580338 0.000215769 1 2 1 -1 375144 34 35 -1 -1 34 35 -1 -1 375110,33,1 -1 0,33,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<shot_susan_2015-05-22_05-08-10.pcd 0.0372835 0.000462748 0.000140178 1 2 1 0 392700 33 35 0 0 33 35 0 0 392667,31,2 0,0,0 0,31,2 0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140903/patrol_run_10/room_2/features/nonPlanes<shot_susan_2015-05-22_05-08-19.pcd 0.0312797 0.000477144 0.000143959 1 2 1 -1 401082 33 35 -1 -1 33 35 -1 -1 401049,31,2 -1 0,31,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140903/patrol_run_12/room_2/features/nonPlanes<shot_susan_2015-05-22_05-08-38.pcd 0.0325618 0.00044176 0.000185788 1 2 1 -1 374400 33 35 -1 -1 33 35 -1 -1 374367,31,2 -1 0,31,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140903/patrol_run_14/room_1/features/nonPlanes<shot_susan_2015-05-22_05-08-55.pcd 0.0352513 0.000631317 0.000148887 1 1 1 -1 408408 35 35 -1 -1 35 35 -1 -1 408373,35 -1 0,35 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140903/patrol_run_2/room_4/features/nonPlanes<shot_susan_2015-05-22_05-09-17.pcd 0.0277536 0.000622844 0.000153829 1 2 1 -1 390456 34 35 -1 -1 34 35 -1 -1 390422,33,1 -1 0,33,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140903/patrol_run_9/room_2/features/nonPlanes<shot_susan_2015-05-22_05-09-39.pcd 0.0306369 0.000630382 0.000240154 1 2 1 -1 424710 34 35 -1 -1 34 35 -1 -1 424676,33,1 -1 0,33,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140904/patrol_run_15/room_2/features/nonPlanes<shot_susan_2015-05-22_05-09-57.pcd 0.035142 0.000496731 0.000246418 1 2 1 0 398112 33 35 0 0 33 35 0 0 398079,31,2 0,0,0 0,31,2 0,0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140905/patrol_run_17/room_2/features/nonPlanes<shot_susan_2015-05-22_05-10-11.pcd 0.0323901 0.000965878 0.000219484 1 2 1 -1 384087 34 35 -1 -1 34 35 -1 -1 384053,33,1 -1 0,33,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140905/patrol_run_19/room_1/features/nonPlanes<shot_susan_2015-05-22_05-10-33.pcd 0.0361676 0.000560135 0.00023243 1 2 1 -1 340659 33 35 -1 -1 33 35 -1 -1 340626,31,2 -1 0,31,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140905/patrol_run_21/room_2/features/nonPlanes<shot_susan_2015-05-22_05-10-55.pcd 0.0291078 0.000629473 0.000243051 1 2 1 -1 395010 34 35 -1 -1 34 35 -1 -1 394976,33,1 -1 0,33,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140905/patrol_run_23/room_2/features/nonPlanes<shot_susan_2015-05-22_05-11-18.pcd 0.0331873 0.000608349 0.000242911 1 1 1 -1 382239 35 35 -1 -1 35 35 -1 -1 382204,35 -1 0,35 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140905/patrol_run_25/room_1/features/nonPlanes<shot_susan_2015-05-22_05-11-38.pcd 0.0300803 0.000590738 0.000224067 1 3 1 -1 380358 31 35 -1 -1 31 35 -1 -1 380327,28,2,1 -1 0,28,2,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140905/patrol_run_27/room_2/features/nonPlanes<shot_susan_2015-05-22_05-11-58.pcd 0.0279113 0.000600247 0.000216528 1 2 1 -1 387486 33 35 -1 -1 33 35 -1 -1 387453,31,2 -1 0,31,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140905/patrol_run_29/room_2/features/nonPlanes<shot_susan_2015-05-22_05-12-06.pcd 0.0332052 0.000598196 0.000240228 1 1 1 -1 376200 35 35 -1 -1 35 35 -1 -1 376165,35 -1 0,35 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140905/patrol_run_30/room_1/features/nonPlanes<shot_susan_2015-05-22_05-12-26.pcd 0.0323757 0.000618254 0.000259932 1 2 1 -1 386628 33 35 -1 -1 33 35 -1 -1 386595,31,2 -1 0,31,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140905/patrol_run_30/room_7/features/nonPlanes<shot_susan_2015-05-22_05-12-46.pcd 0.0284226 0.000578772 0.000243703 1 2 1 -1 369171 34 35 -1 -1 34 35 -1 -1 369137,33,1 -1 0,33,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140908/patrol_run_32/room_2/features/nonPlanes<shot_susan_2015-05-22_05-13-05.pcd 0.0326578 0.00102459 0.000250481 1 2 1 -1 401082 34 35 -1 -1 34 35 -1 -1 401048,33,1 -1 0,33,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140908/patrol_run_34/room_2/features/nonPlanes<shot_susan_2015-05-22_05-13-16.pcd 0.0309069 0.000596465 0.000242964 1 1 1 0 386100 35 35 0 0 35 35 0 0 386065,35 0,0 0,35 0,0
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140908/patrol_run_36/room_3/features/nonPlanes<shot_susan_2015-05-22_05-13-38.pcd 0.0298684 0.000607801 0.000255346 1 1 1 0 371316 35 35 1 1 35 35 1 1 371281,35 0,1 0,35 0,1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140908/patrol_run_38/room_2/features/nonPlanes<shot_susan_2015-05-22_05-13-47.pcd 0.0315948 0.000940774 0.000242363 1 2 1 0 371910 34 35 0 0 34 35 0 0 371876,33,1 0,0,0 0,33,1 0,0,0
