obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 5, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<pfhrgb_uniform, n_max_points: 200,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/pillow/features/rgb_0003_label_pillow<pfhrgb_uniform_2015-05-26_14-51-38.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k5_mx200_t0,2/dt0,02_mp8000_pp0,001',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__39936: 'http://tycho:39936/'}
rosversion: '1.11.10

  '
run_id: db116600-07eb-11e5-aeef-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<pfhrgb_uniform_2015-05-21_21-39-02.pcd 0.208448 0.00125309 0.00119203 4 166,100,81,50 42,24,21,31 -1 449955 254 690 -1 -1 200 636 -1 -1 449701,130,45,27,16,5,8,6,2,3,2,1,4,1,0,1,0,0,1,0,1,0,1 -1 0,76,45,27,16,5,8,6,2,3,2,1,4,1,0,1,0,0,1,0,1,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<pfhrgb_uniform_2015-05-21_21-42-25.pcd 0.272435 0.000744965 0.00141806 4 141,103,66,41 28,32,25,14 -1 424446 296 690 -1 -1 200 594 -1 -1 424150,168,53,26,14,7,7,4,4,2,4,3,1,2,0,0,1 -1 0,72,53,26,14,7,7,4,4,2,4,3,1,2,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<pfhrgb_uniform_2015-05-21_21-43-51.pcd 0.173998 0.000609792 0.000862147 3 70,45,42 16,24,19 -1 445269 303 690 -1 -1 200 587 -1 -1 444966,177,45,30,16,13,4,5,4,1,2,0,2,1,0,2,0,1 -1 0,74,45,30,16,13,4,5,4,1,2,0,2,1,0,2,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<pfhrgb_uniform_2015-05-21_21-46-06.pcd 0.226696 0.000682146 0.000816102 5 52,50,48,29,28 16,13,15,13,13 -1 461736 270 690 -1 -1 200 620 -1 -1 461466,142,52,26,15,7,8,4,3,1,3,2,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 -1 0,72,52,26,15,7,8,4,3,1,3,2,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-21_21-48-05.pcd 0.18304 0.00182183 0.000930131 3 160,69,44 37,12,24 1,0,0 404481 310 690 37 139 200 580 29 131 404171,173,67,29,11,7,7,2,1,3,0,1,4,4,0,1 0,11,9,5,3,2,1,1,0,1,0,1,1,1,0,1 0,63,67,29,11,7,7,2,1,3,0,1,4,4,0,1 0,3,9,5,3,2,1,1,0,1,0,1,1,1,0,1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-21_21-50-17.pcd 0.235854 0.000817679 0.00128482 3 63,61,53 15,13,23 -1 424710 293 690 -1 -1 200 597 -1 -1 424417,165,47,31,13,9,10,7,2,1,1,2,1,3,0,0,0,0,0,0,0,0,0,0,1 -1 0,72,47,31,13,9,10,7,2,1,1,2,1,3,0,0,0,0,0,0,0,0,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-21_21-52-28.pcd 0.203277 0.000821274 0.00130788 4 177,89,38,26 35,19,25,12 -1 456456 261 690 -1 -1 200 629 -1 -1 456195,137,47,28,13,9,9,3,4,2,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1 -1 0,76,47,28,13,9,9,3,4,2,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-21_21-54-39.pcd 0.188751 0.000793688 0.000881891 4 105,77,43,28 35,14,12,17 -1 449592 326 690 -1 -1 200 564 -1 -1 449266,202,48,34,13,8,6,2,2,1,2,1,3,2,0,2 -1 0,76,48,34,13,8,6,2,2,1,2,1,3,2,0,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<pfhrgb_uniform_2015-05-21_21-57-11.pcd 0.148344 0.000578537 0.000874468 4 199,103,45,23 46,21,12,14 -1 451044 217 690 -1 -1 200 673 -1 -1 450827,107,38,18,11,10,7,3,2,4,6,0,2,0,1,0,3,0,2,1,1,0,0,1 -1 0,90,38,18,11,10,7,3,2,4,6,0,2,0,1,0,3,0,2,1,1,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-21_21-59-20.pcd 0.216107 0.000655087 0.00110964 3 119,102,50 18,36,17 -1 451044 275 690 -1 -1 200 615 -1 -1 450769,153,45,22,16,13,7,3,6,0,3,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 -1 0,78,45,22,16,13,7,3,6,0,3,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<pfhrgb_uniform_2015-05-21_22-00-35.pcd 0.222083 0.000768821 0.00133043 3 79,34,31 21,14,12 0,0,0 427977 278 690 15 61 200 612 9 55 427699,150,61,20,11,9,6,3,5,2,4,1,0,1,1,0,0,2,1,0,0,0,0,0,1 0,6,2,1,0,2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0 0,72,61,20,11,9,6,3,5,2,4,1,0,1,1,0,0,2,1,0,0,0,0,0,1 0,0,2,1,0,2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
