obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 5, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<pfhrgb_uniform, n_max_points: 200,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/top_couch_jacket2/features/rgb_0003_label_top_couch_jacket2<pfhrgb_uniform_2015-05-26_14-52-55.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k5_mx200_t0,2/dt0,02_mp8000_pp0,001',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__43246: 'http://tycho:43246/'}
rosversion: '1.11.10

  '
run_id: 1de5d968-07d1-11e5-bd2f-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<pfhrgb_uniform_2015-05-21_21-39-02.pcd 0.348525 0.000865214 0.00102838 3 75,44,24 27,27,12 -1 449955 355 575 -1 -1 200 420 -1 -1 449600,237,67,29,7,7,5,2,0,0,1 -1 0,82,67,29,7,7,5,2,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<pfhrgb_uniform_2015-05-21_21-42-25.pcd 0.329701 0.000594035 0.000956767 2 55,30 25,12 -1 424446 358 575 -1 -1 200 417 -1 -1 424088,241,71,21,12,4,7,0,0,1,1 -1 0,83,71,21,12,4,7,0,0,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<pfhrgb_uniform_2015-05-21_21-43-51.pcd 0.344831 0.000718548 0.000787454 2 35,33 14,16 -1 445269 346 575 -1 -1 200 429 -1 -1 444923,222,74,29,7,6,2,2,2,2 -1 0,76,74,29,7,6,2,2,2,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<pfhrgb_uniform_2015-05-21_21-46-06.pcd 0.351166 0.000848157 0.000914431 2 109,52 50,17 -1 461736 313 575 -1 -1 200 462 -1 -1 461423,193,69,24,10,3,4,2,3,1,2,0,1,0,1 -1 0,80,69,24,10,3,4,2,3,1,2,0,1,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-21_21-48-05.pcd 0.36115 0.00191267 0.000877144 3 97,32,29 45,16,13 -1 404481 346 575 -1 -1 200 429 -1 -1 404135,232,61,22,16,6,5,2,1,1 -1 0,86,61,22,16,6,5,2,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-21_21-50-17.pcd 0.281693 0.000825471 0.000884574 6 82,52,43,31,24,21 43,18,14,15,14,12 -1 424710 332 575 -1 -1 200 443 -1 -1 424378,200,72,35,15,5,0,0,4,1 -1 0,68,72,35,15,5,0,0,4,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-21_21-52-28.pcd 0.325754 0.000751931 0.000872099 5 79,42,33,29,28 24,18,18,13,12 -1 456456 302 575 -1 -1 200 473 -1 -1 456154,184,64,11,18,10,9,1,3,0,0,1,1 -1 0,82,64,11,18,10,9,1,3,0,0,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-21_21-54-39.pcd 0.328753 0.000841076 0.00086221 3 115,26,22 51,18,14 -1 449592 345 575 -1 -1 200 430 -1 -1 449247,211,87,21,13,8,3,0,1,1 -1 0,66,87,21,13,8,3,0,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<pfhrgb_uniform_2015-05-21_21-57-11.pcd 0.332442 0.00085474 0.000837019 3 66,57,29 18,25,18 -1 451044 301 575 -1 -1 200 474 -1 -1 450743,185,54,33,12,2,6,2,0,3,1,1,1,0,0,1 -1 0,84,54,33,12,2,6,2,0,3,1,1,1,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-21_21-59-20.pcd 0.282739 0.000819186 0.00087537 3 93,54,17 37,12,13 -1 451044 321 575 -1 -1 200 454 -1 -1 450723,194,65,28,18,7,5,2,2 -1 0,73,65,28,18,7,5,2,2 -1
