# score parent cluster region
133 /media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140820/patrol_run_4/room_0/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140820/patrol_run_4/room_0/clusters/pillow_cluster_shotcolor_iss_0_133.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140820/patrol_run_4/room_0/clusters/pillow_region_shotcolor_iss_0.pcd
133 /media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140820/patrol_run_4/room_0/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140820/patrol_run_4/room_0/clusters/pillow_cluster_shotcolor_iss_0_133.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140820/patrol_run_4/room_0/clusters/pillow_region_shotcolor_iss_0.pcd
130 /media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140828/patrol_run_19/room_3/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140828/patrol_run_19/room_3/clusters/pillow_cluster_shotcolor_iss_0_130.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140828/patrol_run_19/room_3/clusters/pillow_region_shotcolor_iss_0.pcd
130 /media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140828/patrol_run_19/room_3/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140828/patrol_run_19/room_3/clusters/pillow_cluster_shotcolor_iss_0_130.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140828/patrol_run_19/room_3/clusters/pillow_region_shotcolor_iss_0.pcd
122 /media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140829/patrol_run_20/room_3/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140829/patrol_run_20/room_3/clusters/pillow_cluster_shotcolor_iss_0_122.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140829/patrol_run_20/room_3/clusters/pillow_region_shotcolor_iss_0.pcd
122 /media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140829/patrol_run_20/room_3/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140829/patrol_run_20/room_3/clusters/pillow_cluster_shotcolor_iss_0_122.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140829/patrol_run_20/room_3/clusters/pillow_region_shotcolor_iss_0.pcd
122 /media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140829/patrol_run_26/room_2/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140829/patrol_run_26/room_2/clusters/pillow_cluster_shotcolor_iss_0_122.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140829/patrol_run_26/room_2/clusters/pillow_region_shotcolor_iss_0.pcd
87 /media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_27/room_2/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140901/patrol_run_27/room_2/clusters/pillow_cluster_shotcolor_iss_0_87.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140901/patrol_run_27/room_2/clusters/pillow_region_shotcolor_iss_0.pcd
98 /media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_31/room_2/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140901/patrol_run_31/room_2/clusters/pillow_cluster_shotcolor_iss_0_98.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140901/patrol_run_31/room_2/clusters/pillow_region_shotcolor_iss_0.pcd
167 /media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_32/room_2/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140901/patrol_run_32/room_2/clusters/pillow_cluster_shotcolor_iss_0_167.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/iss_shotcolor-2015-05-27_21-59-23/20140901/patrol_run_32/room_2/clusters/pillow_region_shotcolor_iss_0.pcd
