# score parent cluster region
137 /media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140820/patrol_run_4/room_0/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/uniform_pfhrgb-2015-05-27_21-52-22/20140820/patrol_run_4/room_0/clusters/pillow_cluster_pfhrgb_uniform_0_137.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/uniform_pfhrgb-2015-05-27_21-52-22/20140820/patrol_run_4/room_0/clusters/pillow_region_pfhrgb_uniform_0.pcd
39 /media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140828/patrol_run_19/room_3/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/uniform_pfhrgb-2015-05-27_21-52-22/20140828/patrol_run_19/room_3/clusters/pillow_cluster_pfhrgb_uniform_0_39.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/uniform_pfhrgb-2015-05-27_21-52-22/20140828/patrol_run_19/room_3/clusters/pillow_region_pfhrgb_uniform_0.pcd
67 /media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140829/patrol_run_20/room_3/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/uniform_pfhrgb-2015-05-27_21-52-22/20140829/patrol_run_20/room_3/clusters/pillow_cluster_pfhrgb_uniform_0_67.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/uniform_pfhrgb-2015-05-27_21-52-22/20140829/patrol_run_20/room_3/clusters/pillow_region_pfhrgb_uniform_0.pcd
199 /media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140829/patrol_run_26/room_2/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/uniform_pfhrgb-2015-05-27_21-52-22/20140829/patrol_run_26/room_2/clusters/pillow_cluster_pfhrgb_uniform_0_199.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/uniform_pfhrgb-2015-05-27_21-52-22/20140829/patrol_run_26/room_2/clusters/pillow_region_pfhrgb_uniform_0.pcd
100 /media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_27/room_2/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/uniform_pfhrgb-2015-05-27_21-52-22/20140901/patrol_run_27/room_2/clusters/pillow_cluster_pfhrgb_uniform_0_100.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/uniform_pfhrgb-2015-05-27_21-52-22/20140901/patrol_run_27/room_2/clusters/pillow_region_pfhrgb_uniform_0.pcd
126 /media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_31/room_2/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/uniform_pfhrgb-2015-05-27_21-52-22/20140901/patrol_run_31/room_2/clusters/pillow_cluster_pfhrgb_uniform_0_126.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/uniform_pfhrgb-2015-05-27_21-52-22/20140901/patrol_run_31/room_2/clusters/pillow_region_pfhrgb_uniform_0.pcd
152 /media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_32/room_2/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/uniform_pfhrgb-2015-05-27_21-52-22/20140901/patrol_run_32/room_2/clusters/pillow_cluster_pfhrgb_uniform_0_152.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/uniform_pfhrgb-2015-05-27_21-52-22/20140901/patrol_run_32/room_2/clusters/pillow_region_pfhrgb_uniform_0.pcd
100 /media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_33/room_1/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/uniform_pfhrgb-2015-05-27_21-52-22/20140901/patrol_run_33/room_1/clusters/pillow_cluster_pfhrgb_uniform_0_100.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/uniform_pfhrgb-2015-05-27_21-52-22/20140901/patrol_run_33/room_1/clusters/pillow_region_pfhrgb_uniform_0.pcd
78 /media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140902/patrol_run_35/room_2/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/uniform_pfhrgb-2015-05-27_21-52-22/20140902/patrol_run_35/room_2/clusters/pillow_cluster_pfhrgb_uniform_0_78.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/uniform_pfhrgb-2015-05-27_21-52-22/20140902/patrol_run_35/room_2/clusters/pillow_region_pfhrgb_uniform_0.pcd
107 /media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140902/patrol_run_38/room_0/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/uniform_pfhrgb-2015-05-27_21-52-22/20140902/patrol_run_38/room_0/clusters/pillow_cluster_pfhrgb_uniform_0_107.pcd /home/michal/Downloads/pcddata/processed/query/iter100/query_results/pillow/uniform_pfhrgb-2015-05-27_21-52-22/20140902/patrol_run_38/room_0/clusters/pillow_region_pfhrgb_uniform_0.pcd
