obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 5, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shot_iss, n_max_points: 200,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/trash_bin/features/rgb_0000_label_trash_bin<shot_iss_2015-05-26_14-57-56.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k5_mx200_t0,2/iter100',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/paramtest//iter100,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__33647: 'http://tycho:33647/', host_tycho__34369: 'http://tycho:34369/'}
rosversion: '1.11.10

  '
run_id: b258c108-07bf-11e5-b7d3-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest//iter100/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shot_iss_2015-05-21_07-22-49.pcd 0.278652 0.00350657 0.000896327 1 2 1 -1 1114084 168 175 -1 -1 168 175 -1 -1 1113916,161,7 -1 0,161,7 -1
/media/michal/Pauli/masterdata/processed/paramtest//iter100/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shot_iss_2015-05-21_12-42-22.pcd 0.301589 0.00126127 0.00104001 1 2 1 -1 1114084 168 175 -1 -1 168 175 -1 -1 1113916,161,7 -1 0,161,7 -1
/media/michal/Pauli/masterdata/processed/paramtest//iter100/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shot_iss_2015-05-21_07-23-19.pcd 0.30528 0.00126528 0.000626807 1 2 1 -1 1112412 167 175 -1 -1 167 175 -1 -1 1112245,159,8 -1 0,159,8 -1
/media/michal/Pauli/masterdata/processed/paramtest//iter100/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shot_iss_2015-05-21_12-42-24.pcd 0.29086 0.00130118 0.000937627 1 2 1 -1 1112412 167 175 -1 -1 167 175 -1 -1 1112245,159,8 -1 0,159,8 -1
/media/michal/Pauli/masterdata/processed/paramtest//iter100/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shot_iss_2015-05-21_07-23-53.pcd 0.240069 0.00153696 0.000842519 1 2 1 -1 1205512 164 175 -1 -1 164 175 -1 -1 1205348,153,11 -1 0,153,11 -1
/media/michal/Pauli/masterdata/processed/paramtest//iter100/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shot_iss_2015-05-21_12-42-26.pcd 0.233364 0.00159821 0.000615692 1 2 1 -1 1205512 164 175 -1 -1 164 175 -1 -1 1205348,153,11 -1 0,153,11 -1
/media/michal/Pauli/masterdata/processed/paramtest//iter100/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shot_iss_2015-05-21_12-42-28.pcd 0.304204 0.00119977 0.00106439 1 2 1 -1 1096908 165 175 -1 -1 165 175 -1 -1 1096743,155,10 -1 0,155,10 -1
/media/michal/Pauli/masterdata/processed/paramtest//iter100/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shot_iss_2015-05-21_12-42-30.pcd 0.246786 0.00116807 0.000711284 1 2 1 -1 1072170 169 175 -1 -1 169 175 -1 -1 1072001,163,6 -1 0,163,6 -1
/media/michal/Pauli/masterdata/processed/paramtest//iter100/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shot_iss_2015-05-21_12-42-31.pcd 0.190803 0.00132365 0.000723041 1 3 1 0 1205360 166 175 2 2 166 175 2 2 1205194,158,7,1 0,2,0,0 0,158,7,1 0,2,0,0
/media/michal/Pauli/masterdata/processed/paramtest//iter100/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shot_iss_2015-05-21_12-42-32.pcd 0.253362 0.00124491 0.000662237 1 3 1 0 1169792 165 175 0 0 165 175 0 0 1169627,156,8,1 0,0,0,0 0,156,8,1 0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest//iter100/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shot_iss_2015-05-21_12-42-33.pcd 0.431256 0.00189266 0.0011372 1 2 1 -1 1120164 169 175 -1 -1 169 175 -1 -1 1119995,163,6 -1 0,163,6 -1
/media/michal/Pauli/masterdata/processed/paramtest//iter100/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shot_iss_2015-05-21_12-42-35.pcd 0.339481 0.00128495 0.00101373 1 3 1 0 1030788 169 175 3 3 169 175 3 3 1030619,164,4,1 0,3,0,0 0,164,4,1 0,3,0,0
/media/michal/Pauli/masterdata/processed/paramtest//iter100/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<shot_iss_2015-05-21_12-42-37.pcd 0.275766 0.00117677 0.000659398 1 2 1 -1 1020376 167 175 -1 -1 167 175 -1 -1 1020209,159,8 -1 0,159,8 -1
/media/michal/Pauli/masterdata/processed/paramtest//iter100/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<shot_iss_2015-05-21_12-42-39.pcd 0.243179 0.00124674 0.00081219 1 14 14 0 1131146 168 175 0 0 168 175 0 0 1130978,161,7 0,0,0 0,161,7 0,0,0
/media/michal/Pauli/masterdata/processed/paramtest//iter100/annotated/rares/20140903/patrol_run_10/room_2/features/nonPlanes<shot_iss_2015-05-21_12-42-41.pcd 0.231252 0.000967004 0.000638606 1 3 1 0 1092006 168 175 1 1 168 175 1 1 1091838,162,5,1 0,1,0,0 0,162,5,1 0,1,0,0
/media/michal/Pauli/masterdata/processed/paramtest//iter100/annotated/rares/20140903/patrol_run_12/room_2/features/nonPlanes<shot_iss_2015-05-21_12-42-42.pcd 0.233007 0.00112423 0.00105694 1 2 1 0 1067800 170 175 0 0 170 175 0 0 1067630,165,5 0,0,0 0,165,5 0,0,0
/media/michal/Pauli/masterdata/processed/paramtest//iter100/annotated/rares/20140903/patrol_run_14/room_1/features/nonPlanes<shot_iss_2015-05-21_12-42-44.pcd 0.312659 0.00121821 0.00112552 1 3 1 0 1110512 168 175 1 2 168 175 1 2 1110344,162,5,1 0,0,1,0 0,162,5,1 0,0,1,0
/media/michal/Pauli/masterdata/processed/paramtest//iter100/annotated/rares/20140903/patrol_run_2/room_4/features/nonPlanes<shot_iss_2015-05-21_12-42-45.pcd 0.234341 0.00109882 0.000624254 1 2 1 0 1093032 167 175 2 2 167 175 2 2 1092865,159,8 0,2,0 0,159,8 0,2,0
/media/michal/Pauli/masterdata/processed/paramtest//iter100/annotated/rares/20140903/patrol_run_9/room_2/features/nonPlanes<shot_iss_2015-05-21_12-42-47.pcd 0.351042 0.00124395 0.000616146 1 3 1 -1 1149500 161 175 -1 -1 161 175 -1 -1 1149339,148,12,1 -1 0,148,12,1 -1
/media/michal/Pauli/masterdata/processed/paramtest//iter100/annotated/rares/20140904/patrol_run_15/room_2/features/nonPlanes<shot_iss_2015-05-21_12-42-48.pcd 0.327566 0.00129412 0.00113098 1 2 1 0 1069776 168 175 2 3 168 175 2 3 1069608,161,7 0,1,1 0,161,7 0,1,1
/media/michal/Pauli/masterdata/processed/paramtest//iter100/annotated/rares/20140905/patrol_run_17/room_2/features/nonPlanes<shot_iss_2015-05-21_12-42-50.pcd 0.255345 0.00131838 0.000661051 1 2 1 0 1085280 170 175 0 0 170 175 0 0 1085110,165,5 0,0,0 0,165,5 0,0,0
/media/michal/Pauli/masterdata/processed/paramtest//iter100/annotated/rares/20140905/patrol_run_19/room_1/features/nonPlanes<shot_iss_2015-05-21_12-42-51.pcd 0.255891 0.00114948 0.00102063 1 2 1 0 1068042 166 175 1 1 166 175 1 1 1067876,157,9 0,1,0 0,157,9 0,1,0
/media/michal/Pauli/masterdata/processed/paramtest//iter100/annotated/rares/20140905/patrol_run_21/room_2/features/nonPlanes<shot_iss_2015-05-21_12-42-52.pcd 0.25965 0.0012228 0.00104558 1 2 1 0 1135060 170 175 1 1 170 175 1 1 1134890,165,5 0,1,0 0,165,5 0,1,0
/media/michal/Pauli/masterdata/processed/paramtest//iter100/annotated/rares/20140905/patrol_run_23/room_2/features/nonPlanes<shot_iss_2015-05-21_12-42-53.pcd 0.273224 0.00098143 0.00108843 1 2 1 0 931326 169 175 0 0 169 175 0 0 931157,163,6 0,0,0 0,163,6 0,0,0
/media/michal/Pauli/masterdata/processed/paramtest//iter100/annotated/rares/20140905/patrol_run_25/room_1/features/nonPlanes<shot_iss_2015-05-21_12-43-10.pcd 0.239568 0.0011147 0.000642904 1 2 1 0 1046010 169 175 3 3 169 175 3 3 1045841,163,6 0,3,0 0,163,6 0,3,0
/media/michal/Pauli/masterdata/processed/paramtest//iter100/annotated/rares/20140905/patrol_run_27/room_2/features/nonPlanes<shot_iss_2015-05-21_12-43-21.pcd 0.216702 0.00136104 0.000609972 1 2 1 0 1004088 164 175 3 3 164 175 3 3 1003924,153,11 0,3,0 0,153,11 0,3,0
/media/michal/Pauli/masterdata/processed/paramtest//iter100/annotated/rares/20140905/patrol_run_29/room_2/features/nonPlanes<shot_iss_2015-05-21_12-43-29.pcd 0.206469 0.00112378 0.00101758 1 20 18 0 927300 168 175 2 2 168 175 2 2 927132,161,7 0,2,0 0,161,7 0,2,0
/media/michal/Pauli/masterdata/processed/paramtest//iter100/annotated/rares/20140905/patrol_run_30/room_1/features/nonPlanes<shot_iss_2015-05-21_12-43-37.pcd 0.286228 0.00105999 0.000644757 1 2 1 0 890800 171 175 1 2 171 175 1 2 890629,167,4 0,0,1 0,167,4 0,0,1
/media/michal/Pauli/masterdata/processed/paramtest//iter100/annotated/rares/20140905/patrol_run_30/room_7/features/nonPlanes<shot_iss_2015-05-21_12-43-53.pcd 0.274234 0.00112097 0.00111601 1 14 12 0 1093830 161 175 3 3 161 175 3 3 1093669,147,14 0,3,0 0,147,14 0,3,0
/media/michal/Pauli/masterdata/processed/paramtest//iter100/annotated/rares/20140908/patrol_run_32/room_2/features/nonPlanes<shot_iss_2015-05-21_12-44-03.pcd 0.350183 0.00139309 0.000639743 1 2 1 0 1142888 171 175 0 0 171 175 0 0 1142717,167,4 0,0,0 0,167,4 0,0,0
/media/michal/Pauli/masterdata/processed/paramtest//iter100/annotated/rares/20140908/patrol_run_34/room_2/features/nonPlanes<shot_iss_2015-05-21_12-44-19.pcd 0.247872 0.00132802 0.000639275 1 3 1 0 1064490 167 175 0 0 167 175 0 0 1064323,160,6,1 0,0,0,0 0,160,6,1 0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest//iter100/annotated/rares/20140908/patrol_run_36/room_3/features/nonPlanes<shot_iss_2015-05-21_12-44-31.pcd 0.265972 0.000967786 0.000656533 1 16 15 0 897056 168 175 1 1 168 175 1 1 896888,162,5,1 0,1,0,0 0,162,5,1 0,1,0,0
/media/michal/Pauli/masterdata/processed/paramtest//iter100/annotated/rares/20140908/patrol_run_38/room_2/features/nonPlanes<shot_iss_2015-05-21_12-44-46.pcd 0.255314 0.00105468 0.000970652 1 2 1 0 879648 166 175 2 2 166 175 2 2 879482,157,9 0,2,0 0,157,9 0,2,0
/media/michal/Pauli/masterdata/processed/paramtest//iter100/annotated/rares/20140908/patrol_run_39/room_3/features/nonPlanes<shot_iss_2015-05-21_12-45-07.pcd 0.21438 0.00104268 0.000852274 1 3 1 0 1042644 164 175 0 0 164 175 0 0 1042480,154,9,1 0,0,0,0 0,154,9,1 0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest//iter100/annotated/rares/20140908/patrol_run_41/room_3/features/nonPlanes<shot_iss_2015-05-21_12-45-26.pcd 0.285403 0.0010489 0.000636819 1 2 1 0 916300 168 175 1 1 168 175 1 1 916132,161,7 0,1,0 0,161,7 0,1,0
