obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 5, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shot_susan, n_max_points: 200,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/trash_bin/features/rgb_0000_label_trash_bin<shot_susan_2015-05-26_15-07-34.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k5_mx200_t0,2/iter100',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/paramtest//iter100,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__45593: 'http://tycho:45593/', host_tycho__52059: 'http://tycho:52059/'}
rosversion: '1.11.10

  '
run_id: e427af0c-07c2-11e5-855c-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest//iter100/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shot_susan_2015-05-21_15-09-26.pcd 0.0666118 0.00288853 0.000351462 1 2 1 -1 665754 66 70 -1 -1 66 70 -1 -1 665688,62,4 -1 0,62,4 -1
/media/michal/Pauli/masterdata/processed/paramtest//iter100/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shot_susan_2015-05-21_15-09-38.pcd 0.0626754 0.00148306 0.000394651 1 3 1 -1 908656 65 70 -1 -1 65 70 -1 -1 908591,61,3,1 -1 0,61,3,1 -1
/media/michal/Pauli/masterdata/processed/paramtest//iter100/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shot_susan_2015-05-21_15-09-50.pcd 0.056545 0.00102669 0.000377766 1 2 1 -1 853128 65 70 -1 -1 65 70 -1 -1 853063,60,5 -1 0,60,5 -1
/media/michal/Pauli/masterdata/processed/paramtest//iter100/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shot_susan_2015-05-21_15-09-58.pcd 0.0732677 0.0011846 0.00041061 1 3 1 -1 988788 65 70 -1 -1 65 70 -1 -1 988723,61,3,1 -1 0,61,3,1 -1
/media/michal/Pauli/masterdata/processed/paramtest//iter100/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shot_susan_2015-05-21_15-10-12.pcd 0.0519295 0.0010454 0.000420206 1 2 1 -1 889644 67 70 -1 -1 67 70 -1 -1 889577,64,3 -1 0,64,3 -1
/media/michal/Pauli/masterdata/processed/paramtest//iter100/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shot_susan_2015-05-21_15-10-21.pcd 0.0600743 0.00103931 0.000386072 1 2 1 0 1095570 66 70 1 2 66 70 1 2 1095504,62,4 0,0,1 0,62,4 0,0,1
/media/michal/Pauli/masterdata/processed/paramtest//iter100/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shot_susan_2015-05-21_15-10-28.pcd 0.0585932 0.000941182 0.000499168 1 2 1 0 797810 68 70 0 0 68 70 0 0 797742,66,2 0,0,0 0,66,2 0,0,0
/media/michal/Pauli/masterdata/processed/paramtest//iter100/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shot_susan_2015-05-21_15-10-37.pcd 0.0410602 0.000964241 0.000407486 1 2 1 -1 809919 67 70 -1 -1 67 70 -1 -1 809852,64,3 -1 0,64,3 -1
/media/michal/Pauli/masterdata/processed/paramtest//iter100/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shot_susan_2015-05-21_15-10-49.pcd 0.0558348 0.0010254 0.000401787 1 1 1 0 861300 70 70 2 2 70 70 2 2 861230,70 0,2 0,70 0,2
/media/michal/Pauli/masterdata/processed/paramtest//iter100/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<shot_susan_2015-05-21_15-10-59.pcd 0.0520754 0.000713583 0.000299195 1 2 1 -1 548856 67 70 -1 -1 67 70 -1 -1 548789,64,3 -1 0,64,3 -1
