obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 5, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<pfhrgb_uniform, n_max_points: 200,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/backpack2/features/rgb_0003_label_backpack2<pfhrgb_uniform_2015-05-26_14-51-16.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k5_mx200_t0,2/rares',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/annotated/rares,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__33125: 'http://tycho:33125/', host_tycho__55409: 'http://tycho:55409/'}
rosversion: '1.11.10

  '
run_id: e1f7ec4e-084c-11e5-82c9-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<pfhrgb_uniform_2015-05-17_13-41-17.pcd 0.143382 0.00143099 0.00110759 5 160,35,32,29,27 34,16,12,17,12 1,0,0,0,0 449955 300 630 41 150 200 530 29 138 449655,155,68,34,19,13,2,3,1,2,1,0,0,1,1 0,12,7,6,3,4,2,3,1,1,1,0,0,0,1 0,55,68,34,19,13,2,3,1,2,1,0,0,1,1 0,0,7,6,3,4,2,3,1,1,1,0,0,0,1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<pfhrgb_uniform_2015-05-17_13-43-03.pcd 0.133084 0.000745589 0.00152458 3 169,52,51 45,22,19 1,0,0 424446 280 630 48 168 200 550 37 157 424166,140,58,36,21,6,7,3,3,1,2,1,1,1 0,13,10,9,5,1,3,2,1,0,2,1,1,0 0,60,58,36,21,6,7,3,3,1,2,1,1,1 0,2,10,9,5,1,3,2,1,0,2,1,1,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<pfhrgb_uniform_2015-05-17_13-45-09.pcd 0.148241 0.00071519 0.00145692 4 83,57,45,40 34,26,13,16 0,0,0,0 445269 288 630 24 59 200 542 14 49 444981,150,66,32,13,10,7,1,1,3,1,1,1,0,0,1,0,0,1 0,11,7,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0 0,62,66,32,13,10,7,1,1,3,1,1,1,0,0,1,0,0,1 0,1,7,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<pfhrgb_uniform_2015-05-17_13-46-34.pcd 0.150649 0.000696742 0.00155483 2 208,25 63,15 1,0 461736 266 630 59 171 200 564 50 162 461470,121,72,26,13,14,6,5,2,1,1,3,1,0,1 0,18,16,8,5,4,3,3,1,0,1,0,0,0,0 0,55,72,26,13,14,6,5,2,1,1,3,1,0,1 0,9,16,8,5,4,3,3,1,0,1,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-17_13-47-56.pcd 0.138086 0.000899689 0.00144558 3 130,57,35 44,21,15 1,0,0 404481 290 630 44 121 200 540 35 112 404191,131,77,42,18,9,2,6,1,3,0,0,0,1 0,13,11,8,5,4,1,1,0,1,0,0,0,0 0,41,77,42,18,9,2,6,1,3,0,0,0,1 0,4,11,8,5,4,1,1,0,1,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-17_13-49-01.pcd 0.142805 0.00130405 0.00146211 4 159,72,56,50 46,23,20,25 1,0,0,0 424710 295 630 36 127 200 535 28 119 424415,150,68,37,17,4,5,6,3,3,1,0,1 0,10,6,6,5,0,4,3,0,0,1,0,1 0,55,68,37,17,4,5,6,3,3,1,0,1 0,2,6,6,5,0,4,3,0,0,1,0,1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-17_13-50-02.pcd 0.168611 0.000863042 0.00138541 4 77,67,67,59 21,23,19,13 0,0,1,0 456456 239 630 24 88 200 591 22 86 456217,113,43,31,12,16,5,6,3,2,2,2,1,1,1,1 0,8,3,5,2,1,1,2,0,0,0,1,0,0,0,1 0,74,43,31,12,16,5,6,3,2,2,2,1,1,1,1 0,6,3,5,2,1,1,2,0,0,0,1,0,0,0,1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-17_13-51-06.pcd 0.151504 0.000940493 0.00160246 3 126,44,24 43,12,12 1,0,0 449592 306 630 42 89 200 524 27 74 449286,151,77,36,22,10,2,3,1,3,0,1 0,18,14,5,3,1,0,0,0,0,0,1 0,45,77,36,22,10,2,3,1,3,0,1 0,3,14,5,3,1,0,0,0,0,0,1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<pfhrgb_uniform_2015-05-17_13-52-24.pcd 0.156615 0.000950433 0.00154588 5 108,51,33,27,26 29,12,15,12,17 -1 451044 283 630 -1 -1 200 547 -1 -1 450761,154,63,22,17,9,5,4,1,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 -1 0,71,63,22,17,9,5,4,1,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-17_13-54-19.pcd 0.118184 0.00173139 0.00156463 4 238,49,42,32 70,21,20,16 1,0,0,0 451044 301 630 52 163 200 529 40 151 450743,152,70,31,23,14,5,1,2,1,1,1 0,15,9,10,8,5,1,0,2,0,1,1 0,51,70,31,23,14,5,1,2,1,1,1 0,3,9,10,8,5,1,0,2,0,1,1
