# score parent cluster region
123 /media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_2/room_1/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/chair1/iss_shotcolor-2015-05-28_01-00-04/20140820/patrol_run_2/room_1/clusters/chair1_cluster_shotcolor_iss_0_123.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/chair1/iss_shotcolor-2015-05-28_01-00-04/20140820/patrol_run_2/room_1/clusters/chair1_region_shotcolor_iss_0.pcd
135 /media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_4/room_0/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/chair1/iss_shotcolor-2015-05-28_01-00-04/20140820/patrol_run_4/room_0/clusters/chair1_cluster_shotcolor_iss_0_135.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/chair1/iss_shotcolor-2015-05-28_01-00-04/20140820/patrol_run_4/room_0/clusters/chair1_region_shotcolor_iss_0.pcd
124 /media/michal/Pauli/masterdata/processed/annotated/rares/20140828/patrol_run_19/room_3/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/chair1/iss_shotcolor-2015-05-28_01-00-04/20140828/patrol_run_19/room_3/clusters/chair1_cluster_shotcolor_iss_0_124.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/chair1/iss_shotcolor-2015-05-28_01-00-04/20140828/patrol_run_19/room_3/clusters/chair1_region_shotcolor_iss_0.pcd
153 /media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_20/room_3/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/chair1/iss_shotcolor-2015-05-28_01-00-04/20140829/patrol_run_20/room_3/clusters/chair1_cluster_shotcolor_iss_0_153.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/chair1/iss_shotcolor-2015-05-28_01-00-04/20140829/patrol_run_20/room_3/clusters/chair1_region_shotcolor_iss_0.pcd
227 /media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_26/room_2/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/chair1/iss_shotcolor-2015-05-28_01-00-04/20140829/patrol_run_26/room_2/clusters/chair1_cluster_shotcolor_iss_0_227.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/chair1/iss_shotcolor-2015-05-28_01-00-04/20140829/patrol_run_26/room_2/clusters/chair1_region_shotcolor_iss_0.pcd
144 /media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_27/room_2/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/chair1/iss_shotcolor-2015-05-28_01-00-04/20140901/patrol_run_27/room_2/clusters/chair1_cluster_shotcolor_iss_0_144.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/chair1/iss_shotcolor-2015-05-28_01-00-04/20140901/patrol_run_27/room_2/clusters/chair1_region_shotcolor_iss_0.pcd
140 /media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_31/room_2/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/chair1/iss_shotcolor-2015-05-28_01-00-04/20140901/patrol_run_31/room_2/clusters/chair1_cluster_shotcolor_iss_0_140.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/chair1/iss_shotcolor-2015-05-28_01-00-04/20140901/patrol_run_31/room_2/clusters/chair1_region_shotcolor_iss_0.pcd
167 /media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_32/room_2/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/chair1/iss_shotcolor-2015-05-28_01-00-04/20140901/patrol_run_32/room_2/clusters/chair1_cluster_shotcolor_iss_0_167.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/chair1/iss_shotcolor-2015-05-28_01-00-04/20140901/patrol_run_32/room_2/clusters/chair1_region_shotcolor_iss_0.pcd
133 /media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_33/room_1/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/chair1/iss_shotcolor-2015-05-28_01-00-04/20140901/patrol_run_33/room_1/clusters/chair1_cluster_shotcolor_iss_0_133.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/chair1/iss_shotcolor-2015-05-28_01-00-04/20140901/patrol_run_33/room_1/clusters/chair1_region_shotcolor_iss_0.pcd
119 /media/michal/Pauli/masterdata/processed/annotated/rares/20140902/patrol_run_35/room_2/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/chair1/iss_shotcolor-2015-05-28_01-00-04/20140902/patrol_run_35/room_2/clusters/chair1_cluster_shotcolor_iss_0_119.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/chair1/iss_shotcolor-2015-05-28_01-00-04/20140902/patrol_run_35/room_2/clusters/chair1_region_shotcolor_iss_0.pcd
