obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 5, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<fpfh_uniform, n_max_points: 200,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/chair1/features/rgb_0015_label_chair1<fpfh_uniform_2015-05-26_14-46-34.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k5_mx200_t0,2/rares',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/annotated/rares,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__55409: 'http://tycho:55409/'}
rosversion: '1.11.10

  '
run_id: e1f7ec4e-084c-11e5-82c9-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<fpfh_uniform_2015-05-17_13-28-13.pcd 0.0663908 0.00277838 0.00123934 4 110,72,71,57 23,19,20,13 0,1,0,0 449955 1179 2030 87 167 200 841 23 86 448776,771,206,101,47,22,12,8,4,0,6,0,0,2 0,47,17,13,5,3,2,0,0,0,0,0,0,0 0,0,0,99,47,22,12,8,4,0,6,0,0,2 0,0,0,13,5,3,2,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<fpfh_uniform_2015-05-17_13-28-20.pcd 0.0683378 0.00135195 0.000869911 2 65,43 13,12 1,0 424446 1163 2030 74 153 200 832 17 80 423283,734,223,105,48,21,9,12,4,2,5 0,41,16,6,4,2,1,3,0,1,0 0,0,0,99,48,21,9,12,4,2,5 0,0,0,6,4,2,1,3,0,1,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<fpfh_uniform_2015-05-17_13-28-28.pcd 0.0691244 0.00122668 0.000776292 1 118 28 1 445269 1207 2030 104 224 200 782 29 121 444062,766,256,98,44,15,9,10,3,1,5 0,47,31,13,4,2,3,1,2,1,0 0,0,15,98,44,15,9,10,3,1,5 0,0,3,13,4,2,3,1,2,1,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<fpfh_uniform_2015-05-17_13-28-37.pcd 0.0713857 0.00130419 0.00088727 1 115 27 0 461736 1226 2030 37 78 200 780 11 44 460510,802,252,91,32,18,11,10,3,0,6,0,0,1 0,18,9,5,1,1,3,0,0,0,0,0,0,0 0,0,28,91,32,18,11,10,3,0,6,0,0,1 0,0,1,5,1,1,3,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<fpfh_uniform_2015-05-17_13-28-46.pcd 0.0675095 0.000784514 0.000780863 1 18 1 0 404481 1241 2030 100 176 200 778 20 76 403240,830,240,91,32,20,11,10,0,0,5,0,0,0,0,1,0,0,1 0,60,22,8,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0 0,0,29,91,32,20,11,10,0,0,5,0,0,0,0,1,0,0,1 0,0,2,8,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<fpfh_uniform_2015-05-17_13-28-55.pcd 0.0644527 0.000929536 0.00135205 2 52,42 12,12 0,0 424710 1183 2030 72 136 200 819 18 70 423527,755,253,82,43,13,9,11,6,4,6,1 0,42,13,8,5,3,0,0,0,1,0,0 0,0,25,82,43,13,9,11,6,4,6,1 0,0,1,8,5,3,0,0,0,1,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<fpfh_uniform_2015-05-17_13-29-08.pcd 0.064345 0.00065049 0.000797523 2 102,74 19,13 0,0 456456 1095 2030 10 19 200 901 2 7 455361,661,238,88,43,18,15,15,1,3,10,1,1,0,1 0,4,4,1,1,0,0,0,0,0,0,0,0,0,0 0,0,4,88,43,18,15,15,1,3,10,1,1,0,1 0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<fpfh_uniform_2015-05-17_13-29-19.pcd 0.0644837 0.000710342 0.000855802 1 72 14 0 449592 1171 2030 13 17 200 835 1 3 448421,747,231,87,53,20,12,9,3,2,6,1 0,10,2,1,0,0,0,0,0,0,0,0 0,0,7,87,53,20,12,9,3,2,6,1 0,0,0,1,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<fpfh_uniform_2015-05-17_13-29-31.pcd 0.0665994 0.00191504 0.00109119 1 77 19 -1 451044 1117 2030 -1 -1 200 890 -1 -1 449927,696,219,87,51,24,14,12,3,1,7,0,0,2,1 -1 0,0,0,85,51,24,14,12,3,1,7,0,0,2,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<fpfh_uniform_2015-05-17_13-29-41.pcd 0.0641973 0.000834538 0.000899091 3 59,58,56 13,12,13 0,1,0 451044 1165 2030 88 170 200 849 16 70 449879,749,216,98,46,23,7,13,3,1,9 0,44,28,8,3,2,1,0,1,0,1 0,0,0,98,46,23,7,13,3,1,9 0,0,0,8,3,2,1,0,1,0,1
