obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 5, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<pfhrgb_uniform, n_max_points: 200,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/chair1/features/rgb_0015_label_chair1<pfhrgb_uniform_2015-05-26_14-54-07.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k5_mx200_t0,2/rares',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/annotated/rares,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__46316: 'http://tycho:46316/'}
rosversion: '1.11.10

  '
run_id: 2d188256-084d-11e5-9c6a-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<pfhrgb_uniform_2015-05-17_13-41-17.pcd 0.926283 0.00124606 0.00158368 5 284,164,127,117,109 22,19,15,13,14 0,0,1,0,1 449955 536 2030 57 248 200 1528 27 202 449419,198,110,62,40,29,19,19,12,7,8,5,3,3,4,2,0,3,2,0,1,3,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1 0,17,10,5,6,2,4,4,3,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0,0,0,34,40,29,19,19,12,7,8,5,3,3,4,2,0,3,2,0,1,3,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1 0,0,0,2,6,2,4,4,3,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<pfhrgb_uniform_2015-05-17_13-43-03.pcd 0.927849 0.000891319 0.00134579 2 261,160 36,27 1,0 424446 560 2030 60 283 200 1514 34 242 423886,230,104,68,35,25,23,17,4,10,6,7,4,4,1,2,4,2,2,1,2,0,0,0,1,0,1,2,0,0,1,1,1,0,1,0,0,0,0,1 0,13,11,8,5,7,4,1,1,2,2,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0 0,0,0,42,35,25,23,17,4,10,6,7,4,4,1,2,4,2,2,1,2,0,0,0,1,0,1,2,0,0,1,1,1,0,1,0,0,0,0,1 0,0,0,6,5,7,4,1,1,2,2,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<pfhrgb_uniform_2015-05-17_13-45-09.pcd 0.744282 0.00131502 0.000976455 5 321,143,137,83,68 36,23,18,14,14 0,0,0,0,1 445269 601 2030 31 90 200 1481 15 73 444668,271,112,56,45,20,18,17,8,9,7,2,10,2,2,3,2,3,2,3,1,2,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1 0,15,1,2,5,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0,0,0,38,45,20,18,17,8,9,7,2,10,2,2,3,2,3,2,3,1,2,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1 0,0,0,2,5,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<pfhrgb_uniform_2015-05-17_13-46-34.pcd 0.801197 0.00131838 0.000846829 3 548,112,82 35,20,16 1,0,0 461736 524 2030 62 634 200 1611 41 604 461212,229,97,55,26,16,18,16,13,9,7,3,4,2,4,2,5,1,1,4,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1 0,12,9,5,2,0,4,1,0,3,3,3,2,0,4,1,5,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1 0,0,2,55,26,16,18,16,13,9,7,3,4,2,4,2,5,1,1,4,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1 0,0,0,5,2,0,4,1,0,3,3,3,2,0,4,1,5,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-17_13-47-56.pcd 0.816005 0.00120881 0.000796107 4 150,108,102,91 16,15,17,13 0,0,1,0 404481 590 2030 56 220 200 1480 26 174 403891,252,116,67,34,30,19,15,7,11,3,5,3,3,3,3,0,4,2,1,4,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1 0,17,10,8,3,7,3,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0,0,0,45,34,30,19,15,7,11,3,5,3,3,3,3,0,4,2,1,4,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1 0,0,0,5,3,7,3,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-17_13-49-01.pcd 0.77964 0.00127247 0.00134461 4 345,152,142,105 31,16,24,12 1,0,0,0 424710 497 2030 55 379 200 1603 31 345 424213,187,90,61,34,27,15,16,8,10,8,8,5,3,4,3,1,2,2,1,1,1,1,0,0,0,2,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 0,14,10,4,6,5,3,0,0,2,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0,0,0,41,34,27,15,16,8,10,8,8,5,3,4,3,1,2,2,1,1,1,1,0,0,0,2,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 0,0,0,4,6,5,3,0,0,2,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-17_13-50-02.pcd 0.690193 0.00142766 0.000961509 3 232,150,147 38,22,19 0,0,0 456456 497 2030 3 5 200 1616 0 0 455959,191,95,54,34,24,12,20,11,9,11,4,3,5,4,1,2,3,2,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1 0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0,0,0,43,34,24,12,20,11,9,11,4,3,5,4,1,2,3,2,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-17_13-51-06.pcd 0.690074 0.00090679 0.000976054 3 208,186,78 28,26,12 0,0,0 449592 585 2030 7 33 200 1486 3 26 449007,254,103,62,36,18,27,23,11,6,10,5,3,8,2,3,3,2,2,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1 0,1,3,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0,0,0,34,36,18,27,23,11,6,10,5,3,8,2,3,3,2,2,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1 0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<pfhrgb_uniform_2015-05-17_13-52-24.pcd 0.533586 0.000777979 0.000947941 2 199,156 31,18 -1 451044 606 2030 -1 -1 200 1493 -1 -1 450438,292,97,63,38,23,20,13,13,5,6,7,3,3,4,5,1,1,0,0,3,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,2,0,0,0,1 -1 0,0,0,46,38,23,20,13,13,5,6,7,3,3,4,5,1,1,0,0,3,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,2,0,0,0,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-17_13-54-19.pcd 0.607322 0.000900206 0.000986161 4 471,185,144,75 44,15,23,12 1,0,0,0 451044 577 2030 76 503 200 1516 40 450 450467,248,121,48,27,30,29,21,8,9,8,4,3,2,2,1,2,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 0,19,17,7,2,7,5,2,1,3,2,2,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 0,0,0,40,27,30,29,21,8,9,8,4,3,2,2,1,2,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 0,0,0,7,2,7,5,2,1,3,2,2,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
