# score parent cluster region
117 /media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_2/room_1/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/chair1/uniform_shotcolor-2015-05-28_00-32-11/20140820/patrol_run_2/room_1/clusters/chair1_cluster_shotcolor_uniform_0_117.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/chair1/uniform_shotcolor-2015-05-28_00-32-11/20140820/patrol_run_2/room_1/clusters/chair1_region_shotcolor_uniform_0.pcd
210 /media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_4/room_0/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/chair1/uniform_shotcolor-2015-05-28_00-32-11/20140820/patrol_run_4/room_0/clusters/chair1_cluster_shotcolor_uniform_0_210.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/chair1/uniform_shotcolor-2015-05-28_00-32-11/20140820/patrol_run_4/room_0/clusters/chair1_region_shotcolor_uniform_0.pcd
226 /media/michal/Pauli/masterdata/processed/annotated/rares/20140828/patrol_run_19/room_3/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/chair1/uniform_shotcolor-2015-05-28_00-32-11/20140828/patrol_run_19/room_3/clusters/chair1_cluster_shotcolor_uniform_0_226.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/chair1/uniform_shotcolor-2015-05-28_00-32-11/20140828/patrol_run_19/room_3/clusters/chair1_region_shotcolor_uniform_0.pcd
261 /media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_20/room_3/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/chair1/uniform_shotcolor-2015-05-28_00-32-11/20140829/patrol_run_20/room_3/clusters/chair1_cluster_shotcolor_uniform_0_261.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/chair1/uniform_shotcolor-2015-05-28_00-32-11/20140829/patrol_run_20/room_3/clusters/chair1_region_shotcolor_uniform_0.pcd
231 /media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_26/room_2/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/chair1/uniform_shotcolor-2015-05-28_00-32-11/20140829/patrol_run_26/room_2/clusters/chair1_cluster_shotcolor_uniform_0_231.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/chair1/uniform_shotcolor-2015-05-28_00-32-11/20140829/patrol_run_26/room_2/clusters/chair1_region_shotcolor_uniform_0.pcd
310 /media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_27/room_2/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/chair1/uniform_shotcolor-2015-05-28_00-32-11/20140901/patrol_run_27/room_2/clusters/chair1_cluster_shotcolor_uniform_0_310.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/chair1/uniform_shotcolor-2015-05-28_00-32-11/20140901/patrol_run_27/room_2/clusters/chair1_region_shotcolor_uniform_0.pcd
339 /media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_31/room_2/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/chair1/uniform_shotcolor-2015-05-28_00-32-11/20140901/patrol_run_31/room_2/clusters/chair1_cluster_shotcolor_uniform_0_339.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/chair1/uniform_shotcolor-2015-05-28_00-32-11/20140901/patrol_run_31/room_2/clusters/chair1_region_shotcolor_uniform_0.pcd
185 /media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_32/room_2/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/chair1/uniform_shotcolor-2015-05-28_00-32-11/20140901/patrol_run_32/room_2/clusters/chair1_cluster_shotcolor_uniform_0_185.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/chair1/uniform_shotcolor-2015-05-28_00-32-11/20140901/patrol_run_32/room_2/clusters/chair1_region_shotcolor_uniform_0.pcd
76 /media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_33/room_1/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/chair1/uniform_shotcolor-2015-05-28_00-32-11/20140901/patrol_run_33/room_1/clusters/chair1_cluster_shotcolor_uniform_0_76.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/chair1/uniform_shotcolor-2015-05-28_00-32-11/20140901/patrol_run_33/room_1/clusters/chair1_region_shotcolor_uniform_0.pcd
242 /media/michal/Pauli/masterdata/processed/annotated/rares/20140902/patrol_run_35/room_2/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/chair1/uniform_shotcolor-2015-05-28_00-32-11/20140902/patrol_run_35/room_2/clusters/chair1_cluster_shotcolor_uniform_0_242.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/chair1/uniform_shotcolor-2015-05-28_00-32-11/20140902/patrol_run_35/room_2/clusters/chair1_region_shotcolor_uniform_0.pcd
