obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 5, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shotcolor_uniform,
  n_max_points: 200, output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/chair1/features/rgb_0015_label_chair1<shotcolor_uniform_2015-05-26_14-46-03.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k5_mx200_t0,2/rares',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/annotated/rares,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__42811: 'http://tycho:42811/', host_tycho__57181: 'http://tycho:57181/'}
rosversion: '1.11.10

  '
run_id: f8faff92-083f-11e5-862f-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shotcolor_uniform_2015-05-17_11-22-45.pcd 22.1049 0.00104079 0.00099937 5 117,95,90,66,51 20,18,21,14,12 0,0,0,1,0 449955 1002 1860 46 123 200 907 18 89 448953,651,157,86,42,18,16,13,4,5,5,1,2,1,0,0,0,1 0,22,6,6,4,1,2,3,1,1,0,0,0,0,0,0,0,0 0,0,6,86,42,18,16,13,4,5,5,1,2,1,0,0,0,1 0,0,0,6,4,1,2,3,1,1,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shotcolor_uniform_2015-05-17_11-22-46.pcd 23.1783 0.00121245 0.00138045 2 210,81 40,16 1,0 424446 1058 1860 85 272 200 858 43 220 423388,714,176,71,29,28,11,11,4,4,5,1,2,0,1,1 0,32,14,9,4,12,5,4,2,1,0,0,1,0,1,0 0,0,32,71,29,28,11,11,4,4,5,1,2,0,1,1 0,0,4,9,4,12,5,4,2,1,0,0,1,0,1,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shotcolor_uniform_2015-05-17_11-22-47.pcd 22.3829 0.000747804 0.00224211 3 226,127,105 41,30,28 0,0,0 445269 1082 1860 49 72 200 816 11 31 444187,720,201,69,37,16,14,9,6,4,1,2,0,2,1 0,35,7,5,2,0,0,0,0,0,0,0,0,0,0 0,0,39,69,37,16,14,9,6,4,1,2,0,2,1 0,0,4,5,2,0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shotcolor_uniform_2015-05-17_11-22-48.pcd 23.8187 0.000958278 0.00153479 5 261,86,82,66,54 34,16,16,16,12 0,0,1,0,0 461736 1031 1860 46 107 200 898 18 72 460705,700,172,62,28,25,9,12,8,2,2,2,1,4,2,0,1,0,0,0,0,0,0,1 0,21,10,7,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0,0,41,62,28,25,9,12,8,2,2,2,1,4,2,0,1,0,0,0,0,0,0,1 0,0,3,7,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shotcolor_uniform_2015-05-17_11-22-50.pcd 22.0429 0.00112353 0.0014136 4 231,134,78,46 42,29,20,13 1,0,0,0 404481 1043 1860 92 309 200 876 48 252 403438,702,172,61,31,30,18,12,4,7,3,1,0,0,1,1 0,31,16,13,6,9,5,5,0,3,2,1,0,0,0,1 0,0,31,61,31,30,18,12,4,7,3,1,0,0,1,1 0,0,3,13,6,9,5,5,0,3,2,1,0,0,0,1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shotcolor_uniform_2015-05-17_11-22-51.pcd 21.9182 0.000669333 0.000937958 3 310,62,59 48,18,13 1,0,0 424710 1011 1860 84 362 200 893 48 309 423699,655,179,74,31,26,15,12,3,5,2,3,3,3 0,19,17,7,9,9,5,5,1,3,1,2,3,3 0,0,23,74,31,26,15,12,3,5,2,3,3,3 0,0,0,7,9,9,5,5,1,3,1,2,3,3
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shotcolor_uniform_2015-05-17_11-22-53.pcd 20.0485 0.000657018 0.00124754 2 339,243 52,38 0,0 456456 911 1860 5 8 200 1028 1 4 455545,590,145,70,29,22,16,4,5,7,7,4,2,0,4,1,0,1,0,1,0,1,0,1,0,0,0,0,1 0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0,0,24,70,29,22,16,4,5,7,7,4,2,0,4,1,0,1,0,1,0,1,0,1,0,0,0,0,1 0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shotcolor_uniform_2015-05-17_11-22-54.pcd 20.4448 0.000648473 0.000881306 3 185,123,103 25,18,12 1,0,0 449592 1058 1860 29 183 200 892 22 175 448534,748,173,60,27,7,10,5,2,6,2,4,1,4,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1 0,6,4,1,3,1,2,2,0,0,2,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0,0,63,60,27,7,10,5,2,6,2,4,1,4,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1 0,0,3,1,3,1,2,2,0,0,2,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shotcolor_uniform_2015-05-17_11-22-55.pcd 20.607 0.000706149 0.00119635 4 76,61,56,31 22,20,17,13 -1 451044 1296 1860 -1 -1 200 602 -1 -1 449748,934,233,83,28,11,5,2 -1 0,0,71,83,28,11,5,2 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shotcolor_uniform_2015-05-17_11-22-56.pcd 19.3011 0.00129931 0.00158679 3 242,195,42 44,41,13 1,0,0 451044 1037 1860 104 322 200 875 49 250 450007,689,167,89,35,19,11,5,5,4,4,1,4,0,2,1,1 0,38,22,15,9,7,4,3,0,0,1,0,2,0,1,1,1 0,0,19,89,35,19,11,5,5,4,4,1,4,0,2,1,1 0,0,5,15,9,7,4,3,0,0,1,0,2,0,1,1,1
