# score parent cluster region
31 /media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_2/room_1/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/laptop1/uniform_shot-2015-05-28_04-14-36/20140820/patrol_run_2/room_1/clusters/laptop1_cluster_shot_uniform_0_31.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/laptop1/uniform_shot-2015-05-28_04-14-36/20140820/patrol_run_2/room_1/clusters/laptop1_region_shot_uniform_0.pcd
29 /media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_4/room_0/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/laptop1/uniform_shot-2015-05-28_04-14-36/20140820/patrol_run_4/room_0/clusters/laptop1_cluster_shot_uniform_0_29.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/laptop1/uniform_shot-2015-05-28_04-14-36/20140820/patrol_run_4/room_0/clusters/laptop1_region_shot_uniform_0.pcd
25 /media/michal/Pauli/masterdata/processed/annotated/rares/20140828/patrol_run_19/room_3/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/laptop1/uniform_shot-2015-05-28_04-14-36/20140828/patrol_run_19/room_3/clusters/laptop1_cluster_shot_uniform_0_25.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/laptop1/uniform_shot-2015-05-28_04-14-36/20140828/patrol_run_19/room_3/clusters/laptop1_region_shot_uniform_0.pcd
26 /media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_20/room_3/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/laptop1/uniform_shot-2015-05-28_04-14-36/20140829/patrol_run_20/room_3/clusters/laptop1_cluster_shot_uniform_0_26.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/laptop1/uniform_shot-2015-05-28_04-14-36/20140829/patrol_run_20/room_3/clusters/laptop1_region_shot_uniform_0.pcd
24 /media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_26/room_2/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/laptop1/uniform_shot-2015-05-28_04-14-36/20140829/patrol_run_26/room_2/clusters/laptop1_cluster_shot_uniform_0_24.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/laptop1/uniform_shot-2015-05-28_04-14-36/20140829/patrol_run_26/room_2/clusters/laptop1_region_shot_uniform_0.pcd
47 /media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_27/room_2/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/laptop1/uniform_shot-2015-05-28_04-14-36/20140901/patrol_run_27/room_2/clusters/laptop1_cluster_shot_uniform_0_47.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/laptop1/uniform_shot-2015-05-28_04-14-36/20140901/patrol_run_27/room_2/clusters/laptop1_region_shot_uniform_0.pcd
39 /media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_31/room_2/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/laptop1/uniform_shot-2015-05-28_04-14-36/20140901/patrol_run_31/room_2/clusters/laptop1_cluster_shot_uniform_0_39.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/laptop1/uniform_shot-2015-05-28_04-14-36/20140901/patrol_run_31/room_2/clusters/laptop1_region_shot_uniform_0.pcd
40 /media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_32/room_2/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/laptop1/uniform_shot-2015-05-28_04-14-36/20140901/patrol_run_32/room_2/clusters/laptop1_cluster_shot_uniform_0_40.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/laptop1/uniform_shot-2015-05-28_04-14-36/20140901/patrol_run_32/room_2/clusters/laptop1_region_shot_uniform_0.pcd
39 /media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_33/room_1/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/laptop1/uniform_shot-2015-05-28_04-14-36/20140901/patrol_run_33/room_1/clusters/laptop1_cluster_shot_uniform_0_39.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/laptop1/uniform_shot-2015-05-28_04-14-36/20140901/patrol_run_33/room_1/clusters/laptop1_region_shot_uniform_0.pcd
34 /media/michal/Pauli/masterdata/processed/annotated/rares/20140902/patrol_run_35/room_2/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/laptop1/uniform_shot-2015-05-28_04-14-36/20140902/patrol_run_35/room_2/clusters/laptop1_cluster_shot_uniform_0_34.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/laptop1/uniform_shot-2015-05-28_04-14-36/20140902/patrol_run_35/room_2/clusters/laptop1_region_shot_uniform_0.pcd
29 /media/michal/Pauli/masterdata/processed/annotated/rares/20140902/patrol_run_38/room_0/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/laptop1/uniform_shot-2015-05-28_04-14-36/20140902/patrol_run_38/room_0/clusters/laptop1_cluster_shot_uniform_0_29.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/laptop1/uniform_shot-2015-05-28_04-14-36/20140902/patrol_run_38/room_0/clusters/laptop1_region_shot_uniform_0.pcd
26 /media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_1/room_4/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/laptop1/uniform_shot-2015-05-28_04-14-36/20140903/patrol_run_1/room_4/clusters/laptop1_cluster_shot_uniform_0_26.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/laptop1/uniform_shot-2015-05-28_04-14-36/20140903/patrol_run_1/room_4/clusters/laptop1_region_shot_uniform_0.pcd
