# score parent cluster region
64 /media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_2/room_1/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/pillow/iss_fpfh-2015-05-28_05-48-32/20140820/patrol_run_2/room_1/clusters/pillow_cluster_fpfh_iss_0_64.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/pillow/iss_fpfh-2015-05-28_05-48-32/20140820/patrol_run_2/room_1/clusters/pillow_region_fpfh_iss_0.pcd
58 /media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_4/room_0/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/pillow/iss_fpfh-2015-05-28_05-48-32/20140820/patrol_run_4/room_0/clusters/pillow_cluster_fpfh_iss_0_58.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/pillow/iss_fpfh-2015-05-28_05-48-32/20140820/patrol_run_4/room_0/clusters/pillow_region_fpfh_iss_0.pcd
94 /media/michal/Pauli/masterdata/processed/annotated/rares/20140828/patrol_run_19/room_3/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/pillow/iss_fpfh-2015-05-28_05-48-32/20140828/patrol_run_19/room_3/clusters/pillow_cluster_fpfh_iss_0_94.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/pillow/iss_fpfh-2015-05-28_05-48-32/20140828/patrol_run_19/room_3/clusters/pillow_region_fpfh_iss_0.pcd
53 /media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_20/room_3/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/pillow/iss_fpfh-2015-05-28_05-48-32/20140829/patrol_run_20/room_3/clusters/pillow_cluster_fpfh_iss_0_53.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/pillow/iss_fpfh-2015-05-28_05-48-32/20140829/patrol_run_20/room_3/clusters/pillow_region_fpfh_iss_0.pcd
85 /media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_26/room_2/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/pillow/iss_fpfh-2015-05-28_05-48-32/20140829/patrol_run_26/room_2/clusters/pillow_cluster_fpfh_iss_0_85.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/pillow/iss_fpfh-2015-05-28_05-48-32/20140829/patrol_run_26/room_2/clusters/pillow_region_fpfh_iss_0.pcd
56 /media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_27/room_2/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/pillow/iss_fpfh-2015-05-28_05-48-32/20140901/patrol_run_27/room_2/clusters/pillow_cluster_fpfh_iss_0_56.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/pillow/iss_fpfh-2015-05-28_05-48-32/20140901/patrol_run_27/room_2/clusters/pillow_region_fpfh_iss_0.pcd
40 /media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_31/room_2/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/pillow/iss_fpfh-2015-05-28_05-48-32/20140901/patrol_run_31/room_2/clusters/pillow_cluster_fpfh_iss_0_40.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/pillow/iss_fpfh-2015-05-28_05-48-32/20140901/patrol_run_31/room_2/clusters/pillow_region_fpfh_iss_0.pcd
54 /media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_32/room_2/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/pillow/iss_fpfh-2015-05-28_05-48-32/20140901/patrol_run_32/room_2/clusters/pillow_cluster_fpfh_iss_0_54.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/pillow/iss_fpfh-2015-05-28_05-48-32/20140901/patrol_run_32/room_2/clusters/pillow_region_fpfh_iss_0.pcd
43 /media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_33/room_1/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/pillow/iss_fpfh-2015-05-28_05-48-32/20140901/patrol_run_33/room_1/clusters/pillow_cluster_fpfh_iss_0_43.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/pillow/iss_fpfh-2015-05-28_05-48-32/20140901/patrol_run_33/room_1/clusters/pillow_region_fpfh_iss_0.pcd
60 /media/michal/Pauli/masterdata/processed/annotated/rares/20140902/patrol_run_35/room_2/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/pillow/iss_fpfh-2015-05-28_05-48-32/20140902/patrol_run_35/room_2/clusters/pillow_cluster_fpfh_iss_0_60.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/pillow/iss_fpfh-2015-05-28_05-48-32/20140902/patrol_run_35/room_2/clusters/pillow_region_fpfh_iss_0.pcd
38 /media/michal/Pauli/masterdata/processed/annotated/rares/20140902/patrol_run_38/room_0/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/pillow/iss_fpfh-2015-05-28_05-48-32/20140902/patrol_run_38/room_0/clusters/pillow_cluster_fpfh_iss_0_38.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/pillow/iss_fpfh-2015-05-28_05-48-32/20140902/patrol_run_38/room_0/clusters/pillow_region_fpfh_iss_0.pcd
28 /media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_1/room_4/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/pillow/iss_fpfh-2015-05-28_05-48-32/20140903/patrol_run_1/room_4/clusters/pillow_cluster_fpfh_iss_0_28.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/pillow/iss_fpfh-2015-05-28_05-48-32/20140903/patrol_run_1/room_4/clusters/pillow_region_fpfh_iss_0.pcd
33 /media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_10/room_2/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/pillow/iss_fpfh-2015-05-28_05-48-32/20140903/patrol_run_10/room_2/clusters/pillow_cluster_fpfh_iss_0_33.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/pillow/iss_fpfh-2015-05-28_05-48-32/20140903/patrol_run_10/room_2/clusters/pillow_region_fpfh_iss_0.pcd
26 /media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_12/room_2/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/pillow/iss_fpfh-2015-05-28_05-48-32/20140903/patrol_run_12/room_2/clusters/pillow_cluster_fpfh_iss_0_26.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/pillow/iss_fpfh-2015-05-28_05-48-32/20140903/patrol_run_12/room_2/clusters/pillow_region_fpfh_iss_0.pcd
31 /media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_14/room_1/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/pillow/iss_fpfh-2015-05-28_05-48-32/20140903/patrol_run_14/room_1/clusters/pillow_cluster_fpfh_iss_0_31.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/pillow/iss_fpfh-2015-05-28_05-48-32/20140903/patrol_run_14/room_1/clusters/pillow_region_fpfh_iss_0.pcd
48 /media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_2/room_4/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/pillow/iss_fpfh-2015-05-28_05-48-32/20140903/patrol_run_2/room_4/clusters/pillow_cluster_fpfh_iss_0_48.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/pillow/iss_fpfh-2015-05-28_05-48-32/20140903/patrol_run_2/room_4/clusters/pillow_region_fpfh_iss_0.pcd
