obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 5, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shotcolor_uniform,
  n_max_points: 200, output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/top_couch_jacket2/features/rgb_0003_label_top_couch_jacket2<shotcolor_uniform_2015-05-26_14-46-01.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k5_mx200_t0,2/rares',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/annotated/rares,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__47563: 'http://tycho:47563/', host_tycho__55436: 'http://tycho:55436/'}
rosversion: '1.11.10

  '
run_id: 38a3d756-083e-11e5-83da-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shotcolor_uniform_2015-05-17_11-22-45.pcd 8.37016 0.00350929 0.00168273 3 43,27,22 28,18,17 -1 449955 473 560 -1 -1 200 287 -1 -1 449482,395,71,5,2 -1 0,122,71,5,2 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shotcolor_uniform_2015-05-17_11-22-46.pcd 8.8337 0.00111758 0.00108555 4 37,32,16,15 27,25,13,13 -1 424446 488 560 -1 -1 200 272 -1 -1 423958,425,56,5,2 -1 0,137,56,5,2 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shotcolor_uniform_2015-05-17_11-22-47.pcd 7.96939 0.000688176 0.00137479 4 47,31,21,18 35,24,15,14 -1 445269 482 560 -1 -1 200 278 -1 -1 444787,411,66,3,2 -1 0,129,66,3,2 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shotcolor_uniform_2015-05-17_11-22-48.pcd 7.99998 0.000810901 0.00152044 5 28,24,17,16,15 16,20,14,12,13 -1 461736 484 560 -1 -1 200 276 -1 -1 461252,418,59,4,3 -1 0,134,59,4,3 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shotcolor_uniform_2015-05-17_11-22-50.pcd 7.63174 0.00114556 0.00135987 6 31,27,25,24,23,16 25,16,17,20,20,12 -1 404481 482 560 -1 -1 200 278 -1 -1 403999,415,60,3,4 -1 0,133,60,3,4 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shotcolor_uniform_2015-05-17_11-22-51.pcd 7.6382 0.000753183 0.00158504 3 43,32,23 38,28,18 -1 424710 493 560 -1 -1 200 267 -1 -1 424217,435,51,6,0,1 -1 0,142,51,6,0,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shotcolor_uniform_2015-05-17_11-22-53.pcd 6.996 0.000815013 0.00154141 2 58,55 43,34 -1 456456 470 560 -1 -1 200 290 -1 -1 455986,392,70,5,2,1 -1 0,122,70,5,2,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shotcolor_uniform_2015-05-17_11-22-54.pcd 7.29498 0.000809712 0.00107129 3 47,29,26 40,24,21 -1 449592 498 560 -1 -1 200 262 -1 -1 449094,444,48,5,0,1 -1 0,146,48,5,0,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shotcolor_uniform_2015-05-17_11-22-55.pcd 8.13252 0.000817566 0.00131646 3 58,17,16 43,14,16 -1 451044 498 560 -1 -1 200 262 -1 -1 450546,442,50,6 -1 0,144,50,6 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shotcolor_uniform_2015-05-17_11-22-56.pcd 6.73455 0.000742111 0.00143316 5 36,29,17,15,14 26,22,14,13,12 -1 451044 481 560 -1 -1 200 279 -1 -1 450563,409,65,7 -1 0,128,65,7 -1
