# score parent cluster region
27 /media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_2/room_1/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/trash_bin/uniform_fpfh-2015-05-28_01-52-08/20140820/patrol_run_2/room_1/clusters/trash_bin_cluster_fpfh_uniform_0_27.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/trash_bin/uniform_fpfh-2015-05-28_01-52-08/20140820/patrol_run_2/room_1/clusters/trash_bin_region_fpfh_uniform_0.pcd
33 /media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_4/room_0/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/trash_bin/uniform_fpfh-2015-05-28_01-52-08/20140820/patrol_run_4/room_0/clusters/trash_bin_cluster_fpfh_uniform_0_33.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/trash_bin/uniform_fpfh-2015-05-28_01-52-08/20140820/patrol_run_4/room_0/clusters/trash_bin_region_fpfh_uniform_0.pcd
24 /media/michal/Pauli/masterdata/processed/annotated/rares/20140828/patrol_run_19/room_3/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/trash_bin/uniform_fpfh-2015-05-28_01-52-08/20140828/patrol_run_19/room_3/clusters/trash_bin_cluster_fpfh_uniform_0_24.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/trash_bin/uniform_fpfh-2015-05-28_01-52-08/20140828/patrol_run_19/room_3/clusters/trash_bin_region_fpfh_uniform_0.pcd
29 /media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_20/room_3/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/trash_bin/uniform_fpfh-2015-05-28_01-52-08/20140829/patrol_run_20/room_3/clusters/trash_bin_cluster_fpfh_uniform_0_29.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/trash_bin/uniform_fpfh-2015-05-28_01-52-08/20140829/patrol_run_20/room_3/clusters/trash_bin_region_fpfh_uniform_0.pcd
5 /media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_26/room_2/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/trash_bin/uniform_fpfh-2015-05-28_01-52-08/20140829/patrol_run_26/room_2/clusters/trash_bin_cluster_fpfh_uniform_0_5.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/trash_bin/uniform_fpfh-2015-05-28_01-52-08/20140829/patrol_run_26/room_2/clusters/trash_bin_region_fpfh_uniform_0.pcd
46 /media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_27/room_2/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/trash_bin/uniform_fpfh-2015-05-28_01-52-08/20140901/patrol_run_27/room_2/clusters/trash_bin_cluster_fpfh_uniform_0_46.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/trash_bin/uniform_fpfh-2015-05-28_01-52-08/20140901/patrol_run_27/room_2/clusters/trash_bin_region_fpfh_uniform_0.pcd
43 /media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_31/room_2/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/trash_bin/uniform_fpfh-2015-05-28_01-52-08/20140901/patrol_run_31/room_2/clusters/trash_bin_cluster_fpfh_uniform_0_43.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/trash_bin/uniform_fpfh-2015-05-28_01-52-08/20140901/patrol_run_31/room_2/clusters/trash_bin_region_fpfh_uniform_0.pcd
4 /media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_32/room_2/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/trash_bin/uniform_fpfh-2015-05-28_01-52-08/20140901/patrol_run_32/room_2/clusters/trash_bin_cluster_fpfh_uniform_0_4.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/trash_bin/uniform_fpfh-2015-05-28_01-52-08/20140901/patrol_run_32/room_2/clusters/trash_bin_region_fpfh_uniform_0.pcd
19 /media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_33/room_1/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/trash_bin/uniform_fpfh-2015-05-28_01-52-08/20140901/patrol_run_33/room_1/clusters/trash_bin_cluster_fpfh_uniform_0_19.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/trash_bin/uniform_fpfh-2015-05-28_01-52-08/20140901/patrol_run_33/room_1/clusters/trash_bin_region_fpfh_uniform_0.pcd
29 /media/michal/Pauli/masterdata/processed/annotated/rares/20140902/patrol_run_35/room_2/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/trash_bin/uniform_fpfh-2015-05-28_01-52-08/20140902/patrol_run_35/room_2/clusters/trash_bin_cluster_fpfh_uniform_0_29.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/trash_bin/uniform_fpfh-2015-05-28_01-52-08/20140902/patrol_run_35/room_2/clusters/trash_bin_region_fpfh_uniform_0.pcd
5 /media/michal/Pauli/masterdata/processed/annotated/rares/20140902/patrol_run_38/room_0/nonPlanes.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/trash_bin/uniform_fpfh-2015-05-28_01-52-08/20140902/patrol_run_38/room_0/clusters/trash_bin_cluster_fpfh_uniform_0_5.pcd /home/michal/Downloads/pcddata/processed/query/rares/query_results/trash_bin/uniform_fpfh-2015-05-28_01-52-08/20140902/patrol_run_38/room_0/clusters/trash_bin_region_fpfh_uniform_0.pcd
