obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 5, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<fpfh_uniform, n_max_points: 200,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/trash_bin/features/rgb_0000_label_trash_bin<fpfh_uniform_2015-05-26_14-46-18.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k5_mx200_t0,2/rares',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/annotated/rares,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__36806: 'http://tycho:36806/', host_tycho__46502: 'http://tycho:46502/',
    host_tycho__50702: 'http://tycho:50702/'}
rosversion: '1.11.10

  '
run_id: 5d1df346-0834-11e5-873d-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<fpfh_uniform_2015-05-17_13-28-13.pcd 0.0328893 0.00284443 0.00160156 2 27,18 19,13 -1 449955 411 505 -1 -1 200 294 -1 -1 449544,334,60,17 -1 0,123,60,17 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<fpfh_uniform_2015-05-17_13-28-20.pcd 0.0243369 0.000770292 0.000833133 3 33,33,18 25,23,12 -1 424446 408 505 -1 -1 200 297 -1 -1 424038,337,50,16,5 -1 0,129,50,16,5 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<fpfh_uniform_2015-05-17_13-28-28.pcd 0.0336039 0.00124867 0.00139032 2 24,15 17,14 -1 445269 414 505 -1 -1 200 291 -1 -1 444855,346,49,16,2,1 -1 0,132,49,16,2,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<fpfh_uniform_2015-05-17_13-28-37.pcd 0.0252134 0.00118352 0.00133485 2 29,27 15,18 -1 461736 386 505 -1 -1 200 319 -1 -1 461350,304,53,22,6,1 -1 0,118,53,22,6,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<fpfh_uniform_2015-05-17_13-28-46.pcd 0.0246629 0.000765781 0.00131757 1 5 1 -1 404481 411 505 -1 -1 200 294 -1 -1 404070,339,54,16,0,2 -1 0,128,54,16,0,2 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<fpfh_uniform_2015-05-17_13-28-55.pcd 0.0239612 0.000809925 0.00133379 4 46,26,25,17 37,17,16,12 -1 424710 390 505 -1 -1 200 315 -1 -1 424320,300,70,17,2,0,1 -1 0,110,70,17,2,0,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<fpfh_uniform_2015-05-17_13-29-08.pcd 0.0260641 0.000773137 0.000938473 1 43 26 0 456456 390 505 5 7 200 315 1 3 456066,308,60,15,5,0,2 0,4,0,1,0,0,0 0,118,60,15,5,0,2 0,0,0,1,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<fpfh_uniform_2015-05-17_13-29-19.pcd 0.0280286 0.00161039 0.000786646 1 4 1 0 449592 400 505 7 8 200 305 1 2 449192,328,48,15,9 0,6,1,0,0 0,128,48,15,9 0,0,1,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<fpfh_uniform_2015-05-17_13-29-31.pcd 0.0293464 0.00132783 0.00126402 1 19 15 -1 451044 385 505 -1 -1 200 320 -1 -1 450659,299,58,23,4,1 -1 0,114,58,23,4,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<fpfh_uniform_2015-05-17_13-29-41.pcd 0.0221808 0.000852311 0.00114349 4 29,29,23,18 18,17,19,13 0,0,0,0 451044 396 505 5 5 200 309 0 0 450648,312,65,15,3,0,1 0,5,0,0,0,0,0 0,116,65,15,3,0,1 0,0,0,0,0,0,0
